List of importing markets for a product exported by Equatorial Guinea (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,841,757	1,934,710	2,744,790	4,293,249	6,621,529	8,436,154	9,671,872	16,052,391	9,167,524	9,496,841	13,308,629	15,712,707	14,396,332	
Albania	0	0	0	0	0	0	0	0	0	0	0	89	0	
Algeria	0	1	0	3	1	12	0	3	4	3	44	8	41	
Andorra	0	0	0	0										
Argentina	0	0	0	0	5	0	0	0	0	0	0	312	31	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	21	4	10	0	8	47	33	30	11	8	29,386	
Austria	0	0	0	17	17	0	3	3	0	0	0	0	263	
Azerbaijan	6	1	0	0	0	20	0	0	0	0	1	0		
Bahrain	0	28	0	0	0	0	0	0	0	100	0			
Bangladesh	0	0	124	0	0	0	0							
Belarus	0	0	0	0	0	0	1	18	2	0	0	0	0	
Belgium	0	248	1,365	2,455	1,397	1,414	4,620	394	5,173	433	19,538	30,709	629	
Belize	0	0	0	0	0	0	0	0	11	0	0	0	0	
Benin	0	0	0	0	0	1,731	3,940	2,356	1,535	483	2,521	2,168	6,869	
Bolivia	0	0	0	32	0	0	751	7	0	3	4	0		
Botswana	0	0	0	0	101	62	745	0	0	0	0	0	0	
Brazil	10,143	4,170	0	13,604	290,678	92,840	209,455	369,395	257,408	509,999	588,142	188,874	974,523	
Bulgaria	1	0	1	111	0	0	0	3	5	0	0	0	0	
Burkina Faso	7	17	519	0	0		7,634	10,498	3,372	1,259	3,384	14,921		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	723	5,289		291	0	936	686	0	
Cambodia	0	0	201	0	0	0	0	0	0	0	0	0		
Cameroon	39,885	17,448	9,118	32,026	55,377	108,792	221,254	9,302	7,804	123,994	6,958	103,201		
Canada	70,862	187,208	329,286	262,303	451,842	207,847	217,630	76,409	305,927	651,844	635,804	441,768	13	
Central African Republic	0	0	0			0	0	0	0	0	2	0	23	
Chile	5,658	0	0	0	0	0	0	0	156,895	72,238	0	0	0	
China	508,581	382,726	411,887	996,650	1,437,834	2,537,592	1,697,283	2,267,872	1,055,071	598,657	1,672,947	1,822,803	2,469,745	
Colombia	12	0	0	0	7	33	0	1,439	0	0	0	0	0	
Congo							78,324	62,532	281,871	269,326	441,717	54,424	227,072	
Costa Rica	150	2	0	4,133	0	0	0	0	0	1	8	1,046	0	
Côte d'Ivoire	3	2	290	427	2,543	12,030	110,232	29,816	6,483	13,438	32,377	23,513		
Croatia	0	0	0	1	0	0	0	0	0	0	0	1	0	
Cuba	0	0	0	0	0	0								
Cyprus	0	0	0	0	0	1	0	10	3	0	0	0	0	
Czech Republic	45	79	20	0	0	0	12	0	13	229	834	52	31	
Denmark	110	59	158	320	63	48	41,835	4	281	50	88,419	4	18	
Dominican Republic	0	0	8	0	34	0	0	0	0	0	0	0	2	
Ecuador	0	664	0	8	1,674	0	25,237	0	16,538	13	0	136	0	
Egypt	0	1,551	0	0	0	0	0	0	0	0	0	0	0	
El Salvador	0	1,029	0	0	0	0	3,069	0	13,274	28,483	0	0	0	
Estonia	0	0	0	0	262	0	0	0	0	0	0	0	6	
Ethiopia	0	0	2	2	1	0	0	1	0	0	0	1		
Faroe Islands	0	0	0	0	5	2	3	21	175					
Finland	0	0	0	0	0	0	0	0	5	307	0	0	0	
France	39,512	97,182	24,682	62,237	217,389	187,369	667,698	1,202,112	337,526	371,844	600,690	2,499,938	1,516,604	
French Polynesia	30	46	41	0	0	0	0	0	0	0	0	0	1	
Gabon	0	0	0	3,353	2,101	4,519	4,770	2,663	7,110					
Gambia	13	0	0	0	0	0	0	0	0	0	2			
Georgia	40	0	0	0	1	0	0	0	0	0	0	0	0	
Germany	4,730	6,512	3,849	8,365	36,369	98,230	132,826	160,831	5,133	5,090	40,921	95,403	108,002	
Ghana	0		0		0	0	1,832	4,271	2,812	13,055	14,874	8,002		
Greece	0	0	0	267	1,566	1,485	777	0	1	15,858	0	36,621	258	
Guatemala	0	0	0	0	0	0	8,569	0	14,584	0	0	0	0	
Guinea	0	76		35	1,529	0	0	585		0	522	0		
Honduras	0	1	0	33	65	0	1	0	3,641	10,467	0	0	0	
Hong Kong, China	0	0	0	0	2	0	36	0	8	0	0	1		
Hungary	1	2	0	0	59	0	78	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	11	169	809	18	158	72,733	83,308	141,392	126,079	722	451,138	498,102	
Indonesia	0	0	0	0	0	30	8	0	0	0	1	8	0	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	169	0	1	107	741	599	28	72	0	194	0	0	0	
Israel	825	150	3	0	0	1	0	1	3	0	57	24	4	
Italy	723	25,998	183,796	165,662	239,703	193,664	173,339	913,878	459,622	969,727	1,396,859	793,234	19,656	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	15,027	47,850	19	47,264	224,581	321,151	585,025	1,135,284	781,212	359,387	1,322,915	2,900,835	2,013,085	
Kazakhstan	1	0	2	0	0	0	59	421	5	0	0	0	33	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Korea, Republic of	841	403	4	30,598	0	0	0	834,696	700,627	755,291	531,711	338,356	109,939	
Kuwait	0	0	0	0		0	0	6						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	18	21	0	0	0	13	0	29	103	86	
Libya							0	37	0	0				
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	6	0	0	13	19	0		4	0	0	0	0	
Madagascar	1	0	1	0	49	9	0	0	0	0	0	0	9	
Malawi	0	0	0	0	0	2	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	1	0	34	3	0	118	22	68	
Mali	0	0	2	0	0	0	0	0		0	0	0		
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	76	0	297		12	0	0	2	0	0		
Mauritius	1	1	0	0	0	0	0	13,915	0	0	0	0	0	
Mexico	82	37	44	24	0	3	4,736	112,165	18,878	28,370	77	593	5	
Montenegro						1	0	0	0	7	0	0	0	
Morocco	2,791	2,070	1,947	1,659	3,185	2,238	2,146	5,191	27,429	101,798	39	593	124	
Mozambique	0	0	0	9	0	0	0	0	0	0	0	0	28	
Namibia	0	0	0	0	0	0	0	368	0	0	0	0	66	
Netherlands	33,872	145	6,510	42,874	288,854	147,332	293,051	390,316	346,372	490,955	985,250	1,113,779	570,313	
New Caledonia	0	0	0	0	0	1	1	1	10	9	0	0	65	
New Zealand	0	0	0	0	0	0	0	0	0	18	0	0	0	
Nicaragua	4	0	465	1,223	0	0	1,124	0	2,174	10,254	0	0	0	
Niger	0	0	0	24	28	27	174	281	259	78	2	0	0	
Nigeria	218	0	41			91	4,936	3,054	2,433	587	5,276	2,969		
Norway	2	40	43	1,370	29,789	55,187	97,952	176	199,235	3,244	135,555	191,212	583,819	
Oman	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			252	0	39	19	0	4	10	0	58	1	1	
Paraguay	0	0	0	0	0	0	42	7	0	1	0	0	0	
Peru	0	0	4,463	0	0	0	8,339	0	0	0	0	0		
Philippines	17	46	12	0	0	0	2	0	0	0	0	1	0	
Poland	0	201	0	2	5	11	17	0	1,659	1,517	0	0	0	
Portugal	2,244	56,408	3,849	3,576	373,312	500,512	585,256	406,963	222,315	236,207	193,530	613,934	252,680	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	4	0	0	0	0	0	0	0	0	0	150	86	0	
Russian Federation	20	17	0	0	0	0	0	1	0	0	0	14	0	
Rwanda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	2	0	0	19			
Sao Tome and Principe	0	0	0	5	17	0	29	0	12	5	7	7	82	
Saudi Arabia	0	0	0	0	0	0	14	0	0	0	0	383		
Senegal	79	0	0	641	4,041	14,835	14,438	9,863	174	488	24,889	20,111	2,852	
Serbia					0	0	0	3	0	0	0	0	0	
Serbia and Montenegro	0	0		0										
Singapore	10	48	0	0	0	0	0	0	0	0	530	2,187	468,674	
Slovakia	1	0	0	0	0	10	0	0	11	4	0	220	0	
Slovenia	1	1	0	0	0	0	0	0	0	0	0	0	0	
South Africa	12	6	384	760	74	264	2,182	83	2,798	22	52	74,186	278,203	
Spain	590,687	488,389	734,438	684,709	739,155	1,043,828	1,239,109	2,787,948	639,103	956,607	1,893,798	1,114,597	1,079,367	
Sudan (North + South)	0	0	0	0	0	0		19	0	0	0			
Suriname	0			0	0	0	0		0	0	0			
Sweden	3	0	0	2	0	0	0	0	0	27	11,297	19,511	16,476	
Switzerland	3	127	402	104	2,415	3	0	2	0	4	49	400	45	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0				
Taipei, Chinese	19,863	24,319	53,252	640,217	488,953	870,283	1,213,949	1,637,194	485,946	460,455	801,102	459,300	331,300	
Tanzania, United Republic of	0	0	0	0	0	0	0	0	16	103	0	58	0	
Thailand	0	25,869	0	2	71	1,075	0	0	0	0	422	46,031	60,607	
Togo	0	1	4	43	0		609	1	0	70	4	0	0	
Trinidad and Tobago	0	0	0	0	0	2	35	0	0	0				
Tunisia	0	0	0	0	0	0	1	0	0	5	58	970	319	
Turkey	149	937	2,007	2,264	5,872	33,725	45,981	1,546	30	57	397	509	26	
Uganda	0	0	0	7	0	0	0	0	0	0	575	0	0	
Ukraine	0	10	24	0	0	0	0	283	0	0	3	98	0	
United Arab Emirates					0		10	18,292						
United Kingdom	6,077	8,869	8,019	24,050	23,456	28,645	20,805	1,265	65,726	16,619	508,173	495,953	1,848,088	
United States of America	477,277	553,574	962,963	1,258,840	1,675,272	1,825,405	1,861,818	3,495,119	2,587,064	2,291,440	1,223,538	1,746,595	928,693	
Uruguay	10,964	0	0	0	20,634	142,273	0	0	0	0	120,711	0	0	
Venezuela	0	0	20	0	2	0		0	0	6	0	0	0	
Viet Nam	0	125	6	0	0	0	0	0	0	0	0	0		
Zimbabwe	0	0		0	0	0	0	0	0	0	0	0	0	
