List of importing markets for a product exported by Eritrea (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	11,829	8,705	8,780	11,987	26,613	17,577	71,873	28,600	32,201	15,641	338,851	403,299	253,581	
Albania	0	0	0	0	0	4	0	0	0	0	0	0	0	
Algeria	1	0	0	0	0	0	0	0	0	0	1	3	1	
Argentina	0	0	0	0	0	0	0	0	0	0	0	1	0	
Armenia	0	0	0	0	0	2	3	0	0	0	0	0	0	
Australia	39	2	1	26	288	564	72	5	3	19	68	3	0	
Austria	285	198	174	132	68	1,858	77	188	0	0	1	1	0	
Azerbaijan	0	0	6	0	0	0	0	0	0	0	0	0		
Bahrain	0	16	0	0	0	0	0	0	0	3	0			
Bangladesh	0	9	0	598	17	230	2							
Barbados	0	0	0	38	27	16	9	4	0	10	33	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	21	8	16	8	58	17	9	119	5	0	167	2	0	
Belize	0	19	0	0	0	0	0	0	0	0	0	0	5	
Benin	0	0	0	0	0	0	7	3	0	4	0	27	11	
Bermuda												28	58	
Bolivia	0	0	0	0	0	0	0	3	0	0	0	3		
Bosnia and Herzegovina			0	0	0	0	0	0	0	0	0	2	0	
Botswana	0	3	1	0	0	16	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	42	10	7	9	10	1	177	9	
Bulgaria	0	0	0	3	2	0	11	0	0	0	0	5	0	
Burkina Faso	0	0	0	0	0		0	3	5	0	1	309		
Burundi	0	0	0	0	0	2	6	290	0	1	49	0	0	
Cambodia	0	48	0	46	2	0	0	20	1	0	1	0		
Cameroon	0	0	0	0	0	0	0	0	0	30	27	1		
Canada	3	46	27	16	31	97	19	34	98	251	324,530	373,055	155,483	
Chile	0	0	0	0	0	0	0	0	9	1	1	0	0	
China	9	5	0	511	408	708	2,519	2,474	422	1,054	871	1,259	51,490	
Colombia	164	174	2	12	215	368	88	2	20	5	7	63	2	
Comoros	0	0	0	0	0	0	0	17	0					
Congo							1	0	0	0	0	39	3	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	1	0	
Côte d'Ivoire	0	0	0	6	0	0	0	0	20	0	0	0		
Croatia	0	0	0	0	0	1	0	1	1	2	4	0	0	
Cuba	0	0	23	0	0	0								
Cyprus	0	1	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	229	0	19	2	8	20	1	183	7	28	1	3	
Denmark	11	18	17	8	46	48	74	2	10	14	4	0	9	
Dominican Republic	0	6	115	0	1	7	0	0	4	16	0	5	5	
Egypt	3	0	28	1,053	51	4	22	193	472	1,979	1,357	4,390	9,423	
El Salvador	1	0	8	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	30	12	0	0	0	0	0	0	0	22	
Ethiopia	0	0	2	2	146	758	14	0	0	0	0	0		
Faroe Islands	0	0	0	0	0	0	0	0	2					
Fiji		11	9	14	6	28	52	56	2	5	11	37		
Finland	1	1	0	6	0	17	0	0	0	0	0	0	0	
France	1,614	792	593	455	1,672	1,849	1,492	1,158	883	228	918	893	360	
French Polynesia	0	0	0	3	0	0	0	0	0	0	0	0	0	
Germany	547	1,231	571	747	1,263	141	52,733	269	5,572	452	177	882	72	
Greece	614	73	416	378	0	0	0	9	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	4	0	0	0	0	
Guinea	0	0		0	0	0	19	2		0	2	66		
Guyana	0	0	0	0	0	0	223	0	0	0	0	0	0	
Hungary	0	1	0	9	3	0	0	0	0	2	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	182	881	828	552	1,021	6,811	94	545	3,104	11,222	1,979	
Indonesia	670	81	134	3	33	355	0	1	7	116	0	756	1	
Iran (Islamic Republic of)	0	0	0	0	0	0				920	0			
Ireland	68	89	81	66	858	628	157	123	2	649	14	13	14	
Israel	0	0	53	0	376	49	25	66	63	13	36	106	25	
Italy	3,537	2,816	1,403	1,725	2,134	3,046	5,371	3,991	3,678	3,777	4,688	3,656	3,290	
Japan	16	169	29	815	115	24	3	57	320	10	182	16	0	
Jordan	0	0	73	0		158	141	141	6	0	3	2	0	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	7	0	0	
Kenya	50	18	41	76	12,022	429	11	2,528	304	25	8			
Korea, Republic of	4	150	152	19	8	7	466	95	12	17	4	5	18,383	
Kuwait	0	0	5	27		91	98	0						
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	7		
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	11	11	1	18	129	140	16	9	36	19	3	0	7	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	6	11	1	1	1	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0		0	10	0	0	0	
Madagascar	0	0	0	0	0	0	0	8	47	107	8	0	1	
Malawi	0	0	0	0	0	0	50	0	0	5	0	6	8	
Malaysia	2,620	711	1,051	213	12	159	120	23	48	3	404	0	3	
Malta	0	0	0	0	0	0	0	0	0	0	0	2	0	
Mauritius	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mayotte	0	0	0	0	0	0	7	0	0					
Mexico	32	181	0	0	5	76	196	1	4	31	62	54	21	
Montenegro						0	0	0	184	2	0	0	4	
Morocco	0	0	20	1	4	31	127	1	0	0	0	0	0	
Mozambique	2	9	0	24	45	3	3	0	636	0	25	6	0	
Namibia	0	25	1	0	0	0	21	0	0	0	0	1	0	
Nepal			0						0	0	9			
Netherlands	426	398	40	143	170	109	7	83	83	26	4	4	170	
New Caledonia	0	0	0	0	0	0	0	0	0	0	3	0	0	
New Zealand	0	0	0	53	3	27	3	27	0	1	1	18	0	
Nicaragua	0	0	0	0	0	1	0	0	0	0	0	6	0	
Niger	0	0	0	0	36	23	0	0	1	4	0	30	2	
Nigeria	0	0	0			16	1,207	1,440	2,983	1,043	271	733		
Norway	0	0	1	5	1	1	6	0	0	2	4	3	6	
Oman	2	0	393	0	0	0	12	0	0	0	0	0	0	
Pakistan			0	15	1	0	192	602	29	62	435	199	156	
Palestine, State of							0	0	0	2	9	1		
Panama	0	0	0		0	0	0	0	0	0	0			
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	6	1	0	0	0	0	1	0	0	0	2		
Philippines	0	0	190	0	0	2	0	2	0	0	0	0	0	
Poland	70	53	398	420	174	99	99	54	60	36	20	29	103	
Portugal	0	0	0	0	0	0	0	0	0	0	0	1,545	46	
Qatar	0	0	0	1	4	334	26	400	85	0	87	0	16	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	7	0	0	1	15	1	0	21	0	0	0	
Russian Federation	4	18	16	313	0	106	15	638	2	2	0	3	66	
Rwanda	0	0	10	49	44	3	84	16	0	2	19	2	17	
Saudi Arabia	303	25	32	106	507	60	534	4,053	5,286	3,065	0	179		
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia					3	0	0	0	7	2	0	1	2	
Serbia and Montenegro	0	16		22										
Singapore	0	39	0	0	0	0	0	0	0	0	36	480	8	
Slovakia	1	1	0	47	18	453	3	4	22	2	2	5	19	
Slovenia	1	0	0	0	2	0	0	8	1	11	5	0	0	
South Africa	1	6	19	128	75	97	195	176	77	143	21	24	46	
Spain	33	53	534	414	17	102	0	2	0	19	4	69	228	
Sri Lanka	0	14	0	0	0	0	63	48	0	0	0	23		
Sudan (North + South)	0	22	348	24	2	175		607	6,343	47	364			
Sweden	7	34	1	51	37	1	22	23	34	24	5	17	9	
Switzerland	18	9	437	61	108	72	596	9	181	30	5	6	13	
Syrian Arab Republic	0	0	0	0	191	193	164	0	6	0				
Taipei, Chinese	0	4	40	198	1,036	741	1,118	573	1,607	4	0	579	1,382	
Tanzania, United Republic of	53	7	8	111	6	20	131	11	33	153	39	378	0	
Thailand	28	41	71	250	29	101	264	121	148	23	3	27	4	
Timor-Leste				0	0									
Togo	0	0	0	0	0		0	16	24	4	0	0	0	
Tonga	0	0	0					12	24	0	0	1		
Tunisia	21	21	0	4	11	65	37	50	48	22	66	11	18	
