List of importing markets for a product exported by Estonia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	3,996,832	4,341,041	5,629,182	6,530,529	8,247,444	10,039,367	11,739,447	13,703,858	10,445,840	12,811,364	18,139,131	18,157,456	18,256,653	
Afghanistan	0	4	95	12	73	972	2,138	919	1,617	1,541	23,772	103,174	41,996	
Africa not elsewhere specified	0	0	0	0	0	0	204	15	0	0	1	42	10	
Albania	2	3	0	3	178	0	44	150	109	146	18	240	746	
Algeria	3,214	1,307	618	2,324	3,669	2,429	1,261	2,678	3,369	6,513	8,787	11,684	22,443	
Andorra	126	191	13	0	67	0	0	42	0	8	0	0	4	
Angola	119	1,030	287	147	76	266	3,567	38,318	676	1,268	18,197	19,798	40,671	
Anguilla	17	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	514	3,309	1,815	794	1,890	40	801	555	278	185	822	34	4	
Area Nes	137,002	112,060	16,248	41,457	34,837	53,993	0	0	100,576	222,995	0	0	4	
Argentina	803	37	56	699	983	570	691	7,575	540	2,492	1,908	1,417	1,935	
Armenia	344	231	461	472	978	2,025	1,748	1,252	3,019	1,317	2,772	646	1,431	
Aruba	0	0	3	235	3	5	4	5	4	3	4	7	285	
Australia	1,771	2,126	4,136	10,031	13,467	8,043	4,975	13,588	12,615	32,228	33,654	28,792	30,694	
Austria	19,540	21,123	28,180	25,577	35,451	47,687	70,786	55,752	35,819	44,492	65,771	53,719	46,867	
Azerbaijan	185	199	1,597	1,711	5,980	2,743	13,219	12,114	9,525	13,438	20,091	13,157	12,035	
Bahamas	2,197	3,850	4,589	1,688	189	249	313	191	61	3	288	7,704	3,817	
Bahrain	252	10	46	37	41	2,704	100	156	179	418	164	1,281	1,195	
Bangladesh	616	232	73	108	2,464	111	74	2	72	2	0	838	2,318	
Barbados	72	14	3	63	0	0	10	20	0	0	4	0	0	
Belarus	19,879	17,667	19,545	28,548	33,203	61,276	61,493	101,880	73,693	114,164	145,055	104,916	95,504	
Belgium	36,998	36,271	75,973	67,953	100,970	97,939	112,399	149,043	171,905	149,149	200,850	296,300	363,108	
Belize	335	1,675	1,221	2,619	66	364	1,045	147	922	197	59	0	6	
Benin	379	394	0	84	2,137	30	264	454	1,383	496	1,087	1,133	2,751	
Bermuda	144	221	24	2,713	1	0	0	0	0	0	4	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	3	
Bolivia	22	55	20	0	186	272	385	721	119	161	171	439	625	
Bosnia and Herzegovina	3	85	93	15	379	1,677	1,509	2,692	2,005	2,369	1,759	1,784	2,855	
Botswana	0	0	3	33	6	0	0	0	0	0	0	0	7	
Brazil	8,078	9,078	13,446	9,853	15,647	23,330	27,916	36,420	20,894	39,074	70,053	57,080	51,584	
British Indian Ocean Territories	2	0	34	79	0	0	0	0	0	0	0	0	0	
British Virgin Islands	2,912	1,029	763	458	1,810	1,376	19,814	7,314	961	604	436	1,985	1,209	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	46	
Bulgaria	485	758	1,204	3,006	3,432	3,697	7,740	6,676	5,067	12,862	6,648	12,340	22,195	
Burkina Faso	0	0	0	0	0	31	42	95	202	263	621	442	452	
Burundi	0	7	0	1	0	0	0	0	0	0	5	0	0	
Cabo Verde	180	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	890	1,602	1,140	343	21	75	18	83	161	49	27	280	125	
Cameroon	965	445	299	569	966	126	151	446	20	84	190	521	2,221	
Canada	14,642	15,354	19,426	15,822	57,207	59,346	89,621	77,734	186,698	115,758	77,800	111,436	33,833	
Cayman Islands	188	138	907	86	2	0	14	0	0	39	0	10	0	
Central African Republic	0	0	0	8	0	0	0	2	0	17	0	0	0	
Chad	47	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	3,555	294	898	795	4,087	6,907	1,537	422	702	2,676	6,124	4,801	2,784	
China	15,884	22,439	34,848	39,587	43,856	267,750	92,226	80,578	79,653	155,430	304,682	137,711	157,422	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	87	1,966	897	322	175	639	288	1,159	653	2,926	3,679	2,111	4,191	
Comoros	0	0	0	10	10	0	0	3	0	115	0	0	0	
Congo	0	0	0	0	0	9	41	0	6	3	0	17	24	
Cook Islands	0	0	0	0	0	0	0	0	0	27	0	0	0	
Costa Rica	98	0	2	135	30	123	88	216	184	25,404	618	430	137	
Côte d'Ivoire	945	949	1,117	943	780	336	371	190	208	785	313	967	767	
Croatia	209	594	1,535	2,581	3,599	3,832	4,116	5,660	4,000	5,927	4,127	9,740	2,483	
Cuba	128	1,205	2,785	54	1,584	2,701	15,928	23,723	2,747	5,703	6,402	7,015	6,434	
Cyprus	11,415	18,331	21,756	7,302	3,378	3,194	2,515	3,442	5,450	13,763	12,985	11,680	69,857	
Czech Republic	8,734	13,002	27,363	24,664	28,649	36,802	41,853	68,398	43,491	68,556	64,925	74,397	61,782	
Democratic Republic of the Congo	428	0	0	0	33	0	4	6	0	0	0	60	21	
Denmark	117,856	167,986	183,730	192,058	242,265	249,073	300,113	405,368	315,133	288,800	426,922	379,944	373,690	
Djibouti	0	0	0	0	0	0	0	6	46	0	0	0	0	
Dominica	0	747	699	34	33	10	16	10	4	116	128	171	5	
Dominican Republic	0	713	519	217	248	9	3	172	781	398	1,307	1,143	918	
Ecuador	1	1,547	6	246	196	80	224	794	34,944	77	281	133	589	
Egypt	9,693	10,313	14,148	7,103	6,661	60,867	18,221	30,858	13,100	93,529	23,762	24,320	20,084	
