List of importing markets for a product exported by Ethiopia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	402,608	414,860	512,689	614,701	926,204	1,042,963	1,277,145	1,601,835	1,618,166	2,329,793	2,614,892	2,891,347	
Afghanistan	0	0	0	0	0	0	0	38	12	3	8	0	
Albania	59	137	87	124	17	1	0	64	240	188	82	82	
Algeria	831	874	389	898	300	1,100	1,749	672	175	646	1,131	1,403	
Andorra	0	0	32	0	0	0	82	0	0	24	110	10	
Angola	0	0	0	56	133	39	137	459	79	1,108	4,084	3,298	
Anguilla	0	0	0	38	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	81	0	28	0	0	0	0	25	
Area Nes	47	204	98	6,382	4,692	5,112	0	0	0	0	0	0	
Argentina	8	0	43	0	0	2	15	41	0	0	198	8	
Armenia	0	0	0	0	4	5	0	65	281	67	0	0	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	838	895	1,280	1,401	2,175	3,555	4,057	6,557	6,068	10,974	11,911	22,748	
Austria	42	18	5	27	145	2	47	111	249	305	67	92	
Azerbaijan	0	0	0	0	0	0	6	0	0	27	0	0	
Bahamas	0	0	0	0	0	0	0	0	3	11	0	0	
Bahrain	0	0	1	5	8	313	66	273	373	1,160	1,821	3,393	
Bangladesh	362	339	278	461	0	42	11,212	2,182	888	844	4,711	131	
Barbados	74	0	0	0	0	0	0	0	0	0	0	12	
Belarus	0	0	0	7	0	0	0	5	0	0	28	187	
Belgium	7,299	12,389	14,525	20,156	24,052	33,647	46,736	54,986	35,605	56,643	69,458	76,275	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	6	0	55	67	27	164	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	8	
Bhutan	0	0	0	67	89	0	0	108	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	10	
Bosnia and Herzegovina	0	0	0	0	1	0	103	14	82	54	60	64	
Botswana	0	0	0	0	0	0	9	11	31	53	65	136	
Brazil	219	0	98	538	448	70	245	14	126	0	226	32	
British Indian Ocean Territories	0	0	19	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	44	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	31	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	61	183	1,847	550	341	136	4,256	1,112	1,126	709	1,181	5,218	
Burkina Faso	0	0	0	0	0	0	2	21	132	192	588	368	
Burundi	0	37	0	0	14	0	136	38	49	31	174	14	
Cabo Verde	0	0	0	0	0	0	0	0	27	0	0	0	
Cambodia	0	0	0	0	0	0	6	0	12	17	8	43	
Cameroon	0	0	0	4	0	2	6	54	230	1,057	70	3,159	
Canada	2,281	1,627	1,699	2,625	7,677	5,167	6,768	8,599	9,015	8,580	12,139	10,249	
Cayman Islands	0	1	91	0	0	1	10	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	35	0	0	44	8	
Chad	0	0	0	25	0	0	108	10	92	114	78	105	
Chile	0	0	0	0	280	0	1	10	10	74	123	178	
China	4,511	7,411	5,029	15,047	90,444	101,353	69,582	85,080	243,129	241,763	283,443	320,919	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	5	9	0	4	10	0	115	89	101	26	
Comoros	0	0	0	0	0	0	0	0	0	822	323	190	
Congo	0	0	622	404	140	252	110	650	104	381	375	258	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	6	7	46	108	21	0	0	0	
Côte d'Ivoire	0	0	37	0	0	0	3	55	72	47	79	60	
Croatia	0	0	39	0	0	45	56	187	521	462	3	7	
Cuba	0	0	85	0	234	56	0	7	68	0	1	1	
Cyprus	0	29	28	127	49	117	126	822	172	87	19	215	
Czech Republic	39	186	163	199	490	221	1,251	723	479	324	170	325	
Democratic Republic of the Congo	0	0	0	0	196	0	0	0	0	0	4	0	
Denmark	541	259	438	1,267	2,359	1,856	439	1,549	550	1,503	1,044	2,359	
Djibouti	71,357	54,340	99,415	26,777	53,513	53,696	59,904	57,280	51,576	67,059	75,644	107,166	
Dominica	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	179	0	
Ecuador	0	0	0	0	17	0	1	0	116	0	3	24	
Egypt	2,581	4,887	2,223	2,385	14,355	8,967	7,866	13,074	15,656	46,324	46,128	44,322	
El Salvador	0	0	0	0	0	2	2	0	0	630	5,850	924	
Equatorial Guinea	0	0	0	0	0	0	24	0	38	2	93	5	
Eritrea	0	0	0	0	3	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	3	71	507	351	1	
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	
Europe Othr. Nes	0	0	0	189	44	0	0	0	0	0	0	0	
European Union Nes	0	0	0	0	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	233	0	0	0	0	0	0	0	
Finland	435	876	401	288	452	682	2,180	5,328	2,559	2,832	9,859	6,866	
France	11,552	11,128	8,518	11,390	16,580	26,576	19,911	24,118	18,024	37,808	50,199	52,625	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	48	0	0	26	25	236	108	
Gambia	0	0	6	4	42	0	5	0	0	0	31	45	
Georgia	0	0	13	1	329	6	174	202	119	5	124	23	
Germany	23,062	49,514	57,556	76,522	121,528	130,864	123,479	168,649	128,854	265,293	318,808	312,661	
Ghana	14	0	0	9	119	0	296	59	166	214	147	627	
Gibraltar	0	0	0	0	0	141	0	0	0	0	0	0	
Greece	2,938	4,784	3,659	4,342	5,836	5,519	8,349	20,641	7,129	7,351	10,024	7,747	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	1	0	0	0	0	
Guatemala	0	0	282	199	249	298	207	126	599	194	419	126	
Guinea	0	0	0	0	0	6	76	14	6	2	15	5	
Guinea-Bissau	0	0	0	0	0	0	0	3	0	0	8	150	
Guyana	0	0	1	0	9	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	3	0	314	44	0	0	0	
Honduras	0	0	51	0	0	0	51	0	11	0	869	0	
Hong Kong, China	1,227	1,287	2,414	2,564	2,854	3,309	4,644	5,909	2,968	6,676	21,546	33,073	
Hungary	175	283	503	459	360	114	936	638	414	392	319	1,795	
Iceland	11,775	2,326	301	0	843	3	222	0	0	0	182	491	
India	17,419	10,968	7,425	8,897	9,138	9,638	15,953	15,371	19,414	29,921	33,792	44,465	
Indonesia	3,378	2,420	1,392	3,688	1,325	971	1,171	4,030	1,402	8,723	13,706	15,067	
Iran (Islamic Republic of)	0	0	0	506	1,324	76	521	285	371	842	167	289	
Iraq	0	0	0	193	0	0	3	3	105	461	615	240	
Ireland	98	25	0	139	0	0	252	572	25	35	378	206	
Israel	14,040	15,131	14,352	20,128	23,991	21,480	31,240	50,413	46,471	51,859	67,204	70,934	
Italy	42,566	40,971	31,725	37,837	47,403	63,266	83,003	82,994	67,604	69,155	111,214	79,995	
Jamaica	0	0	20	0	0	0	0	48	1	5	756	212	
Japan	37,208	37,335	43,723	62,596	66,608	87,421	77,319	61,942	9,949	38,695	35,936	75,418	
Jordan	1,554	1,356	4,551	4,573	6,884	9,454	9,455	19,654	19,001	16,837	26,581	36,805	
Kazakhstan	0	0	0	0	1	0	0	1	0	22	1	2	
Kenya	650	23	829	1,024	2,458	2,591	5,237	4,444	4,335	4,732	16,577	13,312	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	33	30	666	1,007	1,034	238	860	1,252	465	59	
Korea, Republic of	323	351	808	1,022	1,571	1,554	1,716	10,937	8,099	9,281	18,346	23,661	
Kuwait	0	1	53	35	112	46	167	707	567	693	3,113	1,804	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	3	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	1,021	0	26	9	
Latvia	0	0	0	0	0	0	0	17	0	1,131	618	123	
Lebanon	132	159	2	334	22	78	581	1,985	2,715	751	4,454	2,690	
Lesotho	0	0	0	0	0	0	1	3	9	44	19	13	
Liberia	0	0	0	0	241	0	1	24	0	7	4	2	
Libya	0	0	0	191	279	0	334	14	223	131	144	11,698	
Lithuania	0	0	0	0	24	19	247	151	23	78	151	293	
Luxembourg	0	0	0	19,375	0	0	23	0	0	0	6	0	
Macao, China	29	0	28	109	0	0	56	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	0	0	1	
