List of importing markets for a product exported by Ethiopia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	349,169	367,165	434,167	547,368	838,020	1,007,517	1,178,735	1,505,753	1,334,827	1,580,243	2,070,095	2,073,619	1,862,407	
Albania	0	1	0	0	12	61	83	126	34	125	238	182	389	
Algeria	1,464	1,707	852	1,658	3,099	414	2,618	1,753	1,087	827	456	1,472	4,414	
Andorra	0	2	1	5										
Argentina	0	1	23	0	0	20	6	12	13	391	142	251	134	
Armenia	0	0	0	0	0	231	341	533	460	408	451	471	341	
Australia	1,059	893	971	1,310	2,130	2,918	3,880	6,142	6,014	10,493	12,713	17,988	13,781	
Austria	1,467	6,210	3,832	1,673	2,183	3,369	2,624	5,134	889	625	767	539	449	
Azerbaijan	9	0	0	0	0	2	4	0	0	0	0	0		
Bahamas	0	0	268	0	0	0	0	0	0	0	0	0		
Bahrain	0	3	0	3	13	0	0	182	19	1,395	2,794			
Bangladesh	0	313	705	588	123	0	17,269							
Barbados	0	0	0	0	0	0	1	6	1	0	0	3	27	
Belarus	0	2	3	10	190	242	281	414	117	302	333	320	598	
Belgium	20,978	7,843	13,667	18,851	29,612	37,052	42,994	46,858	65,329	148,783	185,573	183,113	190,162	
Benin	2	152	1	6	57	0	0	0	0	0	0	19	29	
Bermuda												5	1	
Bolivia	0	2	0	10	0	0	1	3,313	0	2	0	12		
Bosnia and Herzegovina			29	25	45	30	121	99	302	329	230	155	203	
Botswana	10	11	187	3	30	45	6	22	62	62	66	42	47	
Brazil	74	21	22	367	140	43	37	31	38	37	55	166	64	
Bulgaria	120	250	12	5	107	89	263	1,123	643	896	2,250	5,847	5,985	
Burkina Faso	0	0	64	0	1		20	53	5	69	154	37		
Burundi	97	21	53	25	61	2,530	55	50	716	381	184	248	94	
Cabo Verde	4	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	12	0	1	0	3	0	8	0	5	9		
Cameroon	0	0	1	1	1	9	6	355	310	19	4	8		
Canada	3,922	3,895	4,334	4,941	7,139	6,136	7,957	11,923	14,738	14,662	17,640	17,733	17,310	
Central African Republic	0	0	0			0	0	0	0	0	0	0	0	
Chile	0	13	0	0	445	457	0	0	25	41	92	68	184	
China	1,770	3,685	4,738	14,386	85,709	131,823	87,130	81,656	214,756	273,970	292,059	309,366	315,702	
Colombia	4	0	1	23	2	3	17	107	40	3	16	6	10	
