List of importing markets for a product exported by Faroe Islands Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
World	521,707	542,029	599,299	620,097	601,764	630,967	746,230	852,091	761,744	
Afghanistan	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	112	0	0	
Andorra	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	43	9	
Area Nes	1,513	1,279	1,225	1,471	910	3,906	5,795	2,145	670	
Argentina	0	0	0	125	0	0	0	1,922	0	
Armenia	0	0	0	0	0	0	0	0	0	
Aruba	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	0	0	0	0	36	9	
Austria	666	493	484	0	0	0	11	5	41	
Bahamas	0	0	0	0	0	0	38	108	135	
Bahrain	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	122	0	0	
Belarus	0	0	334	209	3,406	100	846	2,296	1,182	
Belgium	3,348	3,076	2,105	1,511	1,827	1,191	715	1,885	2,578	
Belize	0	0	0	0	0	0	0	2	57	
Benin	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	56	13	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	521	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	3	0	0	
Canada	10,914	10,507	16,479	3,123	11,886	10,187	6,941	6,101	7,222	
Cayman Islands	0	0	0	0	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	
Chile	140	0	2	0	0	0	1,242	20,711	316	
China	5,744	2,922	7,836	7,181	12,688	11,785	10,553	4,041	17,951	
Christmas Islands	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	
Comoros	0	0	0	0	0	0	0	0	0	
Congo	0	0	0	0	0	0	0	0	0	
Cook Islands	0	0	0	0	0	0	0	0	0	
