List of importing markets for a product exported by Faroe Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	524,304	506,020	596,098	635,794	578,002	715,671	789,473	998,067	862,662	956,413	1,208,870	1,143,389	1,258,514	
Antigua and Barbuda					0		0		0	2	0	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	5	0	
Austria	36	65	84	95	77	328	147	225	1	1	4	13	3	
Bangladesh	0	0	0	170	0	0	0							
Barbados	1	0	0	0	0	0	0	0	0	0	0	7	0	
Belarus	0	1,434	2,834	2,071	5,864	5,838	7,425	6,167	4,107	812	2,594	2,310	1,715	
Belgium	44	21	441	930	5	10	7	14	4	22	6	15	10	
Benin	15	0	0	0	0	0	0	0	3	0	3	0	0	
Bosnia and Herzegovina			0	0	5	16	33	0	276	82	1	0	31	
Botswana	0	3	0	0	0	0	0	0	0	0	0	0	0	
Brazil	711	18	0	1	0	0	193	11	66	42	243	1,197	462	
Bulgaria	0	6	0	0	41	0	61	71	0	447	204	480	34	
Burkina Faso	0	0	0	236	0		0	0	0	0	0	0		
Cabo Verde	0	0	0	0	0	374	0		0	0	0	2	0	
Cambodia	0	3	0	18	0	2	22	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	1	1,760	3		
Canada	34,514	10,916	5,927	2,429	6,767	7,624	2,613	1,234	1,823	5,433	8,104	8,956	8,159	
China	0	0	0	0	0	4,327	6,881	8,259	6,684	13,938	27,130	49,532	0	
Colombia	32	22	0	4	0	0	1	7	18	1	268	8	4	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	4	
Côte d'Ivoire	0	0	0	0	39	0	0	0	7	0	1,586	1,449		
Croatia	59	144	153	154	48	562	127	129,859	190	113	113	136	0	
Cyprus	39	0	77	118	80	152	0	0	0	0	0	4	0	
Czech Republic	48	3	18	67	356	253	1,426	780	42	117	3,640	5,090	396	
Denmark	182,417	168,804	210,223	198,014	168,611	162,167	170,321	190,919	278,500	306,398	297,193	263,850	274,852	
Dominican Republic	25	0	6	0	0	0	0	0	0	0	0	0	0	
Ecuador	1	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	122	179	0	137	254	534	478	443	307	301	561	179	1,644	
Ethiopia	0	0	0	0	315	0	0	0	0	0	0	0		
Fiji		0	0	0	0	0	0	0	3	0	0	0		
Finland	261	1,695	3,280	2,932	2,403	1,619	332	569	104	14	157	96	4	
France	41,984	39,322	48,818	60,342	52,593	55,981	65,508	80,142	73,584	65,927	40,691	56,683	56,774	
French Polynesia	0	2	1	2	5	4	6	4	3	1	0	0	0	
Georgia	0	0	0	0	0	0	0	0	58	0	201	268	0	
Germany	20,701	12,699	15,121	14,824	16,520	18,084	13,924	16,613	18,461	29,220	27,698	23,739	31,986	
Greece	101	65	0	3,712	8,664	4,678	3,543	11,496	0	10,298	56	8,196	4,769	
Greenland	24	72	737	160	1,733	1,085	599	1,591	200	1,183	1,437	1,566	1,260	
Guatemala	0	0	0	10	0	0	0	0	0	0	0	0	0	
Guinea	0	65		1	0	2	0	0		0	0	0		
Guyana	0	1	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	1	30	0	0	0	0	0	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	0	
Iceland	5,683	5,785	12,315	32,622	8,338	15,843	23,825	24,363	15,479	17,328	11,818	10,395	17,122	
India	0	0	16	0	23	13	173	11	74	7,270	41	0	0	
Indonesia	139	43	5	0	0	0	0	0	18	101	0	0	134	
Ireland	132	274	883	733	1,055	1,515	5,417	4,180	4,172	1,921	1,753	3,902	4,030	
Israel	54	284	210	5	12	22	35	72	0	0	0	0	173	
Italy	0	130	272	275	8	363	505	289	14	15	58	47	98	
Jamaica	0	0	0	0	0	0	1,055	158	0	0	0	519		
Kazakhstan	0	0	0	0	0	8	0	4	453	154	186	64	187	
Kenya	0	0	0	35	0	0	0	0	0	0	0			
Kiribati					0		0	0	25	0	0	0		
Korea, Republic of	240	0	55	122	214	106	356	1,695	0	0	61	30	0	
Kyrgyzstan	0	0	0	0	0	0	0	0	3	31	0	0		
Latvia	0	0	0	0	23	136	96	512	35	58	137	4	89	
Lebanon	0	0	0	0	3	1	0	7	0	0	0	0	21	
Lithuania	1,390	1,860	219	8,804	3,292	2,981	1,720	1,193	2,133	2,076	3,390	3,639	5,970	
Luxembourg	0	0	1	1	3	0	3	318	115	31	29	137	112	
Macao, China	0	0	0	0	0	0	0	1	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	4	0	0		18	39	10	55	17	
Madagascar	5	0	0	212	1	1	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	21	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mali	0	15	0	0	4	0	0	0		0	0	0		
Malta	0	4	0	0	0	0	0	0	0	0	0	0	1,036	
Mauritania	0	0	0	0	204		0	0	2	0	0	0		
Mauritius	0	1	0	1	1	0	0	1	0	11	0	8	4	
Mayotte	0	1	0	0	0	1	0	0	0					
Montenegro						0	2	2	0	7	0	65	8	
Morocco	0	0	0	0	62	0	0	9	0	0	0	1	112	
Mozambique	0	0	0	0	0	0	42	0	0	0	98	1	14	
Namibia	34	135	0	0	0	0	0	0	2,829	0	0	0	0	
Netherlands	28,989	382	365	361	1,699	23,301	22,408	30,205	41,900	50,017	86,468	94,115	76,117	
New Caledonia	9	6	0	0	6	0	7	3	2	18	56	13	0	
New Zealand	0	0	0	0	0	0	13	196	105	76	41	4	1	
Niger	0	0	0	0	0	0	0	0	0	5	0	0	0	
Nigeria	5,525	22,505	32,242			64,857	51,703	40,925	7,470	27,481	87,710	63,952		
Norway	33,084	30,781	30,892	49,351	37,502	72,095	106,831	127,438	68,493	43,844	49,469	41,293	40,313	
Pakistan			0	2	5	0	8	46	0	0	49,068	0	8	
Palestine, State of							7	0	0	1	0	0		
Panama	0	0	0		0	0	0	0	0	0	0			
Papua New Guinea	0	0	0	0							18	0		
Peru	0	0	0	0	0	0	0	0	95	0	0	0		
Philippines	0	0	0	0	0	0	0	34	0	217	121	336	246	
Poland	3,681	2,254	1,863	13,591	5,012	2,248	6,361	5,038	7,078	15,486	27,706	29,742	46,260	
Portugal	236	153	16	107	11	16	0	6	184	0	64	2,275	0	
Republic of Moldova	0	0	11	12	47	20	110	176	203	1,455	2,729	2,809	4,110	
Romania	5	33	25	809	376	32	137	0	263	662	648	702	0	
Russian Federation	0	312	663	2,569	3,164	24,434	23,098	17,222	12,624	15,063	29,227	77,567	111,859	
Rwanda	0	0	0	0	0	0	0	31	0	0	6	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	1			
