List of importing markets for a product exported by Finland Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	44,300,008	44,517,738	52,503,237	60,915,848	65,238,316	77,279,103	89,798,885	96,896,071	62,919,385	69,550,512	79,205,286	73,156,106	74,259,826	
Afghanistan	7	367	547	274	1,359	2,551	3,801	7,010	2,016	1,656	6,246	2,291	2,166	
Africa not elsewhere specified	0	0	0	0	0	0	192	17	0	0	0	0	0	
Albania	24,220	2,772	3,137	11,568	3,622	4,782	4,993	7,277	5,213	6,257	4,570	3,612	2,511	
Algeria	67,816	72,192	92,427	120,045	89,348	130,835	204,975	170,448	151,491	224,310	194,642	213,957	267,973	
Andorra	579	429	169	418	331	510	67	115	156	554	165	105	506	
Angola	1,326	1,087	1,032	2,850	1,332	2,773	11,696	19,096	32,261	64,469	15,824	14,252	3,658	
Anguilla	95	8	74	18	2,539	3,149	553	6,785	28	44	26	50	65	
Antigua and Barbuda	299	408	13,742	1,437	1,286	16,606	9,497	3,730	1,348	1,798	3,300	281	184	
Area Nes	1,251,833	1,258,224	1,551,057	1,995,337	1,079,482	2,712,258	0	0	0	0	0	0	0	
Argentina	64,737	20,867	52,923	60,051	105,535	86,987	106,322	149,179	68,509	110,856	162,227	131,057	99,541	
Armenia	1,989	2,284	2,584	4,736	5,348	5,362	6,434	10,884	12,981	7,982	9,452	13,853	13,756	
Aruba	136	33	38	162	1,124	11,854	1,199	8,586	1,431	6,682	19,933	450	444	
Australia	362,377	344,532	370,795	491,071	541,703	507,625	659,586	852,031	387,736	527,310	824,284	757,177	620,447	
Austria	460,142	431,583	510,678	516,178	471,859	574,207	642,984	620,687	421,648	484,082	560,962	519,435	475,113	
Azerbaijan	5,584	6,468	8,432	17,003	64,167	186,871	112,812	165,771	56,870	56,285	49,542	48,610	69,161	
Bahamas	133	2,044	16,944	3,521	1,703	5,294	7,534	4,011	6,137	4,691	8,918	6,564	19,538	
Bahrain	10,727	16,273	25,735	65,757	49,049	57,064	119,471	43,562	9,503	7,852	13,729	8,866	9,688	
Bangladesh	16,309	11,708	8,561	23,376	16,644	27,854	45,354	100,851	31,136	161,363	212,618	50,325	96,747	
Barbados	622	277	290	681	983	1,006	276	442	99	232	114	48	400	
Belarus	22,636	22,172	31,206	44,357	45,659	70,828	87,038	190,726	97,483	103,669	84,534	82,312	126,141	
Belgium	1,041,584	1,152,319	1,385,185	1,522,578	1,489,527	1,657,257	2,194,346	2,418,915	1,590,159	1,773,095	2,078,672	2,051,948	2,350,843	
Belize	41	4	0	5	738	9,555	282	289	636	567	62	52	5,930	
Benin	1,215	818	812	2,281	920	732	1,049	642	505	390	68,007	201	419	
Bermuda	179	10,054	551	649	3,146	1,109	156	56	270	505	746	158	210	
Bhutan	14	23	15	17	20	21	0	4	60	206	4,162	19	132	
