List of importing markets for a product exported by Finland (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	43,061,122	43,685,765	50,286,673	60,595,865	69,131,055	79,054,877	90,971,030	99,528,840	67,295,460	71,667,234	82,516,873	74,934,467	74,864,309	
Afghanistan								0	7,052	1,756	2,360	0		
Albania	27,271	5,012	3,032	4,887	14,028	7,823	15,093	18,879	10,319	14,841	25,633	14,960	16,042	
Algeria	88,617	96,905	112,304	137,968	125,886	148,503	252,996	211,904	259,180	292,654	280,687	273,194	319,302	
Andorra	189	352	582	644										
Anguilla	1,214	8	59											
Antigua and Barbuda					654		853		1,156	1,115	2,370	92	223	
Argentina	80,734	31,804	59,444	74,417	75,337	129,261	140,435	192,902	110,517	159,542	213,047	212,030	172,367	
Armenia	1,667	2,487	2,266	3,289	4,611	4,934	11,281	15,993	30,284	11,082	14,102	19,579	23,551	
Aruba					293				3,057	2,868	45,558	815		
Australia	389,040	363,442	422,514	539,238	636,530	602,288	741,669	898,967	583,446	656,853	995,505	953,929	784,787	
Austria	707,022	699,777	845,459	885,078	1,332,272	991,484	1,035,360	953,328	605,164	540,972	608,116	640,135	551,053	
Azerbaijan	5,429	8,112	6,811	6,886	26,527	167,732	151,485	245,910	75,289	39,809	65,892	51,861		
Bahamas	6	1	6,576	53	890	943	82	17	462	44	107	2,743		
Bahrain	10,851	16,185	37,892	33,566	23,096	16,808	9,354	52,060	8,208	11,592	11,972			
Bangladesh	20,438	12,120	18,687	35,161	18,235	43,162	47,013							
Barbados	1,134	421	1,219	1,179	1,343	1,972	524	505	398	364	175	241	439	
Belarus	33,474	30,017	34,825	47,018	51,209	75,951	102,850	171,647	110,784	132,279	139,236	155,054	130,528	
Belgium	1,131,561	1,195,987	1,562,539	1,713,067	1,700,783	1,983,538	2,351,600	2,598,743	1,989,200	2,205,931	2,313,937	2,329,858	2,822,791	
Belize	3	7	5	27	28	9,618	262	229	449	509	144	83	10	
