List of importing markets for a product exported by France Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	289,599,105	304,891,879	358,131,717	413,708,422	434,354,245	479,012,852	539,730,712	594,504,995	464,112,811	511,651,043	581,541,871	556,575,682	566,879,047	
Afghanistan	3,829	13,921	33,168	52,220	30,710	47,039	64,345	45,084	70,893	60,536	60,892	57,339	32,626	
Africa not elsewhere specified	5,890	12,506	11,184	10,526	38,432	45,253	17,283	8,562	25,108	5,183	6,475	33,480	5,445	
Albania	13,375	14,019	24,939	24,336	21,494	20,737	30,109	35,136	71,871	61,179	73,245	32,110	49,186	
Algeria	3,031,638	3,543,036	4,183,371	5,258,186	5,809,565	5,057,742	5,695,717	8,108,167	6,959,564	6,933,296	8,004,663	8,178,151	7,849,174	
Andorra	272,279	296,481	357,322	393,880	402,800	405,801	350,697	395,334	318,568	308,483	319,389	275,975	272,148	
Angola	144,053	179,613	263,000	273,520	370,800	633,660	741,951	745,298	752,695	841,482	812,983	699,385	612,823	
Anguilla	604	745	1,390	1,135	11,274	1,717	6,975	1,255	932	4,238	2,376	7,084	565	
Antigua and Barbuda	2,136	6,216	5,298	4,604	7,642	14,607	4,906	13,334	7,593	4,662	5,021	5,193	97,450	
Area Nes	598,721	653,278	178,480	278,143	334,554	319,431	660,791	1,107,035	736,649	969,762	1,121,805	1,354,992	769,518	
Argentina	723,231	322,751	409,462	669,834	756,177	1,017,234	1,248,571	1,402,353	951,489	1,368,448	1,666,358	1,460,360	1,644,220	
Armenia	11,629	15,682	14,333	18,934	47,011	52,796	77,516	124,225	59,673	49,807	61,571	51,318	50,211	
Aruba	4,773	5,486	5,959	6,849	13,427	57,544	31,915	9,961	16,805	50,514	12,490	16,339	42,316	
Australia	1,229,951	1,576,262	2,169,189	2,920,336	3,031,023	2,747,017	3,167,618	4,963,415	3,476,213	4,255,124	5,288,651	3,858,041	3,680,335	
Austria	2,892,088	2,853,676	3,555,768	4,367,646	4,232,534	4,580,910	4,993,742	5,434,493	4,117,255	4,467,099	5,252,738	4,708,316	4,767,264	
Azerbaijan	29,474	105,636	55,797	96,699	115,708	58,934	147,959	222,455	143,106	138,887	180,839	212,133	353,695	
Bahamas	37,326	17,905	449,293	38,934	22,429	133,096	29,836	120,359	27,053	1,180,906	34,778	81,039	49,256	
Bahrain	89,274	89,249	114,404	251,941	112,955	137,624	179,842	222,273	812,308	486,588	324,363	779,598	184,109	
Bangladesh	82,835	92,602	89,938	81,098	69,520	114,816	87,535	108,501	99,258	105,464	137,045	132,846	177,122	
Barbados	9,676	14,157	20,623	16,467	16,026	22,941	19,944	23,454	18,632	21,784	23,245	26,084	26,417	
Belarus	61,970	71,028	97,593	127,168	122,620	157,732	209,665	326,279	183,991	235,665	231,068	219,115	246,634	
Belgium	20,429,047	22,019,008	27,477,416	31,713,370	32,740,005	35,250,556	40,593,524	45,317,968	35,348,722	38,471,537	41,857,923	40,758,251	43,594,692	
Belize	2,004	1,136	3,080	1,231	2,588	4,055	7,716	3,152	2,573	1,611	6,294	5,810	2,419	
Benin	206,926	214,593	236,560	238,260	214,129	235,979	357,124	420,191	388,507	527,365	1,123,623	344,038	357,631	
Bermuda	14,582	412,170	472,222	55,586	43,470	15,643	116,317	194,870	11,137	59,648	12,710	33,850	5,562	
Bhutan	43	75	87	828	5,332	2,176	3,583	1,235	1,213	774	1,251	2,680	639	
Bolivia	19,693	16,481	17,638	20,693	17,932	23,393	22,551	26,667	36,763	29,853	35,439	34,855	48,498	
Bosnia and Herzegovina	46,554	48,985	62,100	57,799	85,127	83,042	89,408	105,480	73,415	83,342	112,042	98,705	93,349	
Botswana	24,705	14,642	25,509	11,258	5,780	6,953	9,653	12,749	60,104	13,038	11,361	11,026	11,535	
Brazil	2,464,636	2,557,786	1,692,067	2,258,777	2,772,820	3,202,713	4,225,379	5,194,622	3,545,856	4,731,103	5,551,080	5,951,130	6,302,640	
British Indian Ocean Territories	0	30	0	10	0	0	29	0	65	1	0	0	38	
British Virgin Islands	60,946	22,042	71,164	152,505	73,901	160,621	151,293	159,922	112,298	163,468	75,622	38,074	38,959	
Brunei Darussalam	6,092	10,430	109,010	9,397	6,084	19,516	13,154	15,298	13,818	5,781	12,949	16,592	14,062	
Bulgaria	397,772	405,807	488,873	561,851	625,866	805,465	792,298	1,006,807	677,328	811,734	850,990	866,633	911,097	
Burkina Faso	115,539	159,243	236,144	260,663	237,521	258,129	293,292	293,041	305,547	299,212	301,956	337,829	441,048	
Burundi	13,179	8,744	10,370	16,306	12,829	12,557	21,240	24,894	16,998	19,005	26,638	19,892	18,461	
Cabo Verde	10,989	9,362	7,253	9,519	11,172	13,294	49,977	23,323	11,722	18,419	15,889	13,270	12,487	
Cambodia	47,469	57,414	48,763	49,978	55,903	63,681	75,345	81,415	62,642	61,721	71,455	79,727	82,125	
Cameroon	524,937	550,747	580,409	575,434	553,850	624,709	773,150	847,830	747,214	790,723	879,263	864,280	939,930	
