List of importing markets for a product exported by France (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	295,936,458	304,298,372	360,354,488	422,499,866	439,280,452	489,634,055	557,500,146	615,793,825	483,946,052	520,385,266	589,810,110	557,864,605	557,233,180	
Afghanistan								2,630	1,785	3,753	3,382	0		
Albania	12,554	16,691	20,313	32,622	32,325	29,245	45,650	62,779	95,278	100,162	129,974	78,191	126,922	
Algeria	2,381,841	2,697,461	3,236,499	4,124,341	4,472,291	4,370,250	4,613,613	6,503,786	6,159,889	6,119,686	7,115,360	6,433,334	6,257,798	
Andorra	265,248	294,137	363,552	393,336										
Anguilla	1,706	2,474	2,482											
Antigua and Barbuda					6,557		5,296		5,422	4,823	3,874	4,441	5,219	
Argentina	737,282	262,201	320,074	587,249	712,475	909,114	1,061,117	1,482,781	811,124	1,529,361	1,634,912	1,600,768	2,062,944	
Armenia	11,905	12,108	15,108	17,278	38,411	70,326	148,493	125,608	73,129	76,359	81,328	66,230	62,604	
Aruba					12,065				7,655	9,096	16,625	13,953		
Australia	1,333,603	1,761,573	2,491,278	3,078,173	3,813,882	3,112,638	3,880,128	4,241,156	3,238,654	3,433,571	3,867,854	3,946,471	3,843,813	
Austria	2,864,839	2,814,055	3,557,404	4,448,732	4,844,589	4,998,626	5,019,937	5,427,395	4,261,359	4,405,599	5,351,314	4,683,387	4,873,715	
Azerbaijan	26,138	118,111	155,953	120,134	121,810	55,838	103,802	132,731	142,121	136,440	608,857	185,835		
Bahamas	10,938	10,335	11,718	9,035	10,216	13,473	17,128	10,909	11,467	7,306	7,222	22,836		
Bahrain	97,027	136,813	128,228	226,829	175,290	102,969	171,672	263,756	197,926	270,730	241,911			
Bangladesh	79,744	54,011	115,087	75,126	79,441	142,428	143,425							
Barbados	14,793	19,064	26,989	16,732	29,697	29,661	19,779	28,122	22,507	25,271	26,435	34,746	34,577	
Belarus	87,209	94,888	116,432	165,075	176,143	270,562	345,775	561,374	393,319	384,993	428,942	435,478	495,861	
Belgium	24,062,292	24,938,893	30,719,798	35,071,972	36,206,011	39,068,689	45,896,235	51,928,597	40,872,938	43,135,054	49,422,497	46,015,944	51,108,054	
Belize	8,111	1,267	581	707	866	977	783	2,629	2,779	656	749	1,398	1,412	
Benin	138,616	173,867	216,099	194,612	165,391	172,850	284,422	288,200	271,669	243,064	343,550	321,044	332,727	
Bermuda												7,688	5,896	
Bhutan					3,527	1,777	729	2,002	3,564	4,290	715			
Bolivia	16,998	18,746	19,483	21,744	31,230	31,823	30,531	57,133	42,711	87,140	47,685	59,325		
Bosnia and Herzegovina			66,466	93,526	160,706	142,450	208,100	263,630	171,200	185,011	224,936	211,532	198,896	
Botswana	19,799	63,350	43,439	37,506	8,357	5,780	9,815	25,579	66,863	16,992	16,570	14,791	15,651	
Brazil	2,083,747	1,777,413	1,770,744	2,293,278	2,703,583	2,844,485	3,531,556	4,700,840	3,624,809	4,778,490	5,471,313	5,918,552	6,509,359	
Brunei Darussalam	18,858	15,865	20,746	13,322		16,998				12,120	39,387	31,039	17,385	
Bulgaria	438,287	451,444	614,437	764,873	851,388	955,251	1,129,049	1,348,809	825,331	836,640	1,057,061	954,608	1,018,368	
Burkina Faso	115,581	130,062	169,593	212,471	216,661		238,471	258,948	239,899	211,489	291,707	295,085		
Burundi	10,949	9,209	6,989	10,387	14,063	18,893	15,573	28,820	18,377	28,921	42,888	29,818	17,037	
Cabo Verde	8,228	5,935	11,840	10,663	9,914	14,672	70,846		11,348	14,315	18,161	12,605	11,617	
Cambodia	41,110	48,379	38,199	44,598	177,057	47,520	47,665	33,846	40,846	50,588	43,635	46,129		
Cameroon	445,280	454,064	392,002	539,692	509,291	540,375	716,118	804,617	714,767	748,073	879,263	778,301		
Canada	3,557,541	3,733,365	3,627,241	4,107,773	4,126,280	4,554,663	4,751,037	5,701,051	4,950,578	5,277,691	5,605,036	5,016,772	5,227,853	
Central African Republic	27,089	25,828	29,740			6,505	48,722	58,524	47,984	50,678	68,076	55,712	31,941	
Chile	572,936	618,634	590,090	514,045	754,646	993,854	944,424	1,316,676	762,771	824,344	1,218,508	1,554,975	2,428,255	
China	4,106,236	4,255,734	6,102,649	7,654,866	9,016,839	11,288,722	13,351,621	15,644,105	13,031,124	17,116,565	22,078,793	24,124,460	23,116,437	
Colombia	350,436	236,463	382,398	289,997	386,102	429,735	541,187	928,788	1,514,311	1,182,124	1,819,195	1,154,134	1,446,171	
Comoros	15,977	16,088	18,866	23,240	15,208	21,604	13,014	51,127	38,912					
Congo							474,496	362,376	549,171	533,811	577,201	613,297	759,291	
Cook Islands					68									
Costa Rica	76,326	64,989	194,751	90,872	157,104	225,187	196,265	118,104	76,355	88,758	90,329	91,924	95,239	
Côte d'Ivoire	537,711	555,523	1,150,249	1,539,635	1,623,326	1,485,377	1,451,784	999,559	991,459	931,378	791,100	1,210,320		
Croatia	397,916	555,159	749,349	731,935	777,459	849,716	932,491	1,000,655	631,763	543,212	672,197	649,647	443,636	
Cuba	300,291	214,432	186,784	152,900	184,508	178,540								
Cyprus	197,536	208,387	229,151	359,592	231,798	298,134	464,547	433,902	312,647	435,237	485,904	434,655	397,844	
Czech Republic	1,751,471	2,235,029	2,525,374	3,181,926	3,468,969	4,463,305	5,357,723	5,784,067	4,055,562	4,151,365	4,911,601	4,410,729	4,664,613	
Denmark	2,518,259	3,212,505	2,717,355	3,066,683	3,182,972	3,755,115	3,977,573	4,013,617	2,845,702	2,687,790	3,152,051	2,773,343	2,902,122	
Djibouti									197,545					
Dominica	2,366	2,481	3,080	7,307	3,918	4,494	4,327	3,728	7,558	3,450	3,736	4,220		
Dominican Republic	42,163	47,056	46,727	33,583	54,409	69,112	104,616	127,636	89,891	112,611	177,525	154,662	162,366	
Ecuador	56,423	59,122	70,036	68,860	63,637	70,070	75,821	89,874	98,692	89,601	230,428	163,476	211,293	
Egypt	507,249	539,201	448,670	414,068	595,825	622,193	575,084	1,335,772	1,597,946	1,886,073	2,053,241	2,278,003	2,128,841	
El Salvador	32,012	29,869	34,957	67,151	80,640	47,409	61,661	51,721	43,889	36,274	42,204	34,038	57,031	
Eritrea			9,953											
Estonia	79,165	99,013	175,366	200,504	294,956	344,078	430,723	423,058	321,194	272,799	346,684	368,167	437,376	
Ethiopia	58,198	25,853	74,279	62,031	98,281	135,091	95,051	133,972	108,248	106,430	142,933	217,827		
Faroe Islands	14,537	17,042	19,329	19,338	16,135	20,680	25,181	21,723	14,976					
