List of importing markets for a product exported by Free Zones (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,766,282	3,397,249	2,002,904	2,861,422	4,941,685	4,883,421	7,037,837	3,268,402	2,865,560	3,870,621	3,077,853	2,478,966	2,507,860	
Albania	0	0	0	0	0	0	0	0	0	0	0	16	0	
Argentina	0	0	0	0	0	0	0	0	257,595	307,459	173,830	156,984	185,859	
Bolivia	0	0	0	0	0	0	6,893	478	1,732	622	741	1,785		
Brazil	0	0	0	0	0	0	0	0	0	0	0	367,436	705,047	
Bulgaria	0	25,758	0	48,025	117,639	118,177	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Central African Republic	0	0	0			53,941	42,273	0	0	0	0	0	0	
Colombia	0	0	96,207	0	132,575	177,794	1,172,127	1,278,945	1,022,154	1,306,675	478,682	577,287	83,612	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	1,197	1,141	0	2,359	0		
Cuba	0	0	0	0	9,642	9,213								
Czech Republic	328,071	4,524	0	61,101	0	0	965	0	0	0	0	0	0	
Dominica	0	0	0	0	0	0	0	0	0	0	0	0		
Ecuador	0	24,850	0	0	22,605	32,437	36,486	42,602	40,198	42,830	24,252	32,099	29,977	
Egypt	868,785	1,231,859	0	1,501,971	2,515,352	2,916,324	4,117,841	0	0	0	0	0	0	
French Polynesia	0	0	194	0	0	0	0	0	0	0	0	0	0	
Gambia	4	0	0	0	0	0	0	0	0	0	0			
Ghana	217		0		0	0	0	0	0	0	0	0		
Guatemala	20,988	351	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	87		0	0	0	0	0		0	0	0		
Honduras	917	0	0	0	0	0	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	7,112	18,321	52,416	93,756	279,205	338,261				974,776	958,990			
Jamaica	10,994	10,896	0	10,807	840	0	0	0	0	614	6,145	223		
Jordan	8,912	4,680	5,430	6,954		9,417	2,322	6,238	4,416	27,883	50,543	64,650	103,451	
Kenya	6,592	7,774	109,119	0	0	0	0	0	0	0	0			
Kiribati					0		0	0	0	0	0	0		
Kuwait	0	0	0	0		11,738	34,176	13,672						
Lebanon	4,823	22,726	7,022	0	0	0	0	0	527	414	786	1,004	480	
Luxembourg	0	0	0	0	0	0	0	140,965	133,345	237,209	269,214	162,214	118,907	
Montenegro						0	0	0	0	0	0	0	0	
Morocco	330	19,173	15,775	58,249	48,937	0	6,739	0	0	0	0	0	0	
Namibia	0	0	14,704	0	0	0	0	0	0	0	0	0	0	
New Caledonia	10	19	79	25	0	0	0	0	0	0	0	0	0	
Panama	404,791	423,388	442,807		684,321	0	0	0	0	0	0			
Papua New Guinea	2,412	1,695	3,362	0							0	0		
Peru	0	0	0	2	231	298	2,157	2,974	15,107	40,802	15,156	51,089		
Republic of Moldova	0	0	0	0	189	55	0	0	0	0	0	0	0	
Romania	31,770	39,370	0	0	0	0	0	0	0	0	0	0	0	
Saint Lucia	206	0	283	519	513	22	0	0						
Slovakia	0	0	0	172,216	200,544	220,919	329,480	397,199	381,519	0	0	0	0	
Syrian Arab Republic	0	15,950	0	12,368	24,143	46,142	20,588	19,766	2,685	10,156				
Thailand	0	0	0	0	0	0	818	732	9	47	0	0	0	
Togo	12,502	2,650	11,290	11,708	18,566		10,270	5,213	19,338	13,728	25,550	0	0	
Trinidad and Tobago	2,444	945	1,695	946	434	416	425	0	0	0				
Turkey	1,042,826	1,539,065	1,240,192	875,685	881,861	944,142	1,223,729	1,334,250	965,363	878,358	1,038,049	1,045,827	1,267,869	
Uruguay	11,576	3,168	2,329	3,222	3,446	4,113	8,486	12,126	17,997	22,606	28,176	12,538	12,658	
Yemen				3,868	642	12	22,062	12,045	2,434	6,442	5,380	5,814		
