List of importing markets for a product exported by French Polynesia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	161,298	180,588	190,392	223,851	213,457	240,095	257,828	237,813	153,771	195,960	244,392	240,616	199,881	
Andorra	9	45	45	101										
Antigua and Barbuda					0		0		0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Armenia	0	0	6	0	0	0	0	0	0	0	0	0	0	
Australia	1,464	3,893	2,099	2,467	2,346	2,943	5,520	5,591	2,355	3,481	3,594	2,800	1,699	
Austria	346	271	143	253	199	252	558	1,107	108	167	195	69	202	
Azerbaijan	0	51	0	0	0	0	4	0	0	0	0	0		
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	57	25	0	0	0	8	0							
Barbados	0	0	0	0	0	0	0	0	0	0	0	1	0	
Belarus	23	4	2	0	0	0	0	0	0	0	2	3	0	
Belgium	1,071	1,164	1,133	1,234	1,937	2,388	676	1,720	1,492	987	1,421	1,208	1,119	
Benin	119	40	3	0	32	0	0	0	0	0	0	0	0	
Bhutan					0	0	0	0	0	0	13,044			
Bolivia	0	0	0	113	0	0	0	1	0	0	0	0		
Bosnia and Herzegovina			2	10	0	0	0	0	0	0	0	0	0	
Brazil	3	41	2	27	56	13	5	241	29	41	39	26	28	
Bulgaria	12	1	0	0	0	0	208	22	0	0	0	0	0	
Cabo Verde	0	167	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	1	0	0	0	0	2	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	610	1,765	1,589	1,953	1,521	2,271	1,983	1,101	632	903	837	842	730	
Chile	0	0	0	10	0	0	52	16	17	17	6	56	0	
China	57	1	165	859	1,068	1,696	1,436	2,978	2,747	1,099	5,296	8,038	4,251	
Colombia	61	0	0	0	0	0	0	2	0	0	0	0	0	
Comoros	4	1	0	0	6	0	9	0	0					
Cook Islands					41									
Costa Rica	1	2	75	0	0	10	4	1	3	3	4	0	15	
Côte d'Ivoire	0	1	0	0	0	0	3	0	8	0	0	0		
Croatia	5	1	1	0	59	4	36	8	36	1	85	2	0	
Cuba	0	0	0	1	0	119								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	10	5	12	2	0	10	6	10	13	14	360	57	348	
Denmark	128	249	90	169	136	148	466	423	289	295	429	361	465	
Dominican Republic	0	3	0	0	3	13	0	232	172	41	12	5	2	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	63	2	
El Salvador	0	0	0	0	0	0	0	1	0	0	0	0	0	
Estonia	0	0	0	19	0	1	5	1	0	0	3	1	0	
Ethiopia	0	7	0	0	0	0	0	0	1	0	0	0		
Faroe Islands	0	0	0	0	0	1	1	0	0					
Fiji		12	21	24	32	12	28	4	78	76	53	83		
Finland	0	5	9	33	61	37	46	50	32	17	24	1	0	
France	11,237	13,399	13,754	11,654	11,946	12,181	17,940	19,842	16,528	17,963	33,091	30,641	26,567	
French Polynesia	0	0	0	322	203	95	506	87	477	112	175	247	203	
Gambia	13	0	0	0	0	0	0	0	0	0	0			
Georgia	0	0	0	0	4	0	0	0	6	3	10	0	0	
Germany	7,268	4,650	4,266	7,075	4,851	5,238	8,903	11,062	5,711	6,502	6,013	4,413	4,036	
Ghana	3		0		0	0	0	0	0	0	0	0		
Greece	11	0	0	0	2	8	0	0	21	0	0	0	0	
Greenland	0	0	0	0	0	1	0	0	0	0	0	0	0	
Guatemala	4	0	0	0	9	0	0	0	0	0	0	0	0	
Guinea	135	0		1	26	3	0	0		0	0	0		
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	1	
Honduras	7	2	0	43	0	8	20	0	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	2	0	0	0	0	0	0	0	0	
India	0	0	0	7	16	27	22	96	7	11	19	8	31	
Indonesia	0	86	20	10	4	29	0	16	0	0	30	72	76	
Ireland	16	10	0	0	2	5	9	23	16	256	1	2	2	
Israel	0	0	0	0	0	0	2	0	0	14	0	0	2	
Italy	1,892	1,302	817	5,012	1,892	2,586	2,997	6,363	1,629	1,456	5,014	1,233	1,213	
Japan	75,272	92,901	87,621	96,297	101,955	129,999	136,495	97,509	81,707	95,727	104,344	98,651	100,712	
Kazakhstan	90	0	0	0	0	1	5	1	14	5	0	0	1	
Kenya	0	0	1	0	0	0	0	0	0	0	0			
Korea, Republic of	136	415	182	706	217	431	442	775	388	395	222	293	355	
Kuwait	0	0	0	0		1	0	0						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	60	161	94	225	179	106	156	211	82	188	93	73	62	
Lithuania	0	0	0	1	0	0	4	7	10	7	10	10	1	
Luxembourg	0	0	40	0	0	0	0	22	14	7	133	859	34	
Macao, China	0	0	0	0	0	0	0	0	9	0		1		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	1	0		0	0	0	0	0	
Madagascar	23	1	327	87	72	142	108	211	0	0	87	0	158	
Malaysia	20	0	0	64	0	3	0	26	4	1	44	56	28	
Malta	0	0	0	0	2	0	0	0	5	3	21	32	0	
Mauritius	0	0	0	0	62	198	342	297	5	0	56	44	0	
Mayotte	0	0	0	0	0	0	0	1	0					
Mexico	40	6	41	55	105	66	56	51	24	11	9	13	17	
Montenegro						0	13	10	0	0	0	0	1	
Morocco	0	23	0	19	0	0	0	2	0	0	0	52	0	
Mozambique	1	0	0	0	1	6	0	0	0	0	75	0	0	
Namibia	0	0	0	172	10	0	0	0	0	0	0	0	0	
Netherland Antilles					0	10	0	0						
Netherlands	957	1,463	1,290	243	210	3,258	1,381	968	1,892	1,033	957	879	1,289	
New Caledonia	1,130	2,254	1,618	1,661	1,836	2,170	2,496	3,872	2,343	2,458	2,692	2,437	2,259	
New Zealand	1,351	1,656	1,565	1,955	2,160	2,942	1,383	1,749	1,568	2,152	2,225	2,635	2,382	
Nicaragua	0	0	0	0	1	0	0	0	0	0	0	0	0	
Nigeria	1,213	471	1,527			1,439	600	485	0	0	0	0		
Norway	35	59	54	27	40	48	83	20	30	30	24	90	98	
Oman	0	0	0	39	0	0	0	0	0	0	0	0	0	
Pakistan			0	137	16	0	54	62	14	211	146	43	7	
Papua New Guinea	1	0	0	15							6	0		
Paraguay	0	0	0	0	0	0	1	0	0	0	27	0	0	
Peru	0	0	0	0	0	0	0	15	9	0	0	0		
Philippines	49	40	43	173	81	171	286	71	47	0	510	0	0	
Poland	0	0	0	38	30	18	6	7	9	2	4	33	17	
Portugal	4	6	12	6	0	5	4	10	45	23	75	1	1	
Republic of Moldova	8	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	8	5	0	0	1	1	0	0	0	5	0	0	0	
Russian Federation	44	0	6	15	9	73	17	178	0	0	1	2	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	1			
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	0	5	0	0		
Samoa	1	0	9	0	0	0	0	0	0	1	0	0	1	
Sao Tome and Principe	0	0	0	3	0	0	0	0	0	1	0	0	0	
Senegal	0	0	0	0	0	0	15	0	6	0	0	7	5	
Serbia					0	0	0	3	3	1	0	6	0	
Serbia and Montenegro	2	0		18										
Singapore	1,666	1,096	1,229	350	1,517	1,424	313	488	476	1,212	1,713	17,410	8,057	
Slovakia	0	15	3	0	0	7	37	0	3	4	124	2	16	
Slovenia	3	0	0	2	5	19	1	0	0	0	5	4	5	
South Africa	0	3	0	0	2	14	5	2	16	1	11	161	59	
Spain	869	415	369	1,970	2,161	2,348	1,078	1,138	350	414	224	393	208	
Sri Lanka	0	0	0	0	0	0	0	0	21	0	0	0		
Sudan (North + South)	0	0	0	0	0	0		3	30	0	0			
Sweden	4	54	150	135	79	54	0	15	48	59	89	117	115	
Switzerland	1,376	379	674	1,441	642	805	1,914	1,329	272	128	190	46	128	
Taipei, Chinese	47	54	217	125	493	331	514	322	47	751	1,123	260	395	
Thailand	2,326	1,750	19,082	17,254	11,168	2,814	2,919	2,286	648	2,518	3,062	2,367	2,217	
Togo	49	1	12	0	15		11	0	0	0	0	0	0	
Tonga	0	3,129	0					0	0	0	4	5		
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0				
Tunisia	84	14	74	43	63	6	8	12	28	3	18	11	41	
Turkey	0	0	0	10	0	0	2	0	0	0	13	12	7	
Ukraine	0	0	5	0	0	2	1	15	22	0	1	0	20	
United Kingdom	776	1,337	818	735	2,311	1,927	2,073	1,264	602	593	315	182	430	
United States of America	49,087	45,632	49,075	68,422	61,538	59,137	63,515	73,372	30,570	54,532	55,911	63,197	39,761	
Uruguay	0	0	0	0	0	0	0	4	0	0	0	0	2	
Vanuatu						10	45		1	20	68			
Venezuela	0	0	0	0	21	0		2	2	0	0	0	0	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0		
Yemen				9	1	0	0	0	0	0	0	0		
Zimbabwe	0	45		0	0	0	0	0	0	0	0	0	0	
