List of importing markets for a product exported by Gabon Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
World	2,521,519	2,411,062	319,925	2,779,995	5,068,412	6,015,410	6,302,025	9,565,944	5,355,978	
Afghanistan	16	0	60	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	92	16	
Algeria	1,257	36	620	1,108	604	825	219	365	12	
Andorra	0	0	0	1,132	0	29	38	0	1	
Angola	3,291	6,362	6,120	3,102	11,399	2,105	2,279	3,657	3,039	
Antigua and Barbuda	0	0	0	0	0	0	0	0	64	
Area Nes	2,212	1,618	4,177	337,219	0	0	0	0	0	
Argentina	62	204	0	10	3	450	0	305	64	
Australia	49	15,288	0	64	65,309	0	0	158	169	
Austria	2	9	7	102	0	0	0	0	7	
Azerbaijan	0	0	69	0	0	0	0	1	1	
Bahamas	0	0	0	0	0	13	0	726	0	
Bahrain	84	0	0	0	0	0	0	0	2	
Bangladesh	0	0	0	0	0	23	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	
Belgium	4,190	2,990	2,367	5,889	11,497	9,510	15,677	14,887	10,046	
Belize	0	0	0	0	0	0	0	0	0	
Benin	181	1,756	236	420	85	1,202	19,694	24,963	25,115	
Bermuda	0	0	0	0	0	0	0	124,340	0	
Bolivia	0	0	64	0	0	0	0	25	0	
Bosnia and Herzegovina	3	0	0	0	27	0	0	0	0	
Botswana	0	11	0	0	0	0	0	0	0	
Brazil	62,002	58,121	71	1	1	31	13	8,032	56	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	299	0	0	0	0	
Brunei Darussalam	0	0	2	1	1	5	0	0	5	
Bulgaria	27	49	0	0	0	1,142	2,771	0	0	
Burkina Faso	25	4	27	18	327	406	9	39	42	
Burundi	0	0	0	0	0	0	0	0	1	
Cabo Verde	0	1,791	2,118	2,556	3,911	0	0	0	7	
Cambodia	0	0	0	240	0	0	0	0	0	
Cameroon	4,248	6,446	4,642	4,960	7,771	8,556	12,919	17,543	16,966	
Canada	436	474	586	500	335	349	73,485	165	802	
