List of importing markets for a product exported by Gabon (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,053,522	2,853,646	3,529,407	4,164,666	4,783,583	4,393,651	6,330,545	8,654,066	4,811,315	7,251,585	10,748,854	10,406,110	9,695,089	
Albania	0	0	0	2	17	18	0	155	35	101	302	237	220	
Algeria	3,526	649	1,637	1,720	1,133	2,130	740	774	3	10	172	0	0	
Andorra	14	0	0	0										
Antigua and Barbuda					34		0		0	10	5	0	7	
Argentina	0	0	1	0	4	795	0	0	131	351	573	1,623	1,735	
Armenia	0	0	0	0	0	0	0	2	0	29	91	71	40	
Australia	67	29,847	136	141	99,986	409	92	123	346	346,014	938,478	1,160,282	942,567	
Austria	873	497	756	748	878	210	1,000	779	7	192	0	3	1	
Azerbaijan	0	0	0	0	2	10	0	3	7	9	6	81		
Bahamas	0	0	3	0	0	0	0	0	0	0	8	0		
Bahrain	0	0	0	0	0	0	0	0	0	2	5			
Bangladesh	0	215	0	50	0	99	0							
Barbados	0	0	1	73	8	0	0	0	2	0	0	0	26	
Belarus	9	48	0	0	202	0	0	0	0	0	0	0	0	
Belgium	14,289	12,757	14,003	14,633	16,176	20,331	23,967	23,566	16,666	28,782	57,642	59,010	57,870	
Belize	1	0	0	0	0	0	5	0	0	0	3	0	0	
Benin	53	311	1,982	894	77	837	1,338	164	828	961	96	69	267	
Bermuda												0	3	
Bolivia	0	0	15	0	0	0	0	0	0	1	7	0		
Bosnia and Herzegovina			0	2	0	2	0	23	25	10	8	1	14	
Botswana	0	18	0	0	0	0	0	0	0	2	0	0	0	
Brazil	62,308	54,594	0	0	1	2	13	11	21	2	9	126	16	
Bulgaria	75	48	29	2	2	0	3,135	10	18	31	12	41	1	
Burkina Faso	9	1	35	55	1,007		2,663	882	41	8	51	18		
