List of importing markets for a product exported by Gambia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	6,309	3,839	5,075	18,083	5,094	11,464	12,518	13,670	66,026	34,985	94,731	
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	20	
Algeria	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	8	
Angola	0	0	0	0	0	0	0	0	4	5	4	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	2	
Area Nes	39	25	273	9	0	0	0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	0	0	94	
Armenia	0	0	0	0	0	0	0	0	0	4	0	
Australia	0	0	0	10	0	0	0	0	0	0	2	
Austria	1	0	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	
Belgium	787	139	40	72	86	16	690	46	49	145	195	
Belize	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	5	0	0	0	0	17	3	47	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	14	
Brazil	0	0	34	1	0	0	10	6	0	40	37	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	1	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	60	0	0	0	0	0	0	0	0	0	7	
Burkina Faso	0	0	0	0	0	0	9	0	0	0	1	
Burundi	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	13	0	0	0	0	0	
Cameroon	0	1	0	0	0	2	2	20	0	7	84	
Canada	1	1	0	0	1	0	0	4	1	14	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	
China	4	27	477	44	56	41	73	289	1,378	208	2,950	
Colombia	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	5	0	1	2	9	3	0	0	9	0	3	
