List of importing markets for a product exported by Gambia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	30,917	36,783	31,266	43,737	32,886	40,248	49,491	56,746	61,511	74,024	175,625	160,238	134,081	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	2	0	0	3	1	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	1	
Australia	3	11	1	9	10	39	31	191	64	5	39	38	53	
Austria	23	10	53	44	39	14	20	101	2	0	1	20	4	
Bahrain	0	0	0	0	0	0	0	0	0	2	0			
Bangladesh	13	80	14	174	79	1,677	1,800							
Barbados	0	0	0	0	11	12	0	46	11	9	0	1	4	
Belarus	0	17	0	0	34	8	0	1	1	0	101	584	131	
Belgium	2,980	1,979	1,015	1,065	1,306	946	2,141	3,572	2,000	2,821	1,822	2,512	2,737	
Belize	0	22	0	3	0	0	2	0	0	0	0	0	0	
Benin	184	142	74	105	2	11	0	50	93	0	0	64	116	
Bolivia	0	0	0	0	0	0	0	0	1	0	0	0		
Bosnia and Herzegovina			0	0	2	3	0	0	0	0	0	0	0	
Botswana	0	11	1	1	0	1	4	0	0	0	0	0	1	
Brazil	5	0	0	4	0	0	4	2	31	334	364	1,059	1,049	
Bulgaria	647	212	240	245	7	219	34	8	0	0	0	0	0	
Burkina Faso	0	0	0	0	13		0	0	0	0	5	0		
Burundi	0	0	0	0	0	0	0	0	10	5	2	81	0	
Cabo Verde	0	259	0	69	0	0	0		0	14	545	21	1	
Cambodia	0	0	0	0	0	0	0	0	3,588	0	0	0		
Cameroon	11	12	43	75	68	46	62	130	92	43	215	163		
Canada	2,119	28	80	49	31	59	77	52	97	225	65	56	81	
Central African Republic	0	0	2			0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	1	0	0	0	
China	0	0	1,549	124	170	446	8,688	3,164	6,640	14,998	54,101	84,713	77,944	
Colombia	0	6	0	31	0	280	99	0	3	0	11	1	2	
Comoros	0	0	0	0	0	0	0	1	0					
Congo							0	0	67	64	0	0	0	
Cook Islands					7									
Costa Rica	0	10	3	36	0	69	0	4	1	12	40	114	12	
Côte d'Ivoire	5	0	50	10	9	35	4	54	109	31	0	16		
Croatia	4	0	0	1	33	4	43	4	4	9	49	1	1	
Cuba	14	0	0	1	1	0								
Cyprus	0	0	6	0	0	0	0	0	0	0	0	0	0	
Czech Republic	1	0	1	2	0	0	1	4	63	3	103	33	113	
Denmark	18	26	247	8	11	14	6	95	1	8	135	15	141	
Dominica	0	0	0	0	0	0	0	9	0	0	0	0		
Dominican Republic	1	0	2	6	0	10	0	123	2	0	0	5	35	
Ecuador	10	0	0	0	0	0	0	0	0	0	0	0	7	
Egypt	0	0	0	0	0	0	0	0	589	28	291	327	647	
El Salvador	83	0	0	0	0	0	0	0	0	0	1	0	0	
Estonia	2	0	0	0	0	49	0	0	0	1	1	0	1	
Ethiopia	90	14	7	0	240	41	16	3	13	6	10	0		
Faroe Islands	0	0	0	0	0	0	0	1	0					
Fiji		0	0	1	7	5	4	4	8	22	1,452	144		
