List of importing markets for a product exported by Georgia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	596,576	593,870	954,167	1,153,234	1,378,701	1,763,363	1,705,351	2,380,774	1,741,106	2,222,780	2,804,256	2,433,783	2,186,823	
Afghanistan								0	0	0	323	0		
Albania	16	767	958	4,258	8,964	7,751	19,349	9,094	21,025	5,340	23	60	55	
Algeria	1,641	4,673	2,683	1,375	4,638	5,875	10,407	339	305	1,454	983	28,583	291	
Andorra	1	7	48	0										
Antigua and Barbuda					0		0		85	8	8	0	0	
Argentina	3,728	288	11,740	7	10,635	21,233	0	153	37	20	270	198	372	
Armenia	12,935	22,186	22,983	41,338	39,316	34,741	41,984	39,967	37,912	49,724	59,366	48,507	65,315	
Australia	16	67	846	2,107	687	5,174	3,936	4,718	1,124	1,417	4,420	6,588	2,692	
Austria	1,604	930	3,346	3,569	3,364	3,060	5,931	4,106	8,238	13,353	613	1,907	11,680	
Azerbaijan	4,935	12,742	10,232	14,493	45,499	49,202	62,931	51,535	59,884	50,413	89,501	129,935		
Bahrain	6	7	0	0	0	0	0	0	0	46	1			
Bangladesh	0	0	719	771	584	3,076	4,704							
Barbados	1	58	1	5	52	35	22	6	18	0	3	98	44	
Belarus	2,245	3,043	3,716	3,563	2,463	3,399	4,590	11,276	14,512	21,913	29,155	34,368	41,105	
Belgium	3,261	2,481	4,312	7,606	12,207	30,061	25,668	22,084	14,215	7,809	11,681	18,322	28,330	
Belize	0	5	14	12	5	0	2	0	0	37	0	1	0	
Benin	0	0	33	0	0	0	1	2	22	839	110	13	149	
Bermuda												11	5	
Bolivia	0	34	0	2	8	3	92	2	51	30	27	3,822		
Bosnia and Herzegovina			29	22	68	224	29	78	50	25	35	44	167	
Botswana	0	0	1	3	1	10	1	0	0	32	0	1	1	
Brazil	711	40	385	7,280	661	3,479	17,330	13,039	757	7,722	938	343	2,381	
Bulgaria	7,940	203	27,621	28,702	55,216	29,346	90,492	195,693	260,566	217,897	273,181	222,426	285,700	
Burkina Faso	0	0	0	0	0		4	0	3	478	9	0		
Burundi	0	0	0	0	153	130	23	79	89	47	173	178	0	
Cabo Verde	0	0	0	0	0	0	0		177	21	13	76	5	
Cambodia	0	0	0	0	5	0	0	83	2	51	0	0		
Cameroon	0	2	72	25	3	0	1	10	6	2	3	35		
Canada	5,352	452	2,578	8,456	39,327	49,088	65,810	119,748	118,473	125,236	113,115	106,305	87,020	
Central African Republic	0	0	0			0	0	0	0	23	0	0	0	
Chile	0	0	0	2	0	0	58	3	7	39	132	1,151	2,718	
China	3,292	3,514	8,223	34,174	2,659	6,951	15,586	3,527	17,868	41,802	38,105	33,582	54,552	
Colombia	36	20	4	8	7	70	751	187	4,309	1,201	752	11,184	2,853	
Congo							126	0	1	1	177	4	0	
Costa Rica	0	59	1	5	0	3	5	2	0	34	8	9	25	
Côte d'Ivoire	0	0	0	0	0	4	15	40	74	17	99	0		
Croatia	6	6,486	2,492	25	60	2,900	136	873	482	211	509	321	428	
Cuba	0	0	414	2	25	0								
Cyprus	118	49	8,188	27,394	30,364	65,734	37,383	84,714	9,239	50,458	76,733	27,889	27,845	
Czech Republic	454	163	3,348	3,656	7,702	9,532	10,380	10,516	10,476	11,745	13,346	12,040	21,740	
Denmark	545	665	550	420	779	1,183	970	1,159	652	3,586	1,582	1,333	1,527	
Djibouti									8					
Dominican Republic	0	19	1	189	104	70	121	12	595	760	461	163	1,002	
Ecuador	11	0	3	10,384	4	27	433	211	39	30	1,803	4,310	2,993	
Egypt	230	1	0	25	16	73	3	0	6,142	5,941	241,495	62,550	9,976	
El Salvador	0	0	0	0	171	77	29	136	0	2	1	0	0	
Estonia	375	185	179	779	3,690	3,967	3,462	3,182	2,307	2,156	3,936	5,250	2,707	
Ethiopia	0	0	0	0	1,976	274	1,221	354	594	8	2,078	235		
Faroe Islands	0	6	0	7	0	0	1	58	3					
Fiji		64	13	50	2	1	23	23	84	2	28	98		
Finland	15	36	10	35	118	9,063	8,485	318	98	124	92	11	36	
France	56,498	43,382	24,301	29,845	51,319	47,200	72,619	83,545	12,102	15,828	41,541	26,234	32,595	
French Polynesia	5	0	0	0	0	0	0	0	0	2	2	3	5	
Gabon	0	0	0	75	3	0	0	1	0					
Gambia	0	0	0	0	0	0	0	0	0	104	112			
Germany	21,060	19,252	28,963	27,725	49,857	72,691	75,433	142,347	30,176	77,985	201,182	242,919	169,940	
Ghana	0		97		48	449	185	144	3,128	703	32	258		
Greece	11,353	51,395	113,772	55,844	35,892	54,854	66,025	9,074	21,351	25,109	6,680	2,218	88,887	
Greenland	0	0	100	0	0	7	0	2	4	17	8	4	36	
Guatemala	379	43	32	0	46	23	33	18	31	0	22	169	491	
Guinea	0	0		0	0	0	18	2		0	0	19		
Guyana	1	0	64	11	1	3	2	0	0	6	15	0	12	
Honduras	0	27	3	184	191	3	5	2	147	213	4	2	385	
Hong Kong, China	606	1,323	2,424	264	179	1,161	2,349	2,977	9,007	8,049	9,223	3,262		
Hungary	19	45	10	34	35	225	158	104	352	342	2,646	282	602	
Iceland	0	0	0	0	0	0	26	0	0	41	41	34	4	
India	422	3,857	7,138	13,779	17,598	78,098	10,229	16,233	8,688	28,317	65,206	54,907	22,948	
Indonesia	517	313	1,516	467	584	430	296	1,838	7,562	2,255	3,554	6,859	6,918	
Iran (Islamic Republic of)	13,306	17,124	15,563	10,084	7,686	5,803				14,362	10,870			
Ireland	3,447	486	333	1,648	354	730	8,072	555	1,063	1,280	1,418	1,325	1,368	
Israel	753	884	866	889	965	911	2,243	1,998	2,111	1,532	36,423	34,139	1,998	
Italy	18,211	21,723	17,301	24,432	40,871	34,276	48,150	48,698	45,326	26,398	112,291	58,071	101,512	
Jamaica	0	0	0	0	213	0	0	0	32	26	0	0		
Japan	10,823	5,293	2,665	7,647	3,997	12,228	5,132	3,410	7,590	8,790	8,886	8,581	5,788	
Jordan	28	0	13	56		22	0	27	974	33	2,478	3,648	2,029	
Kazakhstan	4,309	3,702	6,549	7,407	7,206	9,767	29,028	17,499	17,326	21,206	30,803	49,635	72,421	
Kenya	0	0	4,304	776	1,134	1,016	323	632	631	87	304			
Korea, Republic of	4,529	6,131	11,410	4,472	10,948	5,798	3,505	8,676	13,119	29,822	41,027	36,866	9,741	
Kuwait	0	0	28	7		18	186	27,360						
Kyrgyzstan	21	110	490	440	160	265	328	1,625	2,078	2,535	4,494	4,455		
Latvia	498	592	580	1,317	1,002	2,902	4,417	4,884	3,441	4,612	5,558	4,787	6,377	
Lebanon	12	28	1,310	2,931	12,708	52,396	34,160	12,355	51,073	137,957	120,530	159,030	243	
Libya							5	0	6	53				
Lithuania	739	664	567	1,739	3,101	5,061	5,703	7,597	7,761	8,962	16,863	15,700	20,280	
Luxembourg	0	0	0	26	44	0	0	9	93	15	27	202	47	
Macao, China	1	0	1	0	0	0	0	3	0	0		0		
Macedonia, The Former Yugoslav Republic of	1	6	7,479	7	173	34	48		133	26	115	50	14	
Madagascar	0	0	0	0	0	23	168	11	4	1	13	2	32	
Malawi	16	142	4	64	43	89	1	6	0	988	246	225	30	
Malaysia	606	439	1,016	375	198	1,449	4,381	6,374	4,749	23,170	17,142	4,371	4,797	
Mali	0	13	0	0	0	0	60	2,011		2	0	0		
Malta	7,277	1	2,261	2,214	123	172	600	0	4,590	6,319	5,725	12,129	43	
Mauritania	0	0	0	0	0		0	0	0	9	34	216		
Mauritius	1	12	27	9	11	17	11	3	4	9	19	216	24	
Mayotte	3	34	10	19	57	50	13	0	0					
Mexico	105	8,947	9,624	974	5,817	7,627	14,644	64,374	1,346	21,617	34,223	14,198	8,232	
Mongolia	325		510	566	404	420	502						914	
Montenegro						12	63	47	12	39	24	10	184	
Morocco	102	20	5,964	541	312	4,536	118	478	10,734	2,586	1,262	647	130	
Mozambique	19	0	2	3	40	250	191	11	117	0	316	1	61	
Myanmar										20,444				
Namibia	0	1,224	0	11	13	2	14	6	0	27	37	53	0	
Nepal			0						35	75	148			
