List of importing markets for a product exported by Germany Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	571,426,720	615,997,391	748,531,267	911,742,096	977,131,972	1,121,962,887	1,328,841,354	1,466,137,400	1,127,839,900	1,271,096,300	1,482,202,274	1,416,184,200	1,458,646,978	
Afghanistan	13,801	45,304	94,777	118,213	151,715	255,010	194,151	394,355	311,976	356,533	395,823	380,506	221,330	
Africa not elsewhere specified	0	0	0	0	0	18,134	42,895	25,085	34,666	21,550	10,159	19,922	18,730	
Albania	62,024	64,524	90,398	111,305	142,143	151,709	196,570	282,229	272,270	204,406	225,420	209,260	193,021	
Algeria	703,278	835,007	777,785	1,215,215	1,345,784	1,351,078	1,647,056	2,182,172	2,039,965	1,889,088	2,173,321	2,400,608	2,854,588	
Andorra	32,480	34,612	33,517	41,267	45,793	40,054	53,114	50,972	39,737	48,485	48,317	39,351	43,529	
Angola	37,233	52,250	95,481	96,829	143,207	254,231	512,351	590,842	401,574	348,857	350,777	505,460	391,330	
Anguilla	116	827	906	3,626	2,299	2,218	3,219	5,022	1,698	2,063	6,128	818	7,669	
Antigua and Barbuda	21,479	92,865	28,906	23,871	133,275	141,240	93,206	129,150	43,779	46,916	5,474	9,336	30,320	
Area Nes	818,683	962,706	1,037,276	1,109,694	1,071,353	1,061,382	1,172,111	1,330,954	1,045,699	0	0	0	169,669	
Argentina	996,925	539,584	776,910	1,163,451	1,297,410	1,699,438	2,352,522	2,720,901	1,904,476	3,178,063	3,753,347	3,506,790	3,810,809	
Armenia	32,787	40,117	77,416	62,362	121,327	103,228	135,521	151,701	189,333	157,325	175,662	182,553	180,901	
Aruba	8,149	4,623	18,225	4,674	7,332	54,068	52,087	11,850	8,410	5,206	12,480	10,121	14,396	
Australia	3,196,680	3,694,996	4,760,225	5,767,661	6,243,211	6,900,775	7,972,180	9,752,465	8,786,753	10,415,729	11,596,681	12,041,967	11,496,367	
Austria	29,245,873	31,258,928	39,808,797	49,032,280	53,765,327	62,213,490	72,334,828	79,230,335	67,252,478	71,163,516	80,172,182	74,347,117	73,313,463	
Azerbaijan	79,520	119,006	212,635	299,102	548,108	611,239	612,638	779,355	589,563	974,945	1,182,375	1,038,126	1,140,122	
Bahamas	74,425	556,130	57,184	10,878	423,356	19,163	51,115	43,697	58,296	22,247	77,015	178,999	112,565	
Bahrain	175,480	222,976	243,343	327,904	413,661	484,964	457,839	516,959	424,180	486,525	674,329	518,381	479,424	
Bangladesh	173,183	148,226	195,114	277,013	320,766	382,438	294,950	396,502	418,186	615,820	615,062	540,707	603,908	
Barbados	20,768	19,530	18,194	19,075	21,781	21,681	30,209	75,246	15,576	20,902	37,175	15,205	18,802	
Belarus	679,201	800,251	951,824	1,157,828	1,357,602	1,952,561	2,124,105	2,943,237	2,294,809	2,712,956	3,049,208	3,017,496	3,119,718	
