List of importing markets for a product exported by Germany (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	538,882,825	585,045,347	707,916,218	856,371,168	924,816,551	1,034,299,331	1,238,065,330	1,361,784,921	1,036,863,223	1,182,122,544	1,388,004,733	1,313,877,116	1,328,119,856	
Afghanistan								64,707	144,487	422,290	244,398	258,011		
Albania	78,078	84,377	105,404	142,094	142,123	173,148	230,404	318,967	293,930	258,198	309,137	295,032	284,285	
Algeria	784,051	853,076	880,428	1,209,014	1,277,590	1,476,530	1,788,174	2,411,406	2,765,394	2,381,965	2,558,046	2,591,175	2,861,289	
Andorra	52,634	61,472	76,724	92,928										
Anguilla	129	28	73											
Antigua and Barbuda					2,533		3,747		2,795	4,939	2,359	1,795	3,577	
Argentina	1,051,947	553,553	768,794	1,092,735	1,335,333	1,544,876	2,131,321	2,533,587	1,993,913	3,221,291	3,645,594	3,713,977	3,874,067	
Armenia	31,870	39,260	35,671	59,833	98,887	93,457	112,750	145,917	129,700	155,897	162,437	168,924	175,856	
Aruba					5,332				6,912	4,781	5,743	10,543		
Australia	3,447,219	3,997,184	5,182,840	6,037,545	6,644,811	6,779,218	8,074,257	9,624,451	8,411,024	9,424,405	10,952,152	11,628,403	10,937,429	
Austria	28,576,881	29,348,620	37,534,525	47,396,424	50,631,647	57,096,292	64,791,420	70,814,266	63,862,961	67,966,902	79,123,899	72,499,794	73,218,877	
Azerbaijan	72,840	83,454	169,903	198,478	256,325	403,816	471,198	598,570	551,462	607,068	845,291	779,971		
Bahamas	6,131	2,542	10,057	2,808	5,394	4,147	7,135	3,211	4,691	6,207	4,221	12,060		
Bahrain	163,853	280,191	260,258	240,893	380,546	258,618	322,758	616,437	356,741	538,749	499,947			
Bangladesh	186,604	185,052	231,458	278,064	389,120	425,938	368,064							
Barbados	18,227	17,814	19,729	20,112	30,740	22,355	27,019	28,152	17,130	22,633	36,157	18,834	22,862	
Belarus	604,077	693,082	820,670	1,081,036	1,121,071	1,669,934	2,171,425	2,791,664	2,211,059	2,385,260	2,553,007	2,729,502	3,029,363	
Belgium	29,045,138	34,219,304	43,069,520	52,337,243	54,691,732	61,127,042	72,953,935	79,859,448	59,496,626	62,838,640	69,067,362	61,755,178	66,414,765	
Belize	3,333	1,708	2,769	1,429	7,414	1,743	2,464	2,494	2,609	1,627	2,492	2,862	4,788	
Benin	17,196	20,956	22,739	15,456	18,174	15,027	25,485	22,485	48,643	53,873	93,123	38,605	38,771	
Bermuda												8,840	9,401	
Bhutan					4,553	4,414	2,839	6,604	4,597	7,910	13,807			
Bolivia	37,422	29,732	36,597	36,791	44,857	65,427	83,962	91,677	95,623	112,506	142,866	162,045		
Bosnia and Herzegovina			476,025	697,542	1,013,038	940,699	1,218,953	1,432,137	944,692	965,014	1,173,112	1,133,238	1,177,140	
Botswana	8,946	25,144	26,753	10,451	28,606	22,182	32,492	44,734	55,227	37,964	48,031	57,704	39,343	
Brazil	4,825,163	4,418,972	4,204,010	5,071,762	6,144,465	6,503,178	8,674,518	12,025,396	9,865,611	11,750,509	15,212,859	14,208,930	15,182,003	
Brunei Darussalam	38,018	43,033	40,066	60,968		39,763				78,841	102,623	98,886	0	
Bulgaria	1,111,942	1,138,975	1,555,065	2,107,621	2,474,093	2,898,460	3,445,299	4,062,890	2,884,779	2,962,591	3,532,969	3,642,058	3,710,131	
Burkina Faso	18,400	17,841	24,004	22,967	18,685		38,142	37,319	60,471	81,306	94,104	111,926		
Burundi	4,325	3,394	0	9,779	10,440	11,478	9,172	21,104	6,164	6,429	24,727	15,522	21,866	
Cabo Verde	7,779	14,825	10,552	10,861	10,860	13,119	15,378		26,834	17,691	27,741	13,456	17,261	
Cambodia	10,554	9,020	6,341	12,396	8,660	8,655	15,049	15,928	23,730	16,427	37,660	62,378		
Cameroon	138,023	87,286	77,623	111,154	104,123	108,080	142,008	188,435	175,209	190,642	228,405	191,470		
Canada	5,167,079	5,286,882	6,182,421	7,253,190	8,480,681	9,849,533	10,752,358	11,975,258	9,515,792	10,961,191	12,921,002	14,309,799	14,953,137	
Central African Republic	1,111	2,625	1,455			10,667	3,176	4,063	2,907	4,450	14,141	6,942	1,717	
Chile	684,142	717,787	695,671	843,903	1,203,198	1,274,885	1,654,737	2,018,720	1,553,183	2,353,672	3,116,759	2,861,680	3,201,712	
China	13,772,190	16,416,415	24,291,889	30,356,021	30,722,928	37,879,365	45,384,335	55,789,930	55,764,084	74,251,272	92,726,220	91,933,081	94,242,277	
Colombia	560,090	508,304	611,672	686,601	773,661	933,215	1,204,874	1,557,401	1,338,394	1,657,634	2,215,150	2,239,577	2,206,909	
Comoros	199	181	170	809	190	79	243	306	276					
Congo							14,715	29,108	24,836	23,860	20,812	24,822	69,849	
Cook Islands					82									
Costa Rica	136,689	153,478	165,300	175,909	158,983	168,293	202,543	272,040	191,434	310,332	421,327	317,516	338,623	
Côte d'Ivoire	90,470	93,514	100,783	124,690	104,583	145,571	180,998	224,503	205,227	216,387	183,700	240,174		
Croatia	1,583,237	1,742,298	2,221,011	2,568,929	2,751,127	3,127,138	3,718,997	4,115,890	2,863,085	2,508,549	2,858,433	2,645,561	2,889,565	
Cuba	110,769	82,096	119,035	133,688	336,214	575,416								
Cyprus	268,068	359,337	336,064	512,730	527,955	624,217	810,782	890,361	683,972	774,028	705,803	515,105	419,733	
Czech Republic	12,013,812	14,882,864	16,685,346	21,227,732	22,965,404	26,583,076	32,771,955	38,009,386	27,960,029	32,057,289	38,938,450	35,674,359	36,630,149	
Denmark	9,684,405	10,779,927	12,904,194	14,450,271	15,242,476	18,133,893	21,010,119	22,822,739	17,395,125	17,009,396	19,544,151	19,175,401	20,173,409	
Djibouti									1,904					
Dominica	989	833	838	1,082	1,592	2,600	1,807	1,886	1,070	1,107	983	1,297		
Dominican Republic	135,903	92,220	93,288	84,342	118,340	162,670	200,046	230,973	261,544	270,624	287,318	299,680	344,423	
Ecuador	209,298	181,433	178,925	201,345	232,162	237,302	276,831	375,738	384,293	475,647	650,255	589,167	665,981	
Egypt	959,707	824,475	715,867	859,655	1,026,113	1,083,157	1,778,780	3,261,959	3,602,226	4,023,948	3,930,009	4,669,976	5,246,839	
El Salvador	88,952	81,035	91,605	92,685	119,173	127,201	134,123	161,434	110,643	134,194	138,552	151,447	167,841	
Eritrea			6,714											
Estonia	339,079	379,781	517,940	846,127	1,408,433	1,727,267	1,997,559	2,043,331	1,110,830	1,398,339	1,743,711	1,679,923	1,960,578	
Ethiopia	86,992	83,589	88,961	100,087	153,763	221,397	199,164	285,037	193,516	206,734	189,573	200,353		
Faroe Islands	39,656	37,557	156,100	47,363	49,577	59,597	77,338	75,624	47,755					
Fiji		3,686	4,197	5,700	15,845	21,935	5,902	6,247	4,643	2,342	7,745	8,676		
Finland	4,798,591	4,826,850	6,130,426	7,397,714	8,710,665	9,607,836	11,399,064	12,881,711	9,539,855	9,919,993	11,494,662	10,323,297	10,607,146	
