List of importing markets for a product exported by Gibraltar (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	106,983	107,554	141,489	175,629	227,735	169,336	267,514	227,984	270,435	369,164	375,973	484,629	609,908	
Albania	0	2	0	69	0	1	9	7	9	2	10	0	0	
Andorra	1	0	0	10										
Antigua and Barbuda					0		2		0	0	1	0	0	
Argentina	114	0	0	0	7	0	0	28	0	2	0	0	21	
Armenia	57	229	89	153	525	57	242	0	0	0	0	0	0	
Australia	0	43	24	280	3	141	9	0	1	1	3,287	95	0	
Austria	65	13	43	7	30	14	650	21	16	164	583	24	19	
Azerbaijan	68	143	44	109	177	371	225	85	184	316	119	478		
Bahrain	0	139	0	0	0	0	0	0	0	0	0			
Bangladesh	0	62	0	0	0	43	46							
Barbados	0	0	0	0	0	0	0	45	0	0	21	0	0	
Belarus	1,089	1,651	232	2	26	0	0	0	0	38	23	2	7	
Belgium	6,407	4,922	1,084	2,250	393	487	7,677	1,872	2,350	10,409	32,121	15,911	10,289	
Belize	0	0	0	0	0	0	0	0	18	16	7	0	512	
Benin	0	1	0	3	409	340	180	0	2,195	262	0	0	0	
Bolivia	0	2	0	8	7	0	0	0	1,213	2,214	0	0		
Bosnia and Herzegovina			53	485	140	5	4	135	155	21	60	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	1	0	
Brazil	1,539	1,366	956	1,318	40	18	0	95	7	113,832	87	242	45	
Bulgaria	11	4	20	263	2	3	239	70	9	63	82	1	198	
Burkina Faso	0	0	33	16	0		0	0	1	0	0	0		
Burundi	0	0	0	45	0	0	0	0	108	0	170	0	0	
Cabo Verde	13	0	0	0	0	0	0		0	0	926	703	540	
Cambodia	0	0	0	3	40	50	0	1	0	0	0	0		
Cameroon	0	0	0	0	115	6	0	37	47	0	517	0		
Canada	8	15	179	201	153	167	41	53	1	2,173	1,693	36	2,787	
Central African Republic	0	0	0			78	0	0	0	1	0	2	0	
Chile	0	0	0	223	36	83	50	12	0	0	0	62	0	
China	0	0	0	0	0	6	0	13	0	2	23	3	6,010	
Colombia	0	38	0	0	51	288	447	14	16	16	238	6	104	
Congo							0	46	0	0	0	0	0	
Costa Rica	0	1	0	34	4	1	1	2	3	1	19	64	1	
Côte d'Ivoire	0	3	4	0	81	175	311	25	13	22	0	0		
Croatia	89	16	33	154	92	78	329	1,184	3	44	3,812	28	314	
Cuba	0	0	0	0	0	0								
Cyprus	0	1	0	0	16	0	0	0	3	2	1	5	0	
Czech Republic	61	319	1	19	31	8	16	17	6	1	7	6	22	
Denmark	109	19	173	280	284	376	446	7,719	47	188	93	120	6,818	
Dominican Republic	0	0	1	0	8	23	199	8	51	9	37	4	8	
Ecuador	18	4	0	0	0	0	3	13	32	0	1	0	0	
Egypt	844	1,856	303	174	139	111	1,509	989	258	4	16	99	61	
El Salvador	0	0	0	0	38	0	0	0	0	0	0	0	0	
Estonia	1	10	2	9	35	7	0	3	0	26	0	12	49	
Ethiopia	0	0	8	59	134	0	1	0	14	0	0	1		
Faroe Islands	1	1	0	0	0	40	11	34	0					
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	0	6	285	376	4	7	2	6	1	0	0	4	3	
France	1,129	303	1,772	3,004	1,186	136	13,506	13,973	3,990	3,188	19,814	5,459	74,225	
French Polynesia	0	0	0	0	0	0	0	0	15	0	0	0	0	
Gabon	0	0	1	0	0	3	1	255	6					
Gambia	0	0	0	0	0	0	0	0	0	0	2			
Georgia	445	1,388	453	219	7	558	469	252	102	161	63	0	0	
Germany	226	13,093	74,319	30,263	99,609	20,784	30,413	12,549	1,292	7,795	1,585	740	1,309	
Ghana	1		554		0	20	1	0	216	0	76	1		
Greece	793	4,601	8,487	20,756	7	14,359	17,522	17,254	6,753	31	9,072	87,020	81,210	
Guatemala	58	4	0	0	0	0	0	0	0	0	0	0	254	
Guinea	57	20		1	8	1	439	9		371	2,597	1,744		
Guyana	0	0	34	0	0	32	29	31	0	0	90	0	0	
Hong Kong, China	277	7,262	554	831	1,156	1,695	1,244	883	406	1,172	923	1,571		
Hungary	17	28	189	1,311	422	31	193	192	117	2	27	0	2	
Iceland	0	0	0	0	0	0	0	0	0	0	68	0	0	
India	0	427	0	4	5	357	48	181	4	11,787	62	3	226	
Indonesia	0	212	0	0	1	0	0	0	1	215	0	0	0	
