List of importing markets for a product exported by Greece Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	10,402,391	10,327,361	13,655,066	15,246,706	17,434,447	20,942,762	23,504,156	25,509,362	20,052,541	21,749,990	31,711,070	35,179,710	36,259,499	
Afghanistan	342	373	210	436	719	673	271	89	27,033	2,966	3,031	4,920	1,592	
Africa not elsewhere specified	99	34	3	93	0	48	196	155	332	766	691	19,227	21,041	
Albania	350,798	321,712	358,308	415,180	431,980	469,939	620,767	556,791	542,710	523,230	592,425	537,090	456,010	
Algeria	50,534	42,115	39,528	46,890	49,686	222,870	111,320	182,850	231,375	285,288	495,879	507,359	468,112	
Andorra	15	11	27	104	49	165	184	262	61	124	181	292	266	
Angola	166	777	823	1,522	2,354	1,968	1,505	62,013	14,394	822	1,449	6,614	9,440	
Anguilla	0	126	11	0	259	48	70	17	0	8	0	0	5	
Antigua and Barbuda	3,125	4,805	3,527	846	2,859	3,048	7,279	7,568	5,929	5,363	2,514	103	0	
Area Nes	12,179	579,999	6,646	5,959	17,127	1,781	3,269	4,652	2,335	4,056	4,287	402	1,092	
Argentina	5,802	2,653	5,418	9,724	11,232	7,544	6,999	8,405	7,483	4,822	37,762	6,754	11,177	
Armenia	12,423	12,756	24,316	27,902	31,960	22,727	27,719	20,521	12,014	11,885	13,041	11,860	14,214	
Aruba	255	123	177	122	27	6	15	50	17	4	8	0	164	
Australia	53,312	60,287	87,755	97,363	97,925	99,363	97,160	111,199	96,055	120,896	141,851	157,867	161,098	
Austria	68,895	74,794	117,827	158,525	154,031	169,239	200,322	206,992	191,679	214,627	268,685	216,761	269,939	
Azerbaijan	12,030	6,811	11,672	8,645	4,057	5,141	10,057	9,617	10,677	12,833	10,995	14,242	11,278	
Bahamas	19,145	15,913	4,979	5,047	8,959	12,570	7,539	10,754	3,141	10,230	7,430	565	658	
