List of importing markets for a product exported by Greece (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	10,178,508	10,744,470	12,690,495	14,831,540	16,460,718	20,046,359	23,456,257	24,889,004	21,243,665	23,192,763	28,012,557	28,199,793	29,018,913	
Afghanistan								0	13	0	504	0		
Albania	343,305	326,436	373,560	426,124	429,983	480,678	612,466	768,101	705,099	602,571	573,199	462,990	432,955	
Algeria	66,824	59,114	47,705	52,465	40,895	223,723	153,113	252,778	313,556	420,059	576,320	526,760	529,468	
Andorra	109	139	137	139										
Anguilla	0	1	0											
Antigua and Barbuda					19		202		6	1	6	30	2	
Argentina	9,008	4,239	6,534	12,213	7,741	7,096	7,628	8,201	4,172	4,476	17,368	14,376	14,513	
Armenia	13,539	11,953	30,357	31,642	37,786	51,316	40,683	38,812	30,789	50,835	60,602	28,725	22,032	
Aruba					224				0	0	0	0		
Australia	54,589	228,314	150,708	100,704	110,038	114,299	129,578	147,272	122,503	142,078	153,605	175,164	164,003	
Austria	119,469	121,876	155,432	176,749	182,067	178,331	227,878	208,728	161,377	156,046	219,899	190,701	196,847	
Azerbaijan	8,415	5,424	7,774	4,532	5,028	5,369	30,781	6,614	5,680	12,076	8,864	15,205		
Bahamas	43	75	68	1	201	63	0	1	7	7	38	360		
Bahrain	3,956	3,181	3,192	3,639	4,422	2,323	4,739	7,317	3,443	7,114	5,640			
Bangladesh	5,200	1,426	8,621	5,289	9,661	12,630	5,032							
Barbados	257	139	169	35	193	186	609	84	109	134	149	84	95	
Belarus	4,136	5,645	4,935	7,787	9,562	10,225	14,744	16,094	13,096	19,068	19,895	26,070	36,315	
Belgium	301,890	260,399	230,539	250,761	236,636	303,758	390,057	354,936	329,697	335,686	463,610	468,011	437,337	
Belize	2,038	0	0	4	43	18	876	52	26	0	0	26	2	
Benin	1,338	94	108	15	11	18	5,748	356	348	47	22	21,775	11,586	
Bermuda												5	15	
Bhutan					0	0	0	0	0	25	0			
Bolivia	71	53	90	317	84	86	404	183	72	168	772	98		
Bosnia and Herzegovina			15,487	31,304	45,389	29,291	35,794	79,553	77,691	106,170	155,366	119,659	111,471	
Botswana	291	395	341	286	116	354	635	446	238	424	144	9	305	
Brazil	19,063	27,436	24,243	49,232	26,474	59,507	41,226	66,852	34,941	67,792	103,174	42,192	115,106	
Brunei Darussalam	20	8	4	16		206				60	58	134	19	
Bulgaria	412,354	482,186	724,932	830,916	909,887	1,217,741	1,549,359	1,729,456	1,441,904	1,510,525	1,830,847	1,984,960	1,905,843	
Burkina Faso	61	181	157	94	12		45	8	90	65	55	32		
Burundi	227	129	149	121	614	111	5	106	544	54	103	198	898	
Cabo Verde	15	91	50	15	35	841	9		0	854	7	37	26	
Cambodia	0	0	21	140	292	0	48	66	22	39	107	134		
Cameroon	2,584	2,542	11,637	11,500	16,283	2,408	16,687	22,149	115,624	21,025	135,174	46,210		
Canada	67,229	67,474	81,062	99,388	120,033	181,027	125,812	130,713	123,809	138,310	169,932	152,985	148,784	
Central African Republic	0	0	4			0	0	88	0	0	0	66	0	
Chile	5,074	10,384	2,695	4,679	7,594	28,866	9,501	20,640	8,266	6,416	8,974	31,045	15,673	
China	58,500	55,055	74,668	86,309	86,689	104,315	170,450	185,480	213,028	390,396	353,607	427,352	434,858	
Colombia	2,321	1,426	2,144	1,497	5,666	1,236	3,749	3,858	3,848	1,654	6,150	10,821	12,405	
Comoros	0	0	1,748	0	0	0	0	0	0					
Congo							377	52	116	111	1,747	421	475	
Costa Rica	285	446	2,235	334	472	8,562	949	691	455	413	1,562	1,101	2,889	
Côte d'Ivoire	1,567	2,827	5,326	1,264	20,177	14,156	14,411	37,174	3,145	5,176	10,692	23,463		
Croatia	26,982	24,159	74,565	52,904	63,944	89,200	69,269	244,990	94,373	98,438	80,641	52,610	83,479	
