List of importing markets for a product exported by Greenland Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	267,738	305,370	348,556	364,793	402,040	409,834	431,129	490,156	371,560	390,915	473,655	476,937	490,065	
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	102	76	98	83	89	13,953	2,132	2,957	12,596	8,926	0	0	25,865	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	1	0	0	0	0	0	0	0	0	0	0	0	0	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	0	3,656	0	81	26	8	42,838	29,769	13,938	100	0	2,764	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	374	0	0	96	902	0	133	3,684	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	42	0	0	0	0	0	0	0	0	0	0	23	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	226,057	268,588	323,034	319,106	348,487	340,813	365,143	414,580	311,530	347,641	435,649	433,245	419,077	
Djibouti	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	7	
