List of importing markets for a product exported by Greenland (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	408,434	443,110	496,440	536,986	579,708	594,435	661,405	763,318	640,230	648,596	732,132	730,713	810,792	
Albania	0	2	0	0	0	4	0	0	0	0	0	0	0	
Andorra	0	0	0	1										
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Austria	48	219	284	362	406	483	634	805	4	0	9	1	2	
Bangladesh	96	125	5	0	0	8	0							
Barbados	0	0	0	0	0	2	6	5	1	0	0	0	0	
Belarus	0	0	0	0	1	0	7	13	0	0	4	0	0	
Belgium	93	38	22	29	9	0	484	5	2	0	34	2	1	
Benin	0	0	0	53	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	1	0	0	0	0	0	0	0		
Bosnia and Herzegovina			2	1	7	0	1	1	4	1	1	0	28	
Brazil	0	0	1	3	0	11	0	2	0	0	1	0	5	
Brunei Darussalam	6	0	1	25		0				1	0	1	0	
Bulgaria	0	0	26	25	52	63	26	15	0	0	0	0	0	
Burundi	0	0	0	0	0	4	0	0	0	0	0	0	0	
Cabo Verde	1	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	13	6	0	8	9	2	0	0	0	0		
Cameroon	0	0	0	0	2	0	0	0	0	0	0	0		
Canada	4,169	1,107	780	788	440	445	43,199	33,058	15,309	475	778	443	221	
China	10,461	12,394	22,171	20,578	29,339	30,040	37,995	36,456	44,260	54,548	47,937	57,448	72,174	
Colombia	0	0	52	0	0	0	1	0	0	29	0	3	0	
Congo							0	0	0	0	0	0	17	
Costa Rica	0	0	0	0	0	0	0	0	2	0	3	2	5	
Côte d'Ivoire	0	3	0	0	0	0	0	3	0	0	0	0		
Croatia	342	290	558	555	315	94	47	45	29	20	0	0	0	
Cyprus	40	26	225	72	86	0	0	0	0	0	0	0	1	
Czech Republic	0	0	23	4	3	4	5	14	10	4	0	0	150	
Denmark	229,074	272,821	322,024	336,454	351,496	370,788	409,840	485,152	395,623	393,286	464,700	436,769	474,129	
Dominican Republic	0	1	0	0	0	0	0	1	77	15	5	2	0	
Ecuador	0	14	0	0	0	0	0	0	0	0	0	0	1	
El Salvador	0	0	0	0	0	5	0	0	0	0	10	0	0	
Estonia	239	354	632	233	415	1,093	576	1,140	896	1,776	2,072	391	478	
Ethiopia	0	16	0	18	0	1	0	0	0	0	0	0		
Faroe Islands	234	73	7	2	9	8,191	141	252	31					
Finland	61	86	192	336	193	218	193	315	270	86	0	0	0	
France	6,331	8,768	7,588	7,648	8,772	10,503	7,777	6,934	5,691	4,082	7,028	1,416	2,696	
French Polynesia	12	11	0	4	0	9	0	0	3	12	3	6	1	
Gabon	1	0	0	0	0	0	0	0	0					
Germany	7,098	14,553	11,576	15,622	18,823	22,029	29,355	29,865	21,153	20,371	18,219	18,170	37,910	
Ghana	0		0		0	1	6	0	0	0	0	0		
Greece	0	0	0	0	0	0	19	141	0	0	0	47	15	
Greenland	0	38	1,417	28	0	1,977	87	664	1,045	0	1,079	732	0	
Guatemala	80	3	0	0	1	0	0	0	4	0	0	0	0	
Guinea	0	27		87	0	28	4	0		0	0	0		
Guyana	0	0	21	65	0	0	0	0	0	0	0	0	0	
Honduras	0	1	2	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	0	0	0	0	0	31	0	2	27		
Hungary	0	0	0	0	0	0	0	8	4	0	0	0	0	
Iceland	2,644	3,562	4,552	12,172	8,460	5,841	6,212	5,370	2,701	4,610	7,621	11,424	27,300	
India	74	35	1	1	11	31	0	3	159	38	24	57	0	
Indonesia	119	6	98	0	0	0	0	0	4	0	1,211	3,236	1,103	
Ireland	116	15	4	264	123	84	14	1	0	31	3	85	88	
Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	
Italy	25	47	10	133	0	0	55	0	19	0	17	3	35	
Japan	62,292	61,273	70,685	66,443	69,393	63,347	64,535	82,531	88,889	77,903	90,058	105,936	90,119	
Kazakhstan	25	0	1	7	42	52	28	16	13	0	6	42	0	
Korea, Republic of	458	903	1,010	1,239	1,825	2,473	1,214	2,931	1,420	1,766	2,082	1,790	2,296	
Kuwait	0	0	0	0		0	14	0						
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	4	8		
Latvia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Lebanon	0	1	2	0	4	4	1	2	1	5	3	0	1	
Lithuania	38	40	24	970	0	0	56	244	3	0	0	0	101	
Luxembourg	85	35	31	16	33	37	12	572	131	241	256	219	216	
Macao, China	1	0	3	7	0	0	10	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	1	0	0	0		0	0	11	28	12	
Madagascar	0	0	0	1	0	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	2	1	0	2	1	28	23	95	73	347	0	11	
Mali	0	0	0	0	1	0	0	11		0	0	0		
Malta	0	0	0	0	0	0	0	0	0	0	3	0	0	
Mauritania	0	0	0	0	5		0	0	0	0	5	0		
Mauritius	2	17	2	0	4	0	1	0	0	0	1	0	0	
Mayotte	11	2	0	1	0	2	0	0	2					
Mexico	1	0	2	82	34	13	43	19	15	32	10	0	0	
Montenegro						0	0	0	0	0	0	3	1	
Morocco	0	0	0	0	0	0	0	0	0	0	0	6,448	14,264	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	31	
Netherland Antilles					0	11	24	0						
Netherlands	949	124	15	54	706	1,931	4,339	3,936	5,382	5,761	9,564	6,150	6,911	
New Caledonia	0	0	14	20	20	9	4	1	1	1	0	3	1	
New Zealand	0	0	0	0	0	0	0	0	11	0	0	7	0	
Nicaragua	0	0	0	3	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	0	1	0	0	0	0	0	0	0	
Nigeria	2,615	438	596			532	302	127	0	0	4	11		
Norway	12,572	3,444	2,331	6,722	5,442	7,481	3,352	4,044	10,445	13,031	28,504	19,750	15,287	
Pakistan			424	60	1,655	292	4	2	0	4	0	0	214	
Palestine, State of							0	3,291	0	0	0	0		
Panama	0	0	0		0	0	0	0	19	0	0			
Papua New Guinea	0	0	0	0							29	0		
Peru	0	0	0	2	0	0	0	0	0	0	14	10		
Philippines	0	0	0	0	0	0	4	0	0	0	0	0	0	
Poland	1,039	715	1,602	2,217	6,937	14,998	9,733	11,767	8,163	7,314	5,745	8,150	7,706	
Portugal	0	397	412	0	0	0	0	0	355	82	1,220	859	1,966	
Republic of Moldova	3	0	0	0	0	2	0	71	0	0	0	0	0	
Romania	0	0	0	9	33	11	0	0	0	0	0	0	0	
Russian Federation	18	228	1,638	668	968	1,660	8,289	7,595	2,942	5,955	646	244	1,406	
Rwanda	0	0	0	1	0	0	0	0	6	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	1	0	0	0	0	0			
Saint Lucia	0	41	0	0	1	0	0	0						
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	7	0	0	0		
Saudi Arabia	0	0	0	0	0	1	203	0	0	0	0	0		
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia					0	0	0	11	0	0	1	0	17	
Serbia and Montenegro	15	19		20										
Singapore	1,604	0	0	0	0	0	0	0	0	0	0	0	0	
Slovakia	0	0	1	3	1	0	70	14	21	56	56	0	34	
Slovenia	32	8	9	9	3	3	1	1	5	3	1	3	2	
South Africa	0	0	0	5	0	3	15	5	4	1	1	1	6,737	
Spain	271	270	361	19,601	26,537	9,443	1,084	2,929	1,893	126	790	1,082	2,580	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0		
Sudan (North + South)	0	12	0	0	0	0		3,553	160	11	42			
Sweden	347	1,989	713	360	2	2,045	3	1	582	9,736	570	47	129	
Switzerland	17	3	1	337	0	0	1	40	0	2	167	968	91	
Taipei, Chinese	3,526	5,856	8,618	5,127	4,836	3,869	5,043	7,995	7,057	13,221	12,614	15,329	19,109	
Tanzania, United Republic of	0	0	0	1	0	0	0	0	0	0	0	0	0	
Thailand	25,041	20,030	16,364	14,456	16,293	11,074	5,291	12,220	6,386	9,211	6,091	6,820	2,556	
Togo	1	0	15	1	0		0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	7	10	8	0	0				
Tunisia	0	0	0	0	0	0	0	0	1,202	359	2,335	1,584	535	
Turkey	5	0	55	128	31	124	99	83	47	4	8	5	125	
Ukraine	1	1	39	0	252	564	1,495	2,541	630	592	549	2,445	3,076	
United Arab Emirates					0		3	0						
United Kingdom	6,072	8,821	4,669	7,679	7,801	11,004	9,185	10,184	6,424	11,360	11,992	15,573	9,243	
United States of America	30,029	23,371	14,406	15,166	17,837	11,426	10,216	6,279	7,862	8,538	7,642	6,933	9,655	
Uruguay	0	0	0	1	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	46	0		0	0	0	0	0	0	
Viet Nam	0	435	109	0	0	49	0	0	2,725	3,823	0	0		
