List of importing markets for a product exported by Grenada (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	63,983	47,869	51,364	30,317	36,270	30,551	54,767	42,137	35,371	28,833	38,013	38,680	42,426	
Albania	0	0	0	0	0	0	0	12	0	4	0	0	0	
Algeria	0	73	35	0	0	125	126	12	5	3	111	5	7	
Andorra	0	0	0	0										
Anguilla	0	0	0											
Antigua and Barbuda					831		427		1,534	1,139	1,405	1,428	1,605	
Argentina	1,072	498	662	549	749	49	2	69	0	0	0	0	0	
Armenia	0	0	0	0	0	0	0	2	0	5	0	1	0	
Aruba					0				0	0	0	0		
Australia	0	7	0	4	1	0	1	0	9	0	13	5	65	
Austria	156	77	226	350	822	540	897	688	1	17	2	1	0	
Azerbaijan	0	0	0	0	0	0	0	0	12	11	0	0		
Bahamas	7	0	43	43	1	0	1	37	0	1	16	44		
Bahrain	18	0	0	0	0	0	0	0	0	0	0			
Bangladesh	29	268	59	90	9	98	0							
Barbados	1,504	1,375	1,310	1,353	1,694	1,518	1,794	1,851	1,816	1,466	1,673	1,484	1,428	
Belarus	18	0	0	57	0	2	0	18	175	11	2	0	0	
Belgium	449	1,221	1,741	1,784	926	798	386	445	175	734	1,063	780	415	
Belize	18	59	60	43	8	2	0	0	3	0	0	11	7	
Benin	0	0	0	0	0	0	0	0	0	0	24	1	120	
Bermuda												1	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0		
Bosnia and Herzegovina			0	0	3	0	0	1	0	0	0	0	0	
Botswana	0	2	0	0	0	1	0	0	0	0	1	2	1	
Brazil	149	84	85	100	0	0	15	71	26	8	10	1	0	
Brunei Darussalam	0	0	0	0		0				64	0	0	0	
Bulgaria	0	0	0	4	9	1	5	4	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	1	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	22	35	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	4	0	2	1	1	0		
Canada	669	941	774	969	779	845	655	826	447	583	1,736	2,283	1,845	
Chile	0	0	0	0	0	0	0	1	1	1	0	0	3	
China	0	0	306	0	1	20	45	41	31	8	1	4	32	
Colombia	285	193	0	0	123	0	0	0	0	2	0	0	0	
Congo							0	0	0	0	0	4	0	
Costa Rica	0	7,376	0	1	0	1	4	9	602	43	2	2	1	
Côte d'Ivoire	0	0	0	0	0	0	0	2	0	2	0	0		
Croatia	221	306	157	143	174	39	24	55	5	50	479	247	0	
Cuba	0	4	1	0	40	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	25	30	45	41	97	99	38	46	14	30	72	105	47	
Denmark	0	4	1	76	0	2	16	0	0	31	1	2	6	
Dominica	1,899	978	549	748	1,226	2,307	2,705	3,516	2,712	2,583	2,430	2,340		
Dominican Republic	1	1	3	13	33	65	29	1,133	0	22	758	12	2	
Ecuador	0	0	0	0	0	0	20,368	0	0	0	0	0	9	
Egypt	0	0	0	0	0	0	117	37	9,412	31	153	82	358	
El Salvador	0	0	3	0	0	0	0	0	0	9	0	0	0	
