List of importing markets for a product exported by Guatemala (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	4,837,518	4,969,305	5,266,757	5,637,274	6,253,925	6,370,245	7,098,138	8,405,089	7,705,125	8,470,386	10,533,789	10,448,991	9,978,248	
Afghanistan								2,878	10	11	217	0		
Albania	0	0	2	84	187	121	34	9	803	52	29	713	3,039	
Algeria	0	316	4,994	2	5,984	4,808	1	2	52	673	34,019	34,565	5,376	
Andorra	14	3	5	6										
Anguilla	4	4	3											
Antigua and Barbuda					705		81		279	520	764	741	820	
Argentina	1,363	351	132	204	474	1,324	2,544	5,374	2,755	4,896	13,267	3,985	3,981	
Armenia	0	10	0	0	0	34	58	35	281	95	29	51	35	
Aruba					266				0	0	0	0		
Australia	902	2,210	1,844	2,284	2,545	3,908	4,495	5,552	5,292	5,975	12,415	13,044	11,706	
Austria	7,327	4,838	4,689	4,364	6,122	5,002	5,092	6,006	1,876	2,892	1,734	1,918	975	
Azerbaijan	0	156	61	0	1	55	0	0	921	0	0	0		
Bahamas	1,269	1,003	815	1,375	900	506	283	508	387	1,807	1,011	381		
Bahrain	989	656	430	585	494	188	454	1,127	869	1,436	2,373			
Bangladesh	254	2,504	4,565	4,226	7,709	5,125	4,205							
Barbados	4,525	2,043	1,618	1,801	2,957	1,080	1,758	4,170	2,995	3,257	3,907	3,037	3,336	
Belarus	2,956	1,644	4	3,120	93	104	49	85	1,843	6,017	1,121	4,814	2,254	
Belgium	30,314	10,836	16,239	16,508	24,028	22,266	20,146	27,186	27,665	35,454	48,148	35,474	32,904	
Belize	16,512	17,971	16,007	21,178	28,789	42,790	47,086	57,343	53,405	55,982	55,957	58,422	62,753	
Benin	66	0	0	0	0	1	0	17	0	0	0	0	3,727	
Bermuda												9	22	
Bolivia	211	90	90	233	320	400	544	1,380	1,308	1,244	18,142	1,185		
Bosnia and Herzegovina			0	8	11	132	46	139	96	92	212	1,347	1,374	
