List of importing markets for a product exported by Guinea (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	932,543	936,241	917,691	1,034,752	1,262,795	1,429,504	2,205,595	1,750,666	1,099,604	2,090,913	2,013,568	1,644,168	1,862,173	
Albania	0	1	0	0	6	2	4	650	0	0	19	120	394	
Algeria	360	220	6,641	1,453	1,004	3,524	7,081	3,651	11,234	6,399	11,427	6,633	1,781	
Andorra	7	127	0	0										
Antigua and Barbuda					2		9		0	0	0	0	0	
Argentina	1	0	0	0	0	5	5	0	0	0	3	6	4	
Armenia	0	0	0	138	40	77	40	90	0	0	1	1	0	
Australia	4	6	10	8	13	20	45	55	915	903	1,004	268	362	
Austria	896	1,249	851	1,207	2,374	1,750	1,755	1,561	16	141	13	0	4	
Azerbaijan	176	0	0	24,125	32,469	40,431	11,673	22,225	0	0	0	7,969		
Bahrain	0	0	0	0	0	0	0	174	0	19	18			
Bangladesh	0	0	243	0	171	198	325							
Barbados	0	1	3	2	15	0	0	1	3	0	7	1	2	
Belarus	5	56	51	1,372	350	30	0	62	6	0	1,060	0	0	
Belgium	131,826	92,753	57,464	54,134	65,507	48,282	54,603	43,444	33,059	69,359	47,627	56,594	44,104	
Belize	0	0	0	0	0	0	0	0	12	105	6	0	0	
Benin	16	6	91	131	53	38	29	62	78	314	92	1,221	4,433	
Bermuda												1	1	
Bolivia	1	0	0	0	0	0	1	0	0	2	1	1		
Bosnia and Herzegovina			0	144	2	9	1	18	18	4	0	0	1	
Botswana	0	0	1	6	1,092	143	19	0	2	10	0	1	0	
Brazil	3,026	13	0	4	0	3	375	1	0	0	0	4,277	1	
Bulgaria	7	2	232	41	70	29	10	22	140	0	15	0	0	
Burkina Faso	3	43	150	92	139		7	56	20	456	298	476		
Burundi	0	0	0	1	0	0	0	0	1	0	16	170	0	
Cabo Verde	15	46	83	100	78	182	79		56	12	75	14	0	
Cambodia	0	0	8	0	0	0	15	0	0	0	0	0		
Cameroon	33,812	13,724	25,864	5,741	737	4,337	16	0	0	19,077	0	0		
Canada	17,492	25,929	26,427	19,505	24,037	29,709	35,054	65,650	55,172	46,786	58,669	72,537	48,426	
Central African Republic	0	0	43			0	0	0	0	0	2	0	0	
Chile	0	0	0	4	0	0	0	0	6	429,049	606,155	190,873	7	
China	43	11,536	10,452	14,795	3,002	12,281	92,357	25,303	6,240	54,997	15,567	10,995	84,612	
Colombia	356	40	0	0	0	10	2	0	7	0	0	668	1,217	
Comoros	0	0	0	14	0	0	0	1	0					
