List of importing markets for a product exported by Guyana (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	601,620	546,161	578,818	658,708	642,609	669,532	797,479	979,854	931,187	1,055,602	1,315,229	1,548,823	1,472,249	
Albania	0	1	0	0	0	0	0	1	0	0	0	0	4	
Algeria	1	2	1	0	0	2	2	0	11	0	0	0	2	
Andorra	10	0	31	0										
Anguilla	188	790	1,804											
Antigua and Barbuda					1,989		3,792		3,802	3,185	3,615	3,521	3,108	
Argentina	274	59	0	4	0	4	0	0	0	0	1	16	15	
Armenia	0	0	0	0	0	0	0	252	0	0	0	0	0	
Aruba					823				0	0	0	0		
Australia	710	295	148	681	908	827	715	821	970	704	733	726	424	
Austria	160	7	17	42	54	678	149	497	3	16	154	0	317	
Azerbaijan	0	0	22	0	0	0	0	4,172	0	0	0	0		
Bahamas	11	0	16	0	76	50	50	182	24	28	44	24		
Bahrain	0	0	0	0	0	0	0	0	0	15	23			
Bangladesh	0	0	94	0	298	2,236	119							
Barbados	10,234	10,575	12,281	15,562	14,975	17,410	18,629	18,933	17,057	16,288	16,666	12,863	10,806	
Belarus	0	0	0	0	0	0	0	0	5	2	3	3	1	
Belgium	37,092	24,246	42,605	45,757	26,769	32,282	29,640	29,822	21,410	17,134	18,549	20,244	50,129	
Belize	730	610	615	979	1,008	753	623	653	426	12	188	914	1,109	
Benin	92	0	23	0	0	115	27	10	0	0	7	21	0	
Bermuda												15	1	
Bolivia	18	0	0	0	0	0	0	0	0	0	1	0		
Bosnia and Herzegovina			0	0	0	0	4	24	10	1	1	10	11	
Botswana	0	44	0	38	0	0	0	0	0	20	0	0	0	
Brazil	26	26	0	10	12	0	1,973	295	992	67	51	185	26	
Bulgaria	3	0	1	1	7	3	13	2	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	135,302	143,662	143,822	152,146	121,538	125,357	150,975	212,014	264,058	282,426	398,815	454,420	472,424	
Chile	337	2	286	331	1,103	1,502	719	1,157	779	36	483	80	5	
China	2,371	3,997	300	1,175	7,569	17,682	18,105	17,359	10,747	17,280	14,528	26,057	21,118	
Colombia	865	236	95	1,276	1,159	1,041	984	1,202	889	2,015	2,613	8,076	4,931	
Congo							0	0	1	1	0	0	0	
Costa Rica	0	1	268	7	4	0	0	4	168	66	403	695	1,014	
Côte d'Ivoire	0	0	0	0	1	0	0	0	0	2	2	8		
Croatia	15	0	6	78	234	79	46	93	2	1	111	13	0	
Cuba	1,348	1,133	716	175	899	431								
Cyprus	0	0	0	0	0	18	0	0	0	0	0	0	0	
Czech Republic	117	142	174	267	44	177	1,860	1,955	1,333	140	66	79	139	
Denmark	81	0	28	150	192	183	270	75	6	24	105	237	63	
Dominica	1,679	1,406	1,533	1,897	1,733	2,140	2,884	3,493	2,534	3,284	3,383	2,233		
Dominican Republic	0	0	10	498	317	136	541	86	474	579	3,258	1,973	4,145	
Ecuador	600	1,179	626	359	1,172	1,104	1,345	1,803	833	1,953	477	1,367	1,484	
Egypt	0	265	0	0	0	0	0	0	3	0	0	0	0	
El Salvador	18	1,036	0	1	97	8	0	0	8	0	1	5	2	
Estonia	0	3	14	18	18	21	142	25	21	26	6	20	44	
Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0		
Fiji		7	0	3	0	0	0	0	0	0	0	0		
Finland	7,805	1,093	4,381	174	190	196	125	168	21	0	20	4	111	
France	10,176	13,701	8,213	13,339	9,218	30,013	43,527	12,816	18,120	11,353	17,898	19,711	8,961	
French Polynesia	0	0	2	1	0	0	1	3	122	284	7	141	145	
Gabon	0	0	0	0	0	0	0	8	0					
Germany	4,774	4,516	6,020	3,841	6,035	8,413	10,984	13,354	9,299	13,582	11,612	16,611	13,543	
Ghana	3		0		0	155	398	5	5	1	0	18		
Greece	0	1	3	18	4	0	4	0	23	0	0	0	0	
Grenada	2,191	2,623	2,191	2,793	3,970	3,673	3,798	3,852						
