List of importing markets for a product exported by Haiti (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	309,951	292,741	380,730	449,125	547,777	640,514	662,930	657,834	663,308	695,556	911,365	957,416	1,022,153	
Albania	0	0	0	0	0	0	0	74	0	0	0	0	0	
Algeria	2	17	6	21	1	5	16	9	310	6	11	23	725	
Andorra	30	0	0	0										
Anguilla	0	48	1											
Antigua and Barbuda					14		11		11	5	7	9	8	
Argentina	18	13	16	48	58	19	31	27	52	85	73	55	108	
Armenia	0	0	0	0	0	0	2	0	0	53	0	13	25	
Aruba					6				0	0	0	0		
Australia	8	20	561	779	1,199	865	1,606	1,229	1,474	1,451	1,662	1,969	1,661	
Austria	79	40	126	111	63	186	72	48	25	35	106	28	24	
Azerbaijan	0	0	0	0	0	0	0	1	0	0	0	0		
Bahamas	8	184	51	63	29	246	150	171	91	39	86	667		
Bahrain	0	0	0	0	0	0	0	0	0	0	26			
Bangladesh	0	0	0	0	1	410	0							
Barbados	196	32	100	101	95	88	62	67	103	63	103	56	80	
Belarus	0	0	0	0	0	0	0	3	0	0	1	0	0	
Belgium	5,599	1,914	2,719	2,538	5,442	8,436	13,236	13,539	5,784	2,875	2,578	5,509	11,307	
Belize	13	0	0	0	0	0	0	0	0	0	0	0	1	
Benin	0	3	0	3	0	0	0	0	5	0	0	0	4	
Bermuda												6	2	
Bolivia	6	0	0	0	0	2	0	44	19	0	1	4		
Bosnia and Herzegovina			4	3	17	2	1	10	6	2	1	3	51	
Botswana	0	0	0	1	0	0	0	0	0	0	0	0	0	
Brazil	8	55	156	175	179	294	338	1,477	940	726	470	738	737	
Bulgaria	0	1	2	3	5	0	3	6	0	0	0	0	4	
Burkina Faso	0	48	0	0	152		70	0	8	0	44	53		
Burundi	0	0	0	0	0	0	0	0	0	0	0	9	0	
Cambodia	0	0	0	0	0	0	0	0	0	76	0	0		
Cameroon	0	0	0	0	0	0	0	0	1	0	0	0		
Canada	6,955	6,776	13,285	17,547	20,727	17,424	20,648	18,161	19,101	25,314	26,018	30,202	31,499	
Chile	0	4	0	69	55	74	140	199	99	165	122	223	25	
China	27	4	20	260	272	1,365	6,330	7,477	2,883	5,950	7,368	9,968	15,183	
Colombia	66	6	51	14	460	425	6,744	204	961	78	28	91	318	
Congo							0	0	0	0	0	0	0	
Costa Rica	659	0	8	33	16	8	38	23	27	244	872	1,703	733	
Côte d'Ivoire	0	0	0	0	28	0	3	47	31	0	0	19		
Croatia	3	0	36	16	3	0	46	14	21	12	38	56	26	
Cuba	24	8	351	43	363	362								
Cyprus	0	0	0	0	0	0	0	0	0	0	3	0	0	
Czech Republic	9	21	15	20	11	20	40	36	18	12	52	109	188	
Denmark	6	1	1	8	1	1	18	112	44	70	62	35	31	
Dominica	6	0	0	6	14	2	3	0	1	1	0	7		
Dominican Republic	569	3,802	2,724	20,844	22,911	53,590	46,580	61,894	13,329	16,222	12,013	861	4,088	
Ecuador	23	35	1	8	11	0	17	0	10	2	7	0	52	
Egypt	0	0	0	0	0	0	340	0	0	0	7	0	0	
El Salvador	56	112	79	11	927	20	67	746	1	79	36	56	143	
Estonia	2	2	0	318	61	36	41	1	0	0	0	21	36	
Ethiopia	0	0	50	58	68	3	0	1	36	0	2	5		
Faroe Islands	0	0	0	0	0	0	0	4	4					
Fiji		0	0	0	0	0	0	39	0	0	0	0		
Finland	12	17	22	20	33	20	30	24	5	5	5	4	24	
France	4,479	4,529	4,779	6,281	6,667	7,825	10,120	12,569	6,446	9,643	10,324	8,608	9,775	
French Polynesia	0	0	1	2	1	0	1	0	0	1	0	13	2	
Gabon	1	0	1	0	0	0	0	0	0					
Germany	2,023	3,088	2,278	2,393	2,432	2,460	2,335	1,673	4,065	11,611	6,263	4,087	6,231	
Ghana	2		21		0	0	51	0	0	0	2	46		
Greece	5	10	0	19	7	0	13	14	103	8	0	0	0	
Grenada	9	33	38	10	26	36	72	162						
Guatemala	7	38	157	44	224	16	23	8	38	6	220	18	225	
Guinea	1	0		0	70	0	0	0		13	0	1		
Guyana	0	0	3	5	0	160	678	41	2	6	5	118	8	
Honduras	42	36	1	76	160	14	60	12	4	14	71	22	18	
Hong Kong, China	89	744	385	3	217	937	748	541	951	1,988	3,428	3,531		
Hungary	10	7	67	5	21	0	11	1	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	10	25	78	78	74	58	
