List of importing markets for a product exported by Honduras Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,328,189	965,427	991,972	1,194,415	1,294,425	1,879,661	2,391,439	3,106,368	2,628,303	3,103,683	3,533,561	5,006,940	3,897,174	
Afghanistan	0	0	18	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	1,717	450	896	142	3	1	387	0	0	30	0	
Algeria	0	0	0	0	0	0	0	0	0	0	0	0	1,713	
Andorra	0	52	4,318	2,011	23	21	0	0	4	1	0	5	0	
Angola	0	0	0	0	0	0	0	16	14	9	260	87	0	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	463	750	1,744	969	1,122	1,419	2,138	760	808	845	538	736	
Area Nes	190	878	2,805	2,565	6,503	5,145	5,877	21,925	1,919	1,973	2,619	1,689	59,277	
Argentina	9	44	346	1,048	100	865	261	194	212	821	1,338	654	445	
Armenia	0	0	0	0	0	0	0	0	0	0	1	7	3	
Aruba	0	518	166	392	1,467	1,408	1,564	1,405	1,551	955	1,412	1,117	32	
Australia	520	1,596	1,067	1,220	3,202	3,703	3,731	2,978	1,282	1,580	6,809	6,457	15,307	
Austria	57	1,067	98	188	244	2,259	748	1,559	280	28	656	161	169	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	46	535	274	227	2,367	657	896	487	682	781	812	1,698	714	
Bangladesh	18	0	0	0	0	30	35	0	0	0	0	3	216	
Barbados	5,166	1,859	2,972	1,887	4,938	4,533	7,162	4,727	3,211	2,724	2,144	4,103	2,217	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	19,885	23,472	29,501	44,065	67,615	106,966	102,781	151,907	90,627	132,804	245,174	283,664	140,437	
Belize	13,794	2,408	5,745	5,984	4,212	7,603	8,045	12,401	6,262	9,338	6,319	8,600	1,791	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	104	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	5	31	0	6	0	3	9	14	44	240	82	148	
Bosnia and Herzegovina	0	21	0	0	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	167	156	375	580	1,068	1,245	1,391	3,970	1,402	3,399	2,132	11,641	3,195	
Bulgaria	0	94	0	0	0	245	662	1,333	5,040	5,923	4,359	4,055	4,492	
Burundi	0	0	0	0	0	4	69	0	0	0	0	0	0	
Cabo Verde	0	2	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	26	1,331	
Canada	49,572	9,696	2,804	8,629	11,064	10,260	7,287	12,597	11,304	11,938	27,911	27,382	38,849	
Cayman Islands	2	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	0	113	75	0	0	18	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	1,388	378	500	492	2,120	574	625	1,107	2,985	1,517	8,825	2,840	3,582	
China	531	481	2,635	8,362	18,106	13,604	19,410	33,293	42,218	101,041	90,920	123,761	113,927	
Colombia	3,340	5,693	8,190	2,096	3,012	1,714	3,234	3,129	2,228	21,277	8,046	10,663	28,914	
Congo	953	0	0	48	0	0	0	0	0	0	0	0	0	
Costa Rica	5,392	20,848	25,543	20,970	21,056	17,277	42,148	68,682	55,224	80,400	102,009	94,652	105,180	
Côte d'Ivoire	0	11	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	26	9	33	3	0	1	4	0	2	0	16	0	
Cuba	170	79	1,065	368	1,095	991	1,494	4,577	1,562	939	39	13,922	28,121	
Cyprus	150	0	0	31	24	9	26	22	35	24	10	10	15	
