List of importing markets for a product exported by Honduras (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	4,144,352	4,274,880	4,421,593	4,935,163	5,286,807	5,435,009	6,094,984	6,684,276	5,540,953	6,752,605	8,362,711	8,712,144	8,284,642	
Albania	7	95	250	0	23	0	0	26	3	90	50	102	586	
Algeria	418	2,523	31	2	26	199	2	123	57	84	27	118	3,666	
Andorra	31	31	70	46										
Anguilla	7	6	26											
Antigua and Barbuda					775		456		1,159	1,189	630	1,107	1,058	
Argentina	109	1	40	79	27	93	272	304	115	115	1,760	323	8,664	
Armenia	0	0	0	0	0	15	39	163	119	160	136	167	251	
Aruba					1,784				2,091	1,333	1,859	1,162		
Australia	1,827	2,491	3,207	4,708	7,832	8,519	9,137	9,794	10,378	14,452	21,031	20,946	31,522	
Austria	3,262	4,397	5,384	6,355	17,690	5,753	6,021	8,422	1,364	1,037	3,267	2,961	2,580	
Azerbaijan	111	0	0	0	0	0	0	201	0	35	0	0		
Bahamas	349	316	157	25	633	2,024	2,219	1,945	3,838	2,408	1,431	2,574		
Bahrain	1	5	2	9	4	0	0	9	1	144	100			
Bangladesh	182	4	23	4	3	142	437							
Barbados	2,101	3,102	5,256	4,079	7,530	6,376	7,318	5,790	4,580	2,943	3,077	3,902	1,921	
Belarus	4,285	21	767	28	5,715	276	79	82	38	3,596	91	107	77	
Belgium	34,542	56,820	64,158	83,384	104,569	128,446	107,701	186,746	117,727	153,160	247,964	184,751	139,793	
Belize	2,035	3,024	5,501	4,434	4,621	7,396	7,781	15,827	11,374	12,124	11,150	17,375	15,970	
Benin	17	1	0	3	170	4	31	45	2	0	0	1	0	
Bermuda												127	67	
Bolivia	73	26	333	84	37	19	80	102	43	114	496	255		
Bosnia and Herzegovina			15	48	67	18	20	92	182	104	62	68	483	
Botswana	0	0	0	0	0	0	0	0	3	0	0	0	0	
Brazil	401	402	434	853	1,877	2,482	4,610	6,853	3,916	5,583	8,240	15,825	14,810	
Brunei Darussalam	21	0	14	0		0				0	4	2	2	
Bulgaria	377	1,014	1,388	95	213	90	221	1,970	6,349	7,088	5,411	3,486	3,081	
Burkina Faso	73	3	0	131	6		0	12	25	0	6	0		
Burundi	0	0	0	0	0	0	0	0	0	0	9	0	0	
Cabo Verde	10	0	0	0	0	73	0		0	0	0	0	0	
Cambodia	0	4	0	0	1,120	397	1	0	0	0	2	8		
Cameroon	69	0	0	0	3	1	0	0	0	0	164	8		
Canada	80,756	81,888	69,772	102,330	107,211	105,045	116,320	142,839	122,427	146,886	188,110	218,835	227,617	
Central African Republic	0	0	0			0	0	0	0	0	0	0	403	
Chile	566	172	370	1,138	920	1,151	583	2,940	2,374	4,255	11,048	11,729	15,393	
China	113	766	3,379	11,663	14,174	18,617	16,084	16,146	50,340	92,629	146,714	251,074	234,440	
Colombia	1,949	6,326	11,639	4,178	5,566	3,374	3,787	7,262	3,897	24,050	22,012	9,037	24,775	
Comoros	0	0	0	0	0	0	0	51	0					
Costa Rica	38,509	34,004	42,285	36,043	62,203	19,269	40,306	80,066	78,545	109,871	161,299	146,497	125,003	
Côte d'Ivoire	4	0	4	18	2	0	9	45	28	49	1	0		
Croatia	327	632	426	666	765	1,178	1,343	1,218	1,538	1,285	2,132	1,465	2,208	
Cuba	1,659	1,346	2,021	2,020	2,193	2,066								
Cyprus	95	30	17	33	99	86	92	90	91	98	52	38	38	
Czech Republic	1,792	1,391	1,411	1,817	2,152	3,575	2,141	4,856	4,238	5,977	10,649	11,871	11,847	
Denmark	4,076	4,724	3,865	3,684	3,968	4,953	4,532	6,923	1,983	2,715	4,442	3,910	3,118	
Dominica	56	15	9	28	29	1	24	49	15	5	12	371		
Dominican Republic	3,030	4,948	4,452	5,032	12,056	18,969	18,591	36,671	30,646	45,455	51,069	45,807	57,788	
Ecuador	626	632	937	520	866	6,482	1,506	2,758	1,448	3,409	11,308	7,368	3,895	
Egypt	157	0	0	0	0	0	0	22	317	42	5	21	3,649	
El Salvador	133,848	155,264	134,944	153,102	187,072	283,895	305,471	377,512	351,809	373,564	467,343	463,692	560,501	
Estonia	58	51	299	60	132	230	522	1,031	623	1,106	398	243	537	
Ethiopia	0	3	12	3	420	42	1	0	24	12	0	73		
Faroe Islands	0	0	1	5	4	4	3	7	5					
Fiji		0	1	0	2	1	0	0	2	0	0	3		
Finland	9,958	5,426	4,259	7,071	6,191	6,604	6,363	14,204	17,209	10,036	15,019	17,167	13,031	
France	21,275	21,676	27,396	27,026	27,778	30,321	38,638	41,448	56,423	71,272	113,813	93,270	82,257	
French Polynesia	2	114	2	17	3	12	7	89	86	6	21	181	90	
Gabon	0	0	0	0	0	1	0	0	0					
Gambia	5	0	0	0	0	0	0	0	0	0	3			
Georgia	147	2	11	170	37	107	0	63	58	0	32	0	0	
Germany	74,167	78,677	83,039	114,180	138,739	190,138	211,160	235,551	262,117	283,610	495,232	576,428	307,264	
Ghana	0		38		7	0	42	54	34	131	341	166		
Greece	168	284	209	102	913	19	421	413	679	204	180	701	1,589	
Greenland	0	0	0	0	0	5	0	3	9	1	1	0	2	
Grenada	1,221	2,188	2,952	3,062	9,504	4,682	3,548	4,471						
Guatemala	129,280	83,905	101,472	119,126	103,236	76,336	279,030	353,392	124,022	307,000	344,687	367,119	394,757	
Guinea	21	2		83	1	0	0	3		0	56	19		
Guyana	2	143	1	2	819	266	3	46	3,628	371	49	338	404	
Hong Kong, China	1,808	594	1,558	1,548	1,754	2,077	2,217	2,899	2,935	2,103	6,882	3,909		
Hungary	866	1,514	2,298	567	1,531	1,357	2,237	26	775	209	177	726	976	
Iceland	48	67	114	111	241	160	197	238	148	249	245	318	234	
India	398	59	20	203	30	1,502	1,580	4,396	5,250	22,488	5,350	14,103	23,261	
Indonesia	10	33	205	0	2	8	159	368	204	278	1,226	1,302	1,434	
Iran (Islamic Republic of)	0	0	53	0	42	7				36	379			
Ireland	21,145	3,356	1,408	1,215	1,430	1,367	8,725	4,376	2,225	5,322	7,781	2,932	3,028	
Israel	554	142	457	658	258	228	558	685	975	774	2,618	1,003	1,694	
Italy	18,611	13,408	11,789	23,742	32,222	20,050	22,954	24,239	34,713	48,120	73,673	87,085	54,061	
Jamaica	11,512	20,105	16,351	27,197	26,495	25,294	13,633	18,136	4,676	8,773	11,161	14,158		
Japan	51,782	45,551	30,661	48,377	28,077	28,863	26,565	35,037	28,151	32,859	60,939	54,922	40,233	
Jordan	32	47	92	23		104	26	0	909	536	323	475	108	
Kazakhstan	0	10	2	1	21	20	27	20	26	48	24	35	91	
Kenya	0	0	4	60	3	0	4	0	0	0	35			
Korea, Republic of	15,073	10,538	12,171	15,390	22,317	23,187	59,133	36,522	31,112	70,482	141,213	84,060	54,172	
Kuwait	222	387	210	176		212	186	352						
Kyrgyzstan	0	24	0	0	0	0	17	2	48	0	0	2		
Latvia	65	1	12	9	0	0	0	2	7	2	3	6	1	
Lebanon	235	304	297	439	322	457	417	431	413	581	336	377	290	
Libya							0	0	749	0				
Lithuania	16	106	1,589	4	43	18	23	43	20	3	115	71	6	
Luxembourg	0	0	0	37	0	2	58	223	292	153	221	134	46	
Macao, China	8	40	99	46	135	41	56	50	45	67		56		
Macedonia, The Former Yugoslav Republic of	20	80	63	2	78	0	8		280	40	46	58	544	
Madagascar	0	0	10	3	19	0	0	4	110	0	24	147	95	
Malawi	1	0	114	0	0	0	0	0	0	0	0	36	764	
Malaysia	32	22	1,065	6	227	12,490	1,142	1,525	150	129	134	1,137	363	
Mali	0	0	0	44	0	0	93	7		3	0	0		
Malta	18	6	5	3	0	0	8	0	1	0	2	0	4	
