List of importing markets for a product exported by Hong Kong, China (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	49,928,788	53,602,637	58,411,157	65,302,825	68,167,114	72,200,609	74,779,857	80,727,786	62,564,995	73,899,849	81,447,709	77,331,544	68,970,271	
Afghanistan								6,009	2,759	3,351	7,405	0		
Albania	528	459	812	512	1,231	3,518	2,605	7,251	11,074	3,069	1,913	1,755	1,346	
Algeria	7,981	19,261	17,279	25,789	26,669	14,276	6,759	8,986	24,289	10,166	13,029	10,634	5,606	
Andorra	1,709	2,376	2,304	1,563										
Anguilla	31	0	54											
Antigua and Barbuda					298		2,029		844	943	863	834	823	
Argentina	43,178	11,538	22,087	27,921	302,337	30,575	33,507	38,537	20,268	28,778	38,172	31,758	28,294	
Armenia	2,226	795	1,329	1,273	1,257	1,568	1,928	8,190	1,833	1,006	3,105	3,154	2,226	
Aruba					3,463				5,559	6,113	5,628	6,104		
Australia	733,237	722,548	749,368	935,024	1,014,815	1,245,246	1,162,384	1,220,605	960,380	1,022,956	1,173,821	1,233,536	1,173,729	
Austria	363,810	134,752	158,232	200,660	186,010	224,145	209,583	213,657	102,661	90,556	99,500	72,021	77,734	
Azerbaijan	3	43	4	60	1,681	1,153	291	1,179	433	736	2,178	3,212		
Bahamas	1,612	1,977	1,709	1,060	2,508	2,619	4,769	1,090	1,768	1,839	2,857	3,478		
Bahrain	25,170	24,113	24,292	27,118	26,493	19,626	14,725	24,754	10,137	14,462	17,945			
Bangladesh	533,828	409,764	459,241	419,439	391,755	244,610	290,357							
Barbados	2,992	3,778	3,004	1,679	5,498	7,280	4,860	6,824	4,371	3,860	4,920	3,347	4,246	
Belarus	0	0	0	0	1,283	728	1,213	3,053	1,990	3,189	3,659	1,382	2,513	
Belgium	695,814	977,630	566,048	837,630	914,882	953,333	920,377	1,016,204	897,001	832,925	1,278,044	1,323,760	1,669,211	
Belize	2,082	666	705	836	1,052	4,232	6,076	5,320	3,171	9,504	5,229	4,471	5,327	
Benin	2,325	2,631	1,642	918	4,641	11,132	9,869	19,557	22,318	8,676	6,369	22,480	20,340	
Bermuda												1,156	920	
Bhutan					1,039	498	1,316	2,339	2,335	3,724	2,883			
Bolivia	1,412	1,044	1,162	2,181	2,156	2,816	3,045	3,432	3,837	5,453	8,149	12,138		
Bosnia and Herzegovina			2,604	3,106	2,737	2,797	3,692	4,885	3,025	4,004	2,530	2,043	2,282	
Botswana	2,174	5,665	13,646	8,612	12,664	18,461	21,915	18,245	21,191	16,707	13,690	12,124	20,252	
Brazil	348,069	295,314	250,153	337,203	385,739	664,100	599,189	785,276	529,340	723,354	999,328	860,913	841,854	
Brunei Darussalam	56,216	61,369	81,590	73,163		55,407				29,197	26,173	44,377	40,010	
Bulgaria	11,088	16,350	22,060	21,841	21,737	32,475	38,724	43,739	55,372	71,365	66,189	74,344	72,446	
Burkina Faso	420	438	827	891	756		1,107	1,379	921	1,589	1,503	907		
Burundi	1,356	620	189	80	410	355	214	740	2,997	1,774	1,678	947	1,320	
Cabo Verde	0	50	167	279	302	162	83		97	0	99	19	1	
Cambodia	294,296	371,645	413,672	410,149	450,413	541,234	684,502	588,396	484,655	553,303	479,378	495,420		
Cameroon	4,454	5,448	10,381	12,481	9,379	9,180	11,529	5,636	4,265	1,740	4,051	5,155		
Canada	793,301	634,598	613,848	553,298	461,647	452,380	497,034	437,462	320,254	341,923	321,788	280,062	249,213	
Central African Republic	75	48	88			4,445	0	114	300	176	197	315	495	
Chile	0	0	96,140	137,994	148,025	165,729	90,439	79,959	55,380	76,458	109,385	135,288	121,819	
China	9,422,498	10,726,243	11,118,661	11,796,722	12,224,784	10,779,763	12,804,324	12,915,846	8,711,579	12,260,255	15,492,483	17,895,804	16,224,103	
Colombia	42,262	45,630	37,827	22,953	48,109	57,962	84,897	102,401	60,950	70,283	77,685	95,920	102,400	
