List of importing markets for a product exported by Hungary (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	31,720,512	34,253,013	41,452,114	51,688,528	57,470,178	67,070,118	89,116,049	99,192,851	75,247,616	87,986,586	99,240,680	91,569,238	96,570,760	
Afghanistan								15	521	4	87	0		
Albania	14,273	12,562	12,579	16,606	19,439	24,512	40,454	72,013	38,356	40,227	50,693	38,229	40,948	
Algeria	15,792	28,051	36,070	36,588	73,731	101,645	108,445	62,329	61,889	62,232	101,517	114,444	339,110	
Andorra	1,300	1,858	916	871										
Antigua and Barbuda					54		71		47	85	57	72	150	
Argentina	22,153	8,688	18,941	21,546	1,824	37,054	53,809	53,539	47,426	72,520	119,790	129,629	147,942	
Armenia	1,676	2,249	2,908	3,421	3,936	6,999	23,682	31,083	13,443	18,074	24,579	17,624	15,262	
Aruba					343				0	0	0	0		
Australia	49,165	93,378	88,870	114,842	152,961	180,708	274,605	353,763	343,801	402,883	424,013	334,456	294,617	
Austria	2,407,867	2,413,631	2,970,052	3,388,178	3,062,734	3,229,015	3,848,389	4,742,020	3,200,903	4,180,955	5,564,494	5,260,050	5,100,003	
Azerbaijan	3,766	2,008	3,122	2,485	4,820	10,412	12,159	17,080	14,023	14,269	36,750	23,710		
Bahamas	183	60	0	11	2,143	90	1	83	0	50	17	36		
Bahrain	1,639	7,446	5,226	3,709	6,020	2,841	5,062	15,429	12,038	14,577	55,523			
Bangladesh	3,181	2,120	3,063	3,375	19,265	8,316	23,266							
Barbados	143	95	148	354	706	582	908	796	772	994	899	573	827	
Belarus	28,264	28,099	37,802	55,911	80,055	111,774	130,453	174,095	130,295	150,705	141,983	139,925	162,801	
Belgium	1,416,055	1,334,316	1,203,824	1,081,380	1,215,731	1,486,029	1,652,674	2,021,310	1,346,692	1,459,179	1,620,059	1,506,548	1,710,704	
Belize	11	2	5	32	99	47	146	134	86	0	1	0	17	
Benin	81	186	14	22	39	61	29	66	669	546	234	405	213	
Bermuda												105	126	
Bhutan					0	0	0	14	0	0	0			
Bolivia	374	201	142	293	575	700	2,080	2,400	1,490	1,223	23,138	2,646		
Bosnia and Herzegovina			127,298	219,697	258,434	261,968	334,959	538,339	271,659	282,308	269,906	271,250	299,650	
Botswana	0	40	1	438	1,659	319	1,648	843	599	981	1,202	507	78	
Brazil	98,925	83,283	101,415	129,797	113,732	115,486	132,818	177,072	148,612	224,188	282,801	338,706	487,422	
Brunei Darussalam	27	28	20	46		119				1,211	865	745	612	
Bulgaria	80,411	101,708	135,240	175,536	212,161	298,142	629,771	728,886	787,914	793,608	985,616	977,850	1,043,961	
Burkina Faso	68	95	62	154	48		1,039	912	1,678	1,151	1,817	2,810		
Burundi	0	0	0	1	2	0	0	0	307	0	140	433	0	
Cabo Verde	156	11	0	5	0	0	0		2	0	5	8	14	
Cambodia	93	58	137	30	39	38	39	78	21	65	25	57		
Cameroon	451	2,397	3,178	2,363	2,822	3,798	3,685	3,282	3,745	5,207	7,496	6,442		
Canada	106,426	106,558	137,349	161,395	181,610	240,401	299,922	371,089	326,058	334,983	361,504	422,123	418,551	
Central African Republic	0	0	0			0	23	39	47	115	0	182	0	
Chile	8,481	5,461	11,988	11,698	11,847	13,115	18,013	18,486	19,468	28,698	18,417	31,126	52,430	
China	130,361	168,832	301,364	475,591	365,529	699,306	1,210,080	1,382,204	1,466,426	2,197,692	2,452,217	2,323,098	2,715,222	
Colombia	9,203	4,979	3,391	19,095	40,986	12,446	13,236	16,754	12,899	16,693	24,162	29,604	53,016	
Comoros	10	0	0	0	0	0	0	0	0					
Congo							25	48	174	189	3,074	2,890	2,375	
Cook Islands					0									
Costa Rica	309	476	290	619	616	840	4,331	2,536	1,341	1,131	1,895	3,889	3,623	
Côte d'Ivoire	1,812	2,691	2,473	5,220	6,216	6,894	10,402	8,457	5,382	7,254	5,421	5,336		
Croatia	238,351	317,758	424,413	508,711	574,161	650,199	757,285	976,526	687,967	559,645	682,130	636,153	1,306,590	
Cuba	1,446	1,352	1,367	896	912	923								
Cyprus	8,704	13,347	9,154	18,175	56,781	39,280	57,413	51,900	43,539	31,360	28,445	20,242	14,151	
