List of importing markets for a product exported by Iceland Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	2,017,108	2,229,305	2,380,475	2,889,863	3,090,526	3,453,146	4,772,043	5,355,430	4,056,962	4,603,089	5,348,791	5,063,442	5,001,012	
Afghanistan	0	0	0	0	0	0	0	0	21	12	0	0	0	
Albania	0	0	0	0	0	0	0	129	0	7	9	0	0	
Algeria	328	0	0	0	0	0	3	53	34	0	0	0	0	
Andorra	0	0	0	0	0	16	0	2	0	0	144	5	377	
Angola	0	0	0	0	0	0	2	0	15	21	19	0	14	
Antigua and Barbuda	0	0	0	0	0	0	0	18	0	32	1,152	7,338	1,909	
Argentina	629	783	311	208	158	489	523	1,286	221	907	320	386	453	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	0	0	0	0	0	0	0	0	0	12	10	41	14	
Australia	2,299	4,655	3,065	7,771	4,005	3,796	4,715	6,042	5,158	12,295	9,880	6,732	4,802	
Austria	2,737	2,448	3,499	5,933	8,309	7,060	11,821	11,195	8,254	8,107	8,882	10,597	5,311	
Azerbaijan	0	0	0	0	8	23	7,337	1,165	136	0	0	21	11	
Bahamas	0	0	0	0	0	711	674	104	214	317	704	1,673	1,944	
Bahrain	123	10	0	39	0	2	4	37	90	1	246	2	57	
Bangladesh	11	12	11	17	0	75	38	61	77	97	199	120	147	
Barbados	0	0	0	0	0	0	0	4	0	0	0	0	0	
Belarus	1,868	1,100	3,356	4,636	7,573	4,555	14,019	17,314	2,614	2,169	7,459	2,929	2,068	
Belgium	28,746	35,024	41,928	52,341	65,108	67,354	78,170	82,754	74,591	77,255	79,762	80,427	86,703	
Belize	41	21	0	13	0	0	19	4	0	133	0	0	0	
Benin	0	0	0	0	0	0	0	128	6	51	0	0	0	
Bermuda	0	1	0	0	0	5,341	15	0	225	471	267	77	70	
Bolivia	0	0	37	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	89	29	4	3	0	49	0	76	0	1	0	0	0	
Botswana	0	0	0	0	0	0	53	0	0	49	0	0	0	
Brazil	926	905	477	1,822	1,211	2,426	4,118	6,605	3,169	5,298	5,450	8,752	6,581	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	356	0	0	91	74	146	173	430	76	159	7,090	119	180	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	5	
Bulgaria	116	157	71	726	1,861	2,242	3,294	1,815	422	455	292	65	497	
Burkina Faso	0	0	0	0	0	0	0	0	14	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	1	0	1	3	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	21,731	18,971	18,077	24,924	30,570	19,844	22,896	25,253	18,579	20,343	22,775	28,045	37,544	
Cayman Islands	0	0	0	0	46,089	0	0	0	0	0	191	0	0	
Central African Republic	0	0	3	0	0	8	5	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	15	0	0	0	0	
Chile	3,548	2,278	1,766	3,066	2,619	2,678	5,706	4,680	5,696	6,740	6,128	8,274	8,651	
China	9,297	14,295	17,305	16,109	26,944	39,166	37,162	117,888	95,001	28,010	46,842	61,166	57,474	
Cocos (Keeling) Islands	0	0	0	0	0	0	1	0	0	0	0	0	0	
Colombia	159	383	140	83	119	233	201	405	317	488	418	661	452	
