List of importing markets for a product exported by Indonesia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	56,316,867	57,158,751	61,058,187	71,582,468	85,659,948	100,798,616	114,100,873	137,020,424	116,509,992	157,779,103	203,496,619	190,031,839	182,551,754	
Afghanistan	6,528	9,225	17,071	13,923	6,203	6,053	7,334	10,597	22,009	53,945	35,573	56,218	50,886	
Africa not elsewhere specified	128	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	906	1,765	719	633	183	227	745	1,988	3,186	4,004	4,203	7,797	12,680	
Algeria	47,103	58,398	54,724	72,002	127,172	105,535	146,477	322,707	163,290	158,584	159,576	211,038	240,532	
America not elsewhere specified	143	35	256	2	399	0	0	0	0	0	0	0	0	
Andorra	77	513	2,196	1,189	12	135	525	99	327	4,301	704	298	469	
Angola	15,867	11,926	13,707	21,469	31,792	43,794	42,776	63,242	103,224	148,999	103,841	141,816	164,238	
Anguilla	30	376	304	0	117	120	240	251	192	123	700	684	620	
Antigua and Barbuda	891	1,410	2,432	2,289	1,163	724	547	407	393	423	314	284	337	
Area Nes	13	171	0	5	0	0	0	0	0	0	0	24	0	
Argentina	72,349	21,104	55,683	83,193	119,350	164,177	179,774	187,057	159,090	281,123	354,470	312,539	335,214	
Armenia	144	196	106	305	369	673	874	1,472	505	2,371	6,373	3,454	3,668	
Aruba	651	388	578	631	699	745	970	1,164	682	599	1,209	758	1,021	
Australia	1,842,294	1,924,361	1,791,603	1,887,359	2,227,608	2,771,277	3,394,556	4,110,970	3,264,224	4,244,397	5,582,530	4,905,413	4,370,482	
Austria	26,721	28,492	25,979	22,561	24,099	24,395	24,117	34,861	41,161	45,162	54,763	43,000	50,026	
Azerbaijan	175	232	521	652	1,692	2,129	2,588	1,537	1,099	2,034	3,951	4,596	5,010	
Bahamas	550	833	525	526	797	1,023	1,164	873	524	1,152	1,155	1,234	958	
Bahrain	17,906	16,670	17,407	19,768	17,849	26,178	35,006	60,454	25,192	40,620	27,622	31,690	37,957	
