List of importing markets for a product exported by Indonesia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	62,336,033	63,929,943	80,696,348	94,691,833	106,866,921	124,616,344	142,307,427	168,669,548	135,737,773	176,665,340	222,668,238	215,468,782	198,537,228	
Afghanistan								17,649	11,379	35,585	33,853	0		
Albania	90	113	291	1,628	1,443	2,079	4,327	5,200	4,430	4,790	5,499	5,359	19,134	
Algeria	71,352	94,294	93,902	114,297	131,958	155,048	169,924	385,640	234,330	222,121	256,646	242,368	293,558	
Andorra	1,534	1,360	1,409	2,989										
Anguilla	21	24	5											
Antigua and Barbuda					495		957		1,380	979	520	779	512	
Argentina	105,124	33,838	68,215	107,408	107,316	185,335	214,165	239,080	178,985	316,188	372,600	345,359	378,875	
Armenia	115	4,631	373	712	930	15,120	17,413	36,395	25,694	27,926	30,072	27,963	30,415	
Aruba					854				0	0	0	0		
Australia	2,027,555	2,300,046	2,657,535	2,719,961	2,793,228	3,426,463	4,048,152	4,449,404	3,612,151	4,773,269	6,098,804	6,554,599	5,720,872	
Austria	153,615	142,731	177,534	187,492	196,579	206,954	222,658	272,547	104,717	86,410	110,676	86,228	90,877	
Azerbaijan	273	342	15,960	1,656	2,044	2,240	6,011	5,592	3,840	6,368	13,189	37,273		
Bahamas	120	35	82	107	0	0	0	0	0	0	144	296		
Bahrain	26,481	32,504	30,161	27,544	35,464	30,297	43,381	92,266	33,206	52,863	47,781			
Bangladesh	330,604	329,958	385,791	437,968	447,717	631,686	896,978							
Barbados	1,864	2,003	1,698	1,921	2,228	2,521	3,286	5,949	4,794	4,240	4,071	2,717	3,330	
Belarus	4,180	4,614	7,093	10,552	17,335	23,084	36,590	56,738	44,601	47,163	58,320	42,091	37,150	
Belgium	856,774	971,898	1,024,326	1,103,089	1,130,358	1,209,709	1,483,160	1,630,602	1,250,724	1,278,476	1,283,729	1,424,376	1,803,595	
Belize	155	212	279	185	335	436	314	670	246	338	537	417	1,431	
Benin	5,658	5,189	5,293	8,488	6,915	11,246	3,949	2,780	4,806	4,868	5,454	5,105	7,766	
Bermuda												703	1,217	
Bhutan					5,451	29,333	27,924	5,660	1,416	12,404	2,612			
Bolivia	3,791	3,667	2,423	1,732	4,396	5,786	6,217	9,320	8,918	13,493	24,950	28,115		
Bosnia and Herzegovina			2,250	4,304	7,098	5,615	7,295	8,733	7,742	7,725	11,358	12,791	15,411	
Botswana	0	314	1,073	399	856	238	280	393	484	108	1,105	202	485	
Brazil	231,423	318,052	318,380	369,802	456,138	650,194	893,978	1,109,606	987,493	1,517,309	1,919,514	1,735,848	1,604,366	
Brunei Darussalam	25,650	36,696	33,134	31,159		46,507				65,418	73,368	81,527	159,591	
Bulgaria	105,984	73,890	102,649	49,300	58,878	33,801	42,622	62,019	22,909	23,277	26,358	32,979	37,652	
Burkina Faso	992	1,340	1,001	1,788	1,783		3,039	5,609	6,907	14,682	13,061	13,203		
Burundi	641	672	177	78	317	266	148	407	1,171	1,699	965	1,827	1,025	
Cabo Verde	0	21	524	1,040	487	366	300		389	368	922	977	1,936	
Cambodia	76,099	77,637	82,747	78,592	82,761	85,459	89,630	96,402	145,727	175,303	169,283	215,673		
Cameroon	16,458	11,524	19,235	16,244	15,286	18,667	19,881	31,038	45,472	23,982	50,589	26,479		
Canada	621,293	614,334	663,630	716,622	789,251	835,268	928,476	1,015,866	887,212	1,227,679	1,443,705	1,314,383	1,333,653	
Central African Republic	134	467	232			0	916	715	2,015	1,896	627	1,348	1,204	
Chile	86,329	85,961	83,900	141,858	157,747	191,292	221,945	207,323	214,268	218,097	272,317	219,970	185,829	
China	3,887,887	4,508,345	5,746,971	7,215,671	8,436,960	9,605,743	12,464,207	14,322,935	13,663,783	20,795,189	31,337,084	31,935,986	31,486,227	
Colombia	62,920	60,129	58,722	59,586	103,794	117,957	134,248	128,555	106,859	122,927	198,409	258,731	219,999	
Comoros	1,126	1,267	1,231	978	1,330	663	387	900	894					
Congo							25,559	50,522	24,390	24,344	14,923	23,163	16,152	
Cook Islands					976									
Costa Rica	5,442	3,934	4,840	7,531	10,020	8,644	14,133	14,212	12,855	15,192	26,594	19,467	24,865	
Côte d'Ivoire	21,731	17,487	36,219	22,970	29,220	19,267	22,279	27,409	30,347	103,964	27,247	86,284		
Croatia	19,381	32,851	42,606	83,870	36,345	46,023	72,965	65,350	43,440	41,999	47,862	45,120	9,075	
Cuba	8,095	4,564	12,262	6,897	7,153	38,652								
Cyprus	20,328	19,286	18,098	15,696	15,788	14,435	16,190	21,872	16,920	18,813	14,469	12,873	11,029	
Czech Republic	83,888	120,108	121,161	150,772	168,156	219,095	247,501	265,005	252,044	323,399	385,235	306,853	269,539	
Denmark	154,462	138,728	159,424	171,495	163,604	170,705	204,037	228,403	190,840	205,294	262,726	261,573	269,160	
Djibouti									1,566					
Dominica	46	46	60	87	35	105	265	139	159	131	82	107		
Dominican Republic	8,738	11,645	9,585	5,051	10,791	17,611	21,942	27,165	23,336	23,365	25,778	33,124	42,830	
Ecuador	26,070	13,603	23,258	33,441	21,528	25,346	28,508	37,676	22,956	38,739	93,500	69,309	90,496	
Egypt	158,479	132,813	108,155	161,377	182,795	339,916	241,967	759,794	532,947	532,593	903,656	774,552	915,841	
El Salvador	3,944	6,477	4,488	4,564	7,964	7,375	7,780	10,588	10,657	13,694	18,986	21,518	19,790	
Eritrea			2,999											
Estonia	18,484	25,220	18,885	17,719	18,078	16,409	22,511	31,616	21,270	24,057	36,545	52,996	57,964	
Ethiopia	28,208	26,043	41,330	45,755	59,057	69,229	66,385	97,975	86,751	87,279	188,381	348,611		
Faroe Islands	944	1,074	1,117	1,233	1,156	1,217	1,049	1,152	782					
Fiji		14,506	17,764	20,285	23,008	20,045	19,244	22,529	18,072	16,347	17,220	21,388		
Finland	146,649	134,339	201,616	147,270	205,137	180,972	163,680	271,907	51,444	65,078	99,175	80,919	81,346	
France	1,179,515	1,162,763	1,362,634	1,443,924	1,428,507	1,647,938	1,749,150	2,122,492	1,684,442	2,010,040	2,465,601	2,234,997	2,066,565	
French Polynesia	9,996	10,630	11,612	14,539	16,782	17,873	16,379	24,340	15,294	16,265	13,697	14,004	13,221	
Gabon	1,844	0	866	2,130	4,049	5,515	5,441	8,290	7,993					
Gambia	181	0	0	78	268	225	1,432	387	1,170	1,254	3,711			
Georgia	2,597	197	440	1,487	1,716	2,332	3,888	7,515	7,512	9,275	10,491	10,546	11,311	
Germany	2,138,678	2,117,665	2,393,094	2,816,109	3,028,284	3,527,820	4,310,869	4,608,746	3,760,277	4,767,312	5,899,223	5,139,491	4,782,697	
Ghana	22,595		24,033		50,157	90,524	149,769	155,971	77,581	83,831	106,138	130,706		
Greece	114,130	103,226	121,816	126,589	133,030	122,197	215,169	234,587	190,136	160,655	170,014	122,588	140,033	
Greenland	0	0	300	3	0	329	37	143	203	353	451	272	270	
Grenada	279	211	277	217	222	322	454	369						
Guatemala	9,141	10,382	2,888	3,623	14,107	11,121	11,586	14,759	19,025	15,891	19,748	27,111	37,659	
Guinea	6,545	8,968		7,134	13,359	19,851	12,213	11,530		18,439	6,532	13,484		
Guyana	970	877	730	389	378	860	956	769	668	831	1,399	2,606	2,056	
Honduras	913	3,615	2,867	3,748	4,077	2,668	4,547	5,663	4,607	7,413	21,265	23,139	9,536	
Hong Kong, China	1,502,475	1,495,316	1,557,367	1,746,604	1,924,171	1,932,414	2,110,264	2,373,023	2,475,899	3,042,621	3,399,866	2,729,661		
Hungary	123,734	160,507	200,479	115,167	109,092	90,124	93,951	90,542	48,048	74,563	107,696	66,471	95,899	
Iceland	4,442	4,924	5,171	7,260	6,994	6,951	7,719	7,718	4,894	5,832	5,722	5,164	4,850	
India	966,886	1,263,250	1,879,766	2,427,665	3,018,949	3,610,443	4,840,346	6,431,337	7,599,638	9,695,329	13,964,663	14,068,291	14,984,084	
Indonesia	264,757	228,110	300,454	191,520	289,545	408,561	0	23,904	20,383	125,652	191,306	161,144	179,623	
Iran (Islamic Republic of)	80,819	105,551	121,727	139,565	195,294	0				230,883	204,327			
Ireland	104,297	114,962	91,206	98,074	132,488	186,436	184,565	169,029	119,121	88,801	118,245	109,746	113,364	
Israel	56,157	56,349	32,670	27,488	43,702	87,074	89,264	293,577	90,593	106,128	119,742	110,940	193,912	
Italy	860,184	939,605	1,206,018	1,474,700	1,526,320	1,780,845	1,981,625	2,614,866	2,224,488	2,722,295	3,710,381	2,670,805	2,536,533	
Jamaica	9,143	7,488	6,257	8,560	10,073	10,400	8,927	10,337	10,078	10,679	12,965	11,928		
Japan	14,869,739	14,183,109	16,468,104	18,702,462	20,816,731	24,135,023	26,516,530	32,624,148	21,839,164	28,282,989	34,108,572	32,274,224	28,882,003	
Jordan	59,649	78,769	86,219	174,314		144,376	119,950	200,761	111,254	110,655	123,627	107,027	120,251	
Kazakhstan	3,034	4,072	11,037	12,202	22,403	22,115	33,524	37,440	33,747	23,501	27,217	37,319	40,109	
Kenya	101,378	150,728	154,151	105,622	131,341	190,909	278,798	335,699	243,148	339,791	516,264			
Kiribati					508		703	624	812	449	319	889		
Korea, Republic of	4,473,515	4,723,422	5,212,310	6,368,132	8,184,433	8,848,554	9,113,843	11,320,291	9,264,134	13,985,848	17,216,374	15,676,272	13,189,998	
Kuwait	94,529	103,783	114,091	110,577		131,175	166,349	205,839						
Kyrgyzstan	144	196	241	303	247	881	633	1,452	792	1,026	1,627	1,940		
Latvia	934	1,289	2,295	1,831	2,955	4,551	8,584	10,492	4,426	4,891	7,159	9,361	7,442	
Lebanon	72,688	53,504	40,245	52,261	47,661	40,590	53,011	79,274	82,399	75,028	82,026	84,899	92,302	
Lesotho	366	1,385	2,077					0	0	1,365				
Libya							13,972	12,973	16,979	25,907				
Lithuania	9,754	8,403	11,701	6,532	8,985	27,767	26,133	11,411	15,745	14,940	23,885	17,299	16,973	
Luxembourg	26,180	28,506	36,249	49,931	43,226	68,367	9,637	10,589	52,606	20,544	325,698	200,650	182,727	
Macao, China	10,753	13,801	12,514	14,506	17,238	19,100	25,287	28,111	29,762	44,201		29,634		
Macedonia, The Former Yugoslav Republic of	872	1,205	1,716	2,394	15,298	39,568	134,776		49,742	61,837	74,615	114,695	65,268	
Madagascar	17,118	11,827	23,959	23,586	20,866	34,539	28,933	72,108	32,887	20,183	38,441	34,503	55,351	
Malawi	3,351	3,056	4,747	5,378	5,448	9,138	9,069	15,145	18,544	22,888	23,754	24,629	39,458	
Malaysia	2,241,369	2,548,168	2,940,859	4,201,191	4,371,638	4,955,440	6,252,414	7,249,571	6,548,656	9,151,197	11,469,979	10,060,969	8,885,369	
Maldives	14,347	12,233	12,401	12,796	18,154	18,759	25,999	28,876	19,256	20,938	19,746	25,374	26,135	
Mali	3,527	2,299	3,441	4,117	2,176	2,407	2,714	5,567		6,299	5,687	2,621		
Malta	2,994	2,720	5,352	2,535	4,552	4,081	6,054	4,142	4,237	4,545	4,733	3,324	4,190	
Mauritania	4,083	405	1,347	1,326	2,887		8,377	5,987	3,565	956	3,772	7,982		
Mauritius	46,796	41,667	40,715	56,543	71,496	73,907	91,156	108,423	94,122	97,421	103,339	100,537	90,997	
Mayotte	2,423	1,751	2,434	3,905	6,175	6,480	4,254	8,058	5,279					
Mexico	457,223	526,740	448,025	613,647	653,670	812,487	886,082	956,614	853,625	1,232,258	1,231,230	1,190,567	1,148,991	
Mongolia	2,586		2,783	2,998	3,227	3,880	3,394						17,505	
Montenegro						1,412	3,732	5,119	3,646	3,414	4,802	4,033	4,485	
Montserrat	13	23	13	9	7	4	3	0	1			0	0	
Morocco	36,851	35,885	60,957	53,914	48,986	81,340	87,128	99,185	92,254	70,105	136,510	135,767	92,754	
Mozambique	5,341	3,536	4,683	11,084	13,779	25,538	36,308	38,937	16,036	14,504	41,095	35,804	71,982	
Myanmar										203,290				
Namibia	601	736	668	1,045	451	6,634	4,085	9,020	8,987	8,739	3,222	1,598	1,763	
Nepal			58,592						107,051	106,632	115,199			
Netherland Antilles					1,056	1,174	2,728	3,990						
Netherlands	1,407,411	1,317,039	1,496,129	1,761,734	1,863,235	2,074,568	2,343,437	3,009,099	2,768,991	2,884,579	3,772,969	4,010,462	3,842,349	
New Caledonia	6,640	7,689	8,236	9,989	13,112	17,996	15,353	33,291	16,917	28,267	41,519	27,411	19,746	
New Zealand	179,354	200,393	220,172	280,309	412,219	437,648	539,312	817,981	457,574	460,867	564,443	534,235	788,574	
Nicaragua	1,857	6,249	9,265	6,185	3,944	7,138	6,625	7,347	7,525	7,150	7,696	10,414	10,148	
Niger	704	5,385	558	436	863	1,882	918	1,722	3,039	4,789	5,740	5,451	3,772	
Nigeria	107,800	107,987	122,364			110,034	167,042	70,709	0	0	0	28,155		
