List of importing markets for a product exported by Iraq (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	12,009,626	9,774,062	9,035,219	17,248,340	18,792,038	29,331,693	36,301,923	60,752,346	38,691,614	50,662,573	77,304,169	92,441,675	89,483,004	
Afghanistan								0	4	26	49	0		
Albania	0	0	536	0	0	1	0	0	2	0	0	0	0	
Algeria	0	0	8,261	3,081	0	0	1	192	161	4	0	115	0	
Argentina	0	0	0	0	0	0	0	0	0	0	15	5	3	
Armenia	56	0	55	64	0	0	2	47	0	85	14,904	33,523	28,341	
Australia	0	19,929	11	4,377	12	26,918	1	46,251	10	0	114	7	8	
Austria	170,569	183,469	40,266	46,299	703	55,401	494,787	1,093,489	593,837	115,105	638,248	58,860	292,311	
Azerbaijan	0	109	35	15	980	270	0	9	129	179	363	316		
Bahamas	0	309	0	192	7	53	0	0	0	112	0	0		
Bahrain	288	24	49	17	28	241	689	7	78	40	63			
Bangladesh	243	10	54	132	53	2	796							
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	0	613	25	661	510	1,073	615	29	81	68	2,628	448	647	
Belize	0	0	0	8	0	0	0	0	0	0	0	0	0	
Benin	0	3	0	0	0	1	0	0	0	0	0	0	0	
Bolivia	12	8	0	0	0	1	0	0	0	1	5	0		
Bosnia and Herzegovina			0	53	0	0	3	0	0	34	0	1	1	
Botswana	1	0	0	0	0	0	0	0	0	0	4	0	0	
Brazil	25,576	302,737	279,738	475,910	522,523	571,090	271,926	1,186,147	718,491	738,703	898,194	962,149	691,776	
Brunei Darussalam	0	0	0	0		0				22	0	0	0	
Bulgaria	0	2	1,116	3	1	304	1	15	36	45	219	63	73	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	2		
Burundi	5	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	6	0	0	0	2		
Cameroon	0	0	0	0	0	0	0	0	1,882	1	0	1		
Canada	564,585	694,617	805,431	847,722	996,063	1,472,478	1,417,596	2,134,451	1,124,716	1,858,030	2,490,469	4,006,809	3,115,608	
Chile	0	0	7	0	6	13	0	3	3	31	4	3	10	
China	73,022	96,243	325	320,250	415,680	653,273	765,797	1,381,664	3,298,111	6,275,191	10,443,634	12,655,773	17,968,064	
Colombia	86	4	114	0	0	10	0	28	5	175	24	3	11	
Comoros	0	1	43	8	0	0	0	0	0					
Congo							0	0	0	0	0	7	13	
Costa Rica	0	0	0	0	0	0	0	2	1	0	3	15	16	
Côte d'Ivoire	0	0	0	0	1	4	0	0	0	0	0	0		
Croatia	73,074	22	12,608	13,986	62	0	11,983	19,529	15	236	22	0	729	
Cuba	0	0	0	6	0	0								
Cyprus	4	132	0	0	10	0	40	0	0	2	3	7	1	
Czech Republic	1	7	3	3	3	1	107	29	6	274	165	9	50	
Denmark	46	606	236	598	81	26	90	220	138	53	27	53	1,670	
Djibouti									311					
Dominican Republic	93	15	29	3	67	0	8	3	1	0	0	235	0	
Ecuador	546	0	0	0	0	0	0	0	0	0	0	51	0	
Egypt	985	897	103	757	2,029	1,972	391	23,348	2,406	2,652	3,394	678,390	276,710	
El Salvador	38	0	0	0	0	0	0	0	0	0	1	0	0	
Estonia	0	268	3	0	3	0	0	0	0	0	0	0	3	
Ethiopia	0	1	0	81	1	0	1	1	548	33	28	3		
Faroe Islands	3	0	2	0	0	0	2	2	15					
Fiji		0	0	2	0	1	0	0	0	0	0	0		
Finland	10	5	0	0	167	114	26	4	5	0	2	14	7	
France	885,513	745,114	200,013	354,352	515,094	902,524	1,385,836	2,155,049	1,163,780	1,323,967	1,160,692	1,296,775	1,113,781	
French Polynesia	3	5	5	4	4	4	3	0	0	0	0	0	0	
Georgia	0	10	110	8	1	126	21	3	149	15	398	2,391	306	
Germany	109	4,967	11,465	2,584	2,223	17,408	56,964	199,601	121,172	211,632	501,128	661,940	591,178	
Ghana	12		0		0	0	16	1	5	0	0	71		
Greece	229,692	114,124	60,310	64,134	35,928	20	46,589	9,637	549,678	890,055	805,009	2,269,286	4,791,875	
Guatemala	0	0	0	0	1	0	0	0	0	0	0	0	0	
Guinea	31	11		0	0	5	0	0		0	45	0		
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	5	
Honduras	0	25	5	62	78	28	16	12	4	2	2	53	1	
Hong Kong, China	0	0	0	26	2	7	2	5	7	138	599	4,218		
Hungary	0	1	0	2	2	17	124	787	488	102	12	38	247,604	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	14	50	9	799	1,895	4,482,409	5,443,335	9,505,187	5,797,694	7,291,523	17,442,398	19,519,129	20,230,180	
Indonesia	1	102,498	31	71,461	143	0	142	1,182	687	969	642	106	114	
Iran (Islamic Republic of)	24,977	14,641	92,699	27,144	3,186	0				41,880	109,387			
Ireland	41	5	0	42	6	42	33	6	66	131	56	38	39	
Israel	0	0	2	0	0	1	1	759	0	0	0	0	0	
Italy	605,678	473,910	806,568	1,004,888	2,044,989	2,781,800	4,014,979	5,778,624	3,563,496	4,128,722	3,979,282	4,508,060	3,937,409	
Jamaica	0	0	0	0	0	0	20	0	0	0	21	0		
Japan	136,942	110,966	103,332	1,169,546	438,428	910,982	1,019,728	1,516,449	1,405,801	3,417,342	3,728,485	2,803,687	2,599,234	
Jordan	684,909	750,979	374,637	64,314		7,334	12,366	28,712	126,531	187,466	178,291	204,544	64,800	
Kazakhstan	2	0	0	19	0	0	0	2	2	0	1	10	1	
Kenya	0	0	0	0	9	0	0	897	81	159	271			
Korea, Republic of	28,016	38,542	57,281	407,681	675,299	905,691	3,079,767	4,227,559	3,812,200	4,427,719	9,137,821	10,227,106	9,260,666	
Kuwait	0	0	7,922	6,704		73	2	3						
Kyrgyzstan	0	0	0	30	25	0	0	110	29	0	0	0		
Latvia	0	0	0	0	5	1	0	0	0	0	0	0	1	
Lebanon	11,085	6,619	14,398	11,749	3,518	1,369	1,186	14,249	1,663	3,154	4,374	5,787	2,415	
Lithuania	0	0	0	0	0	0	0	0	0	52,866	764	5	0	
Luxembourg	1	0	0	0	0	0	0	0	0	1	0	0	1	
Macedonia, The Former Yugoslav Republic of	7	0	0	0	0	24	2		68	3	6	0	0	
Madagascar	5	0	6	2	0	0	0	0	1	0	0	0	3	
Malaysia	74	2	32	155,466	29,730	38,212	46,356	157	83	24,920	981	219,941	197,314	
Mali	0	7	17	0	0	0	0	0		0	0	0		
Malta	0	0	1	0	0	18	0	0	2	0	1	0	0	
Mauritania	0	0	0	0	0		0	0	0	0	0	27		
Mauritius	0	0	0	0	0	0	1	0	0	0	0	12	8	
Mexico	56	6	10	27	593	118	71	30	111	8	9	181	27	
Montenegro						11	9	0	0	0	0	0	0	
