List of importing markets for a product exported by Ireland (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	86,403,116	100,861,388	115,237,150	132,317,810	141,040,838	145,581,017	161,870,373	163,991,998	148,905,769	155,418,389	167,031,589	150,424,154	144,447,852	
Afghanistan								642	911	2,900	3,020	0		
Albania	3,828	4,511	2,263	7,480	11,180	9,482	11,591	10,568	11,640	15,419	14,511	13,755	14,610	
Algeria	24,303	47,547	55,407	65,031	93,571	119,129	130,325	131,699	113,990	154,307	193,509	155,934	174,894	
Andorra	1,152	2,565	2,868	4,352										
Anguilla	0	17	1											
Antigua and Barbuda					283		790		356	247	220	251	195	
Argentina	78,531	30,688	41,529	48,436	45,672	76,436	92,941	112,414	110,985	173,411	191,462	228,248	228,505	
Armenia	376	396	648	614	947	2,825	4,224	5,135	2,764	4,185	4,972	6,629	6,628	
Aruba					29				0	0	0	0		
Australia	660,742	847,094	1,064,216	1,337,497	1,498,448	1,384,429	1,749,439	1,894,567	1,851,760	2,074,593	2,187,862	1,641,359	1,463,797	
Austria	748,671	912,470	832,755	1,309,494	628,250	665,113	702,174	817,370	725,873	759,070	707,241	645,427	1,612,658	
Azerbaijan	2,363	1,644	3,965	8,339	7,762	8,578	9,195	12,314	9,432	7,889	12,477	18,242		
Bahamas	74	324	158	11	168	297	331	380	141	863	1,579	1,101		
Bahrain	15,769	14,999	12,836	13,475	21,402	21,402	22,785	36,352	30,855	48,882	68,717			
Bangladesh	1,417	3,779	3,692	1,808	2,259	2,514	4,219							
Barbados	2,765	1,859	2,825	5,694	3,943	4,135	3,703	4,824	3,902	3,756	2,895	3,132	3,209	
Belarus	5,430	7,175	7,761	16,165	19,546	23,499	23,017	33,726	23,153	28,290	24,726	43,853	43,787	
Belgium	5,009,803	13,908,399	13,158,718	17,249,806	20,362,003	20,223,612	19,899,800	18,454,802	21,522,334	19,809,699	20,533,342	19,207,267	18,259,564	
Belize	189	39	186	111	214	665	769	1,363	610	312	553	581	464	
Benin	1,796	2,117	2,956	6,232	7,541	5,321	9,238	10,066	6,155	3,931	5,857	8,072	6,436	
Bermuda												1,176	968	
Bhutan					175	0	0	0	0	0	66			
Bolivia	930	1,038	363	738	792	1,066	1,703	2,163	1,998	3,368	2,398	2,843		
Bosnia and Herzegovina			3,596	14,274	18,521	21,062	25,298	32,431	26,334	27,502	28,866	29,679	28,237	
Botswana	3,688	6,399	7,746	5,415	3,212	3,290	3,276	3,040	3,991	4,017	4,493	4,335	3,483	
Brazil	245,527	205,329	223,341	267,782	288,156	322,084	424,283	499,828	505,754	569,203	644,989	699,264	623,797	
Brunei Darussalam	600	1,071	1,495	1,403		1,633				3,172	3,459	3,852	4,688	
Bulgaria	19,409	20,030	23,618	46,823	63,984	80,350	137,227	138,209	68,308	71,358	107,436	108,871	108,991	
Burkina Faso	2,997	2,937	1,626	2,124	2,287		3,358	5,389	3,129	4,325	4,751	4,169		
Burundi	87	127	113	12	124	5	0	114	0	188	12	155	31	
Cabo Verde	5	26	56	0	33	320	87		374	13	684	50	67	
