List of importing markets for a product exported by Israel (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	29,050,941	29,201,637	30,641,061	36,736,329	41,815,674	45,744,289	55,312,695	62,222,053	49,820,122	58,620,533	67,229,858	65,604,497	61,462,465	
Albania	142	340	296	4,698	5,094	1,612	11,473	20,072	19,365	38,044	49,690	3,453	9,301	
Andorra	1,383	455	152	177										
Anguilla	5	7	8											
Antigua and Barbuda					201		495		657	118	165	670	426	
Argentina	75,569	25,844	38,641	57,944	60,791	94,880	125,388	152,074	85,888	127,396	178,239	132,001	147,901	
Armenia	27,593	82,695	123,645	100,119	102,478	87,773	34,748	28,220	10,478	14,030	27,397	57,919	53,837	
Aruba					220				0	0	0	0		
Australia	231,920	298,837	302,430	382,275	446,078	485,743	519,347	704,816	440,633	538,140	650,851	697,112	657,177	
Austria	87,016	98,140	94,243	109,583	106,460	121,689	168,235	170,032	114,834	178,646	217,904	144,007	110,037	
Azerbaijan	6,001	6,740	2,914	4,103	10,756	26,180	30,842	80,049	80,877	59,369	37,557	61,591		
Bahamas	195	347	181	1,551	71	1,353	244	101	92	705	352	750		
Bangladesh	147	3	0	0	67	16	23							
Barbados	6,068	934	3,361	524	1,844	2,561	9,247	3,756	2,833	1,163	3,730	2,082	918	
Belarus	14,632	10,634	11,282	15,734	21,671	32,523	37,968	62,441	50,412	67,041	61,800	96,782	98,385	
Belgium	1,935,670	2,094,162	1,909,883	2,471,545	2,980,815	2,654,298	3,677,014	3,283,890	1,984,811	2,511,570	2,946,201	2,182,627	2,426,799	
Belize	124	297	303	691	1,134	667	712	304	444	428	383	202	276	
Benin	1,253	894	2,096	522	200	167	226	530	793	425	4,515	850	760	
Bermuda												69	87	
Bhutan					0	120	55	197	498	460	543			
Bolivia	3,512	3,000	2,109	6,342	2,914	5,626	8,163	9,461	9,577	7,874	9,148	8,120		
Bosnia and Herzegovina			1,487	1,388	2,646	1,989	4,538	8,638	6,826	5,096	5,767	6,154	5,873	
Botswana	35,523	41,314	5,286	16,382	12,474	19,345	42,815	85,732	56,895	105,236	100,639	120,621	103,664	
Brazil	414,458	334,823	318,432	501,784	468,503	473,740	676,326	1,221,074	651,402	1,011,475	904,089	1,143,544	1,113,480	
Brunei Darussalam	27	6	17	18		47				204	159	21	6	
Bulgaria	18,854	18,947	19,795	24,542	34,759	44,247	54,521	64,501	70,502	123,868	245,763	74,051	60,751	
Burkina Faso	7,404	1,669	3,825	11,459	11,016		7,762	10,773	627	5,998	12,073	3,192		
Burundi	438	777	5	252	988	52	23	106	364	16	376	274	87	
Cabo Verde	531	32	62	2,126	488	120	909		684	736	252	3	23	
Cambodia	561	370	13	10	22	52	1,186	153	3,955	1,382	977	4,975		
Cameroon	1,326	3,046	2,749	3,409	5,424	4,016	7,977	10,252	11,233	9,594	4,869	6,890		
Canada	401,902	402,291	443,490	532,184	671,204	769,477	896,621	1,147,188	832,029	977,527	992,574	1,145,600	1,028,188	
Central African Republic	0	0	0			9,216	207	176	411	74	378	422	192	
Chile	59,067	44,046	46,372	50,029	57,913	58,302	73,005	95,901	71,399	93,464	108,514	119,507	134,604	
China	483,240	517,647	690,402	942,863	1,073,542	1,314,405	1,653,938	1,792,823	1,524,121	2,607,391	3,037,705	2,922,831	3,183,334	
Colombia	54,736	76,817	72,165	63,002	99,401	136,956	164,686	168,655	214,888	268,429	147,963	160,501	236,556	
Comoros	0	0	67	0	0	0	12	0	0					
Congo							637	912	10,246	10,023	4,504	2,966	2,126	
Cook Islands					2									
Costa Rica	39,048	18,307	36,185	21,162	156,089	38,544	30,436	43,676	190,300	152,395	103,176	43,931	61,574	
Côte d'Ivoire	2,264	10,965	10,272	8,690	8,633	9,050	7,922	8,141	10,955	8,455	5,919	9,682		
