List of importing markets for a product exported by Italy Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	244,252,016	254,215,604	299,465,736	353,543,123	372,957,146	417,152,997	500,203,413	541,786,283	406,984,269	447,280,280	523,824,902	501,854,124	517,658,861	
Afghanistan	1,332	7,328	19,757	24,702	26,697	16,204	26,868	23,986	49,667	33,871	37,876	30,225	37,159	
Africa not elsewhere specified	100,513	27,083	20,328	9,255	12,525	27,750	6,317	9,318	0	0	0	0	0	
Albania	418,183	515,084	625,090	723,931	758,167	844,293	1,113,515	1,366,320	1,149,606	1,276,543	1,591,308	1,626,047	1,617,368	
Algeria	924,030	1,170,680	1,320,352	1,533,491	1,662,250	1,948,012	2,518,692	4,402,728	3,573,264	3,807,659	4,186,324	4,851,336	5,656,307	
Andorra	24,386	24,578	36,204	41,036	47,272	43,781	41,715	42,624	28,559	25,091	26,326	18,258	19,261	
Angola	106,518	107,102	103,834	124,032	164,326	186,568	267,166	325,895	709,063	298,192	332,709	363,421	459,501	
Anguilla	1,273	983	900	1,044	749	3,402	5,183	1,667	42,865	771	803	1,886	45,887	
Antigua and Barbuda	3,075	2,665	4,130	7,343	9,903	10,236	65,755	25,504	5,997	4,843	5,645	4,746	6,615	
Area Nes	2,608,445	2,611,790	3,215,869	3,735,874	3,940,553	4,158,925	4,893,157	5,451,828	0	0	0	0	0	
Argentina	809,797	287,838	478,026	700,831	783,559	957,065	1,166,628	1,287,148	823,005	1,246,854	1,492,723	1,294,706	1,434,074	
Armenia	30,248	35,342	50,701	65,775	81,708	108,775	128,078	153,595	108,535	117,209	142,582	154,380	147,335	
Aruba	11,708	10,337	8,215	13,276	13,082	13,951	16,146	29,069	35,527	9,128	34,122	27,121	10,825	
Australia	1,760,867	2,102,732	2,590,903	3,140,543	3,108,391	3,176,864	3,791,028	4,208,395	3,299,858	3,558,609	4,157,591	4,756,728	4,975,951	
Austria	5,268,356	5,632,933	6,967,777	8,621,190	9,173,100	10,295,721	12,062,675	12,857,244	9,666,793	10,558,302	12,103,539	11,107,162	11,187,099	
Azerbaijan	38,243	54,017	120,157	156,285	124,185	189,655	238,845	409,861	285,740	275,919	483,381	514,816	684,998	
Bahamas	236,789	329,547	602,113	426,077	63,554	61,937	654,092	105,372	370,989	23,105	106,601	26,202	78,743	
Bahrain	97,542	107,476	128,529	148,666	172,533	238,448	249,619	317,029	215,610	179,536	219,673	243,878	207,480	
Bangladesh	155,315	105,464	125,223	164,808	179,125	204,862	251,227	243,885	237,658	332,901	431,137	301,560	339,697	
Barbados	8,017	16,862	23,031	12,543	8,907	10,776	50,742	12,876	10,195	27,393	8,243	11,714	8,691	
Belarus	134,698	174,619	207,376	229,114	288,343	348,556	454,786	686,151	501,368	517,475	642,680	593,098	701,611	
Belgium	7,303,436	7,720,543	7,983,661	8,689,007	9,839,991	11,762,842	14,453,305	14,261,734	10,999,976	11,329,377	13,233,401	13,133,587	14,920,824	
Belize	1,914	739	1,630	3,912	11,375	2,741	19,179	8,879	4,523	7,231	10,526	7,662	16,275	
Benin	49,802	64,447	51,826	40,713	45,737	35,168	41,816	78,221	57,172	59,524	96,564	61,783	86,574	
Bermuda	480,180	479,893	10,094	47,306	72,264	506,302	516,859	1,209,616	11,996	12,298	8,612	7,896	7,554	
Bhutan	725	366	1,059	457	2,030	294	736	1,521	2,355	2,454	5,098	2,466	2,035	
Bolivia	23,096	22,724	19,538	21,386	21,716	23,755	30,436	41,549	49,509	58,942	85,396	95,985	129,952	
Bosnia and Herzegovina	347,333	384,297	436,581	502,852	579,388	542,096	704,590	931,441	717,290	727,995	814,195	741,404	762,664	
Botswana	10,455	3,891	3,462	5,806	2,836	3,666	8,404	9,236	5,224	6,270	10,740	8,767	5,775	
Brazil	2,319,295	1,869,571	1,799,996	2,213,417	2,502,034	2,776,740	3,487,950	4,859,180	3,757,412	5,086,649	6,622,220	6,374,582	6,711,171	
British Indian Ocean Territories	147	25	53	422	89	529	0	0	408	0	63	0	0	
British Virgin Islands	123,613	128,591	103,163	152,070	175,248	142,281	239,407	149,634	238,485	150,888	603,264	286,925	273,295	
Brunei Darussalam	13,503	7,656	44,011	11,650	10,840	25,772	9,977	17,535	21,189	10,787	20,247	50,330	40,349	
Bulgaria	676,994	804,352	1,049,029	1,305,193	1,527,854	1,961,115	2,439,770	2,814,645	1,707,839	1,871,358	2,225,655	2,082,860	2,483,906	
Burkina Faso	16,188	20,183	24,484	34,222	28,047	28,562	35,435	29,527	22,786	25,204	48,283	43,831	43,736	
Burundi	3,049	4,189	3,908	11,473	19,344	41,664	6,151	6,364	5,716	10,414	8,197	5,582	6,255	
Cabo Verde	14,218	10,417	10,536	17,380	35,819	31,479	35,900	34,172	30,918	16,363	50,389	13,633	10,761	
Cambodia	12,218	10,054	8,596	12,356	9,690	14,433	20,902	15,756	19,462	20,869	34,250	53,347	37,896	
Cameroon	75,117	84,358	91,769	82,271	80,387	76,712	121,151	119,434	99,788	109,935	223,701	140,372	149,181	
Canada	2,300,641	2,319,217	2,724,539	3,000,520	3,014,193	3,371,509	3,747,035	3,808,892	2,876,459	3,136,481	3,754,225	3,701,827	4,015,172	
Cayman Islands	91,804	75,684	123,436	192,027	262,295	242,263	223,816	276,793	168,715	127,386	329,605	136,867	190,737	
Central African Republic	2,317	1,898	1,880	2,375	1,538	3,542	2,447	2,850	5,998	6,331	3,476	2,303	1,742	
Chad	6,961	7,988	7,778	6,523	6,547	6,091	11,344	24,739	53,942	28,465	24,239	33,692	34,333	
Chile	371,589	325,187	369,264	421,365	504,332	578,922	705,976	775,572	695,971	845,027	1,220,157	1,154,654	1,175,045	
China	2,901,083	3,751,879	4,299,700	5,450,971	5,658,290	7,070,767	8,585,845	9,410,933	9,220,583	11,358,590	13,885,126	11,525,175	13,032,793	
Christmas Islands	0	16	11	12	12	279	54	51	0	0	0	0	475	
Cocos (Keeling) Islands	0	136	0	10	7	50	0	5	0	0	0	26	12	
Colombia	269,089	254,455	266,100	283,133	311,342	388,518	486,127	585,836	428,375	559,948	861,333	810,764	804,711	
Comoros	862	1,132	1,268	5,248	4,486	5,390	1,392	10,969	823	1,803	1,628	1,779	2,232	
Congo	102,820	86,072	73,002	83,856	95,459	101,649	337,379	169,734	293,066	242,898	294,850	189,535	255,468	
Cook Islands	0	114	555	60	540	66	69	148	10,337	67	132	50	13,946	
Costa Rica	84,693	92,949	109,837	86,614	89,176	99,341	134,070	134,572	95,847	109,925	146,558	126,930	157,162	
Côte d'Ivoire	113,526	113,778	112,237	120,735	137,635	108,413	136,070	146,748	122,889	153,040	141,989	163,292	164,313	
Croatia	1,508,710	1,938,560	2,402,314	2,738,192	2,888,045	3,397,475	3,836,211	4,584,615	3,137,397	2,745,398	3,161,493	2,538,765	2,664,934	
Cuba	250,260	234,632	262,851	223,286	246,421	353,450	309,442	432,603	257,238	244,250	317,459	317,109	355,395	
Cyprus	341,476	364,920	494,942	801,410	895,086	1,039,616	1,164,708	1,616,778	1,035,606	1,024,434	933,109	725,922	554,208	
Czech Republic	1,895,135	2,022,303	2,817,681	3,360,556	3,583,478	4,135,964	5,298,971	5,881,538	4,126,648	4,661,780	5,720,706	5,335,251	5,540,687	
Democratic Republic of the Congo	14,979	19,244	26,329	24,368	33,253	49,207	72,608	91,492	123,503	62,121	108,186	77,375	85,582	
Denmark	1,928,202	1,962,104	2,217,901	2,660,071	3,250,348	3,313,991	3,932,721	3,965,619	2,572,535	2,755,820	3,248,408	3,135,347	3,160,556	
Djibouti	21,404	16,211	16,180	16,309	17,472	26,291	26,118	26,754	22,126	19,613	23,732	17,685	21,995	
Dominica	1,991	1,191	789	1,879	1,740	3,273	2,296	2,605	982	1,470	1,030	523	825	
Dominican Republic	130,468	134,898	105,178	160,633	150,206	161,773	185,403	202,553	187,800	183,099	205,691	314,525	225,158	
Ecuador	113,298	138,725	107,971	110,989	118,575	146,862	201,408	212,866	191,279	255,262	284,875	261,945	278,920	
Egypt	1,314,715	1,113,045	1,333,877	1,654,189	1,699,861	1,911,706	2,924,713	4,248,066	3,609,278	3,867,644	3,608,580	3,646,549	3,745,107	
El Salvador	44,392	37,746	51,505	34,851	41,006	63,656	48,870	61,030	53,480	46,274	46,068	38,933	50,525	
Equatorial Guinea	23,492	16,476	56,566	34,393	212,464	71,893	79,915	86,550	87,908	127,547	148,673	124,442	139,180	
Eritrea	38,664	49,628	41,847	48,124	81,921	38,225	36,289	37,505	39,540	25,089	34,748	53,169	36,270	
Estonia	147,411	204,994	191,374	229,936	280,166	427,190	537,333	532,731	283,595	391,286	524,154	522,354	537,132	
Ethiopia	104,797	92,688	97,087	111,405	182,317	193,696	246,071	268,175	212,849	194,973	282,427	338,101	362,470	
