List of importing markets for a product exported by Japan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	441,658,045	457,923,994	517,258,424	619,942,801	663,309,037	709,424,117	781,196,370	852,859,486	632,356,990	814,913,695	887,333,345	868,303,640	724,812,964	
Afghanistan								367,900	336,767	494,369	411,827	600,504		
Albania	6,099	8,580	8,251	11,235	11,310	13,071	20,393	29,839	24,596	22,793	28,061	23,836	19,605	
Algeria	206,763	372,649	380,355	656,421	780,971	709,698	1,064,596	1,416,735	1,193,754	1,570,193	1,072,895	929,708	1,002,267	
Andorra	43,577	50,018	71,213	83,340										
Anguilla	2,103	2,050	2,647											
Antigua and Barbuda					14,771		24,588		23,970	13,322	7,431	8,493	10,320	
Argentina	767,256	314,049	395,846	612,216	556,515	932,834	1,200,113	1,378,128	909,013	1,191,268	1,414,641	1,508,532	1,515,734	
Armenia	2,876	420	8,681	993	2,620	19,599	51,433	84,648	44,311	55,561	40,936	63,490	45,863	
Aruba					20,096				16,124	14,982	13,645	12,897		
Australia	7,891,818	8,573,451	10,582,929	12,258,777	13,058,613	13,019,354	14,940,696	17,155,350	13,223,281	16,327,493	18,577,829	19,712,941	17,946,305	
Austria	1,574,705	1,553,851	2,051,300	2,457,271	2,343,226	2,439,622	2,560,961	2,769,715	1,043,714	1,281,779	1,461,611	1,161,349	984,940	
Azerbaijan	66,656	48,444	101,489	127,123	70,611	188,294	295,091	240,465	146,209	146,305	174,884	243,113		
Bahamas	22,634	18,797	22,495	23,927	30,288	35,081	33,214	26,322	10,357	13,261	19,482	31,296		
Bahrain	225,600	315,891	445,640	404,997	571,343	482,288	602,234	1,015,769	580,269	753,906	589,226			
Bangladesh	585,579	567,472	580,499	1,095,967	746,787	888,380	894,248							
Barbados	44,551	45,036	53,454	60,425	127,693	59,863	58,803	63,203	41,396	42,905	41,289	35,818	34,645	
Belarus	22,848	27,211	39,267	44,426	58,208	139,967	208,839	315,297	205,558	184,763	245,486	179,688	213,126	
Belgium	5,118,235	6,274,636	7,585,775	9,082,498	9,062,256	9,463,376	10,524,614	12,569,907	9,611,556	9,220,756	9,105,866	8,774,430	9,584,608	
Belize	12,801	8,631	9,998	7,928	8,311	9,753	10,868	9,135	4,841	3,029	7,535	13,926	10,299	
Benin	18,519	20,431	30,305	13,824	20,379	28,164	25,687	29,626	21,156	14,791	31,619	17,711	19,325	
Bermuda												4,504	4,300	
Bhutan					14,726	8,724	9,243	25,461	11,529	18,507	33,193			
Bolivia	58,346	98,163	83,405	105,236	142,896	222,460	330,503	498,058	307,040	328,310	598,947	369,196		
Bosnia and Herzegovina			31,380	33,892	50,168	54,506	73,385	89,430	56,952	55,839	62,454	58,166	51,713	
Botswana	5,344	7,846	12,643	21,054	20,607	17,515	26,623	35,481	30,151	40,541	61,581	71,778	53,809	
Brazil	3,063,629	2,347,528	2,520,542	2,868,677	3,405,021	3,839,523	4,609,583	6,806,892	5,367,570	6,970,198	7,871,809	7,734,742	7,081,665	
Brunei Darussalam	71,574	205,756	124,296	140,208		214,648				255,715	211,421	268,017	212,027	
Bulgaria	76,683	89,003	137,566	188,469	218,862	312,030	389,404	508,315	106,243	92,759	95,380	81,544	86,548	
Burkina Faso	28,999	26,686	16,029	15,475	16,766		34,930	45,405	55,310	53,933	58,072	77,509		
Burundi	6,157	6,288	14,785	24,209	22,727	46,821	29,440	15,239	17,330	37,855	28,616	22,212	16,935	
Cabo Verde	0	14,978	19,692	16,623	13,871	21,296	26,823		21,083	17,129	25,252	17,215	11,980	
Cambodia	61,020	63,936	78,442	83,669	100,361	129,774	140,940	114,123	118,943	156,657	248,423	222,987		
Cameroon	84,091	84,660	122,641	111,403	90,254	86,278	112,864	159,557	138,109	154,969	170,257	157,743		
Canada	9,456,955	9,834,672	9,882,956	10,400,000	12,220,229	13,521,424	14,447,453	14,404,327	10,860,575	13,054,187	13,193,768	15,042,352	13,335,004	
Central African Republic	6,827	7,263	2,859			434	5,154	5,350	8,271	7,603	29,307	16,302	3,672	
Chile	548,457	533,725	707,139	991,195	1,270,004	1,464,610	1,982,839	3,210,059	1,594,364	3,392,398	2,956,569	2,596,367	2,494,867	
China	42,787,308	53,465,999	74,148,125	94,326,727	100,407,681	115,672,581	133,950,504	150,600,041	130,937,525	176,736,084	194,567,856	177,832,336	162,378,677	
Colombia	558,975	619,438	642,870	695,164	705,315	944,573	1,230,829	1,152,717	825,386	1,156,643	1,437,709	1,654,100	1,478,804	
Comoros	265	103	129	83	128	97	341	223	435					
Congo							3,744	5,132	3,648	3,630	6,827	7,555	6,676	
Cook Islands					2,760									
Costa Rica	229,967	296,204	307,727	483,552	531,622	586,999	731,575	822,695	657,811	499,451	688,732	560,595	529,061	
Côte d'Ivoire	54,271	71,028	58,101	108,679	79,905	106,228	163,893	204,565	146,655	176,098	138,642	189,331		
Croatia	142,837	163,926	245,605	280,454	273,652	323,720	416,727	439,566	287,207	244,526	235,221	182,259	24,213	
Cuba	85,933	68,884	107,390	158,750	265,199	162,477								
Cyprus	238,550	275,732	251,915	272,419	195,667	170,541	231,675	279,408	153,926	91,208	73,909	48,033	35,118	
Czech Republic	675,662	942,460	1,167,910	2,275,920	2,400,265	2,827,818	3,850,855	4,718,409	3,290,740	3,070,799	3,109,600	2,852,355	2,650,146	
Denmark	607,153	656,960	474,263	627,750	748,044	768,844	712,991	653,148	403,934	371,752	513,761	400,520	357,129	
Djibouti									35,408					
Dominica	8,302	4,729	4,994	6,828	7,656	6,649	8,116	9,998	8,408	9,114	5,838	5,024		
Dominican Republic	216,143	358,714	146,529	145,673	353,048	283,928	385,111	330,990	172,085	321,978	214,103	347,923	359,643	
Ecuador	376,340	391,538	310,970	352,990	347,130	456,976	494,700	768,583	560,127	692,676	900,948	727,654	867,842	
Egypt	365,673	333,276	270,663	343,388	464,589	547,437	515,324	1,841,767	1,435,990	1,440,186	1,375,716	1,591,824	1,449,861	
El Salvador	124,653	136,291	132,271	134,057	127,797	155,194	185,248	191,853	102,671	150,558	210,031	172,921	177,964	
Eritrea			4,966											
Estonia	223,275	224,725	325,648	366,530	485,844	593,295	618,415	539,133	279,369	278,106	380,701	417,646	399,248	
Ethiopia	78,485	112,959	195,788	232,318	145,882	230,984	427,825	381,966	358,518	473,480	443,385	497,354		
Faroe Islands	12,053	11,265	12,506	13,355	13,597	19,560	18,217	14,761	7,394					
Fiji		39,266	58,270	59,530	68,030	64,497	52,154	51,460	37,760	44,921	41,963	50,196		
Finland	1,426,246	1,461,214	1,703,512	1,881,013	1,916,468	1,998,036	2,205,640	1,846,087	581,486	501,379	521,379	392,602	372,248	
France	9,858,755	9,864,149	11,636,201	13,272,246	12,889,946	12,909,259	13,987,373	13,998,663	10,767,919	11,719,338	12,995,887	11,757,355	10,658,204	
French Polynesia	41,012	38,499	48,085	55,311	48,915	40,975	45,599	55,717	46,351	46,568	32,578	31,555	28,081	
Gabon	56,597	0	40,378	29,142	48,918	52,217	56,322	52,525	52,623					
Gambia	2,800	4,039	2,389	3,702	5,552	8,797	8,845	6,132	4,493	2,486	3,764			
Georgia	3,177	3,952	2,436	5,933	8,336	39,539	55,744	94,624	60,077	80,890	174,108	312,629	319,940	
Germany	20,370,217	18,686,397	21,654,140	26,232,760	27,025,351	30,161,029	32,996,181	33,933,942	25,233,986	29,232,371	34,802,781	29,856,553	27,472,641	
Ghana	52,681		99,489		119,469	121,235	163,773	188,815	116,533	148,912	181,494	269,264		
Greece	862,756	944,936	1,918,540	1,537,292	1,154,477	1,617,272	1,709,984	1,354,106	965,944	737,517	447,049	166,544	158,897	
Greenland	184	114	10,168	191	294	9,447	5,090	10,647	7,475	5,899	8,178	5,701	3,972	
Grenada	8,745	6,418	11,038	12,181	13,401	11,823	17,942	12,953						
Guatemala	289,676	339,997	248,581	282,152	398,450	299,876	396,071	366,771	285,773	276,586	303,879	276,278	255,135	
Guinea	23,165	36,242		23,455	17,734	34,410	58,434	47,428		30,014	10,903	30,894		
Guinea-Bissau			1,142	309	52									
