List of importing markets for a product exported by Kazakhstan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	7,951,121	9,323,826	11,331,926	17,847,666	23,007,705	30,700,237	37,463,892	53,359,504	34,000,646	48,465,903	67,790,690	67,983,393	66,331,185	
Afghanistan								152,523	290,557	207,983	333,309	0		
Albania	0	0	248	32	1,162	1,867	2,174	13,623	1,529	3,962	16,365	7,287	7,490	
Algeria	40	0	41	0	837	123	13,727	11,886	4,064	2,843	106	7,861	7,291	
Andorra	0	2	0	2										
Argentina	1,506	1,703	1,597	14,006	7	18,137	10,694	14,336	22,683	16,457	10,029	400	4,530	
Armenia	468	1,619	597	412	841	2,027	240,596	18,483	3,213	12,743	25,335	8,894	730	
Australia	920	1,053	2,169	3,177	6,504	7,049	6,519	26,069	5,668	13,262	6,886	5,687	1,471	
Austria	184,218	351,043	244,326	567,415	635,988	823,587	1,085,631	1,577,931	1,305,954	1,150,508	1,903,607	1,818,192	1,753,800	
Azerbaijan	99,540	149,794	138,708	236,741	95,345	127,252	222,294	200,052	63,618	293,553	217,308	340,557		
Bahrain	8	1,575	1,628	17	132	0	0	5,211	0	39	7			
Bangladesh	0	0	3,651	19,590	16,375	10,440	23,311							
Barbados	0	0	0	1	0	0	0	0	0	0	0	0	0	
Belarus	8,360	14,895	12,999	23,524	31,070	73,256	151,737	171,780	74,863	405,811	136,798	119,024	78,730	
Belgium	26,791	31,207	42,107	38,581	34,321	54,731	174,146	199,866	23,446	24,407	57,052	406,096	310,633	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	2	0	0	37	20	342	334	39	0	0		
Bosnia and Herzegovina			22	83	4	614	49	474	197	6,089	2,672	2,489	3,541	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	2,778	39,281	3,128	5,083	8,584	35,125	11,402	12,214	11,848	39,124	77,658	80,091	61,395	
Bulgaria	4,589	25,411	127,862	147,579	194,548	18,931	172,973	620,577	106,424	9,643	97,639	50,781	59,578	
Burkina Faso	0	0	0	0	0		811	490	350	509	1,562	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	134	121	
Cambodia	0	0	0	0	0	0	0	56	0	0	0	1		
Canada	18,857	6,814	13,125	37,048	30,405	32,743	87,087	218,589	1,488,921	2,219,032	2,884,538	3,076,300	2,518,838	
Chile	875	752	1,502	2,178	2,716	1,133	77	481	913	974	103	874	2,439	
China	960,651	1,354,645	1,719,980	2,286,271	2,909,355	3,607,273	6,431,909	7,727,828	6,255,600	11,108,591	15,349,866	14,675,447	16,039,683	
Colombia	72	5,273	3,963	1,184	624	607	8,027	1,687	2,544	2,735	1,952	184	2,726	
Congo							0	0	2	1	119	2	0	
Costa Rica	0	10	1	2	931	0	0	161	4	1	0	54	26	
Côte d'Ivoire	0	0	0	1	527	0	1,570	1,580	0	1	66	75		
Croatia	994	1,162	1,193	188	82	111	268	5,060	669	3,306	4,584	4,311	417,201	
Cuba	315	471	1,126	5,724	6,716	1,057								
Cyprus	182	202	44	0	1,520	4,620	5,701	6,079	2,247	4,764	18,911	32,146	16,047	
Czech Republic	105,973	45,486	60,018	120,878	164,262	287,822	178,641	553,023	283,664	422,216	580,269	482,911	535,296	
Denmark	564	1,246	3,632	69,582	47,201	54,102	19,229	51,909	12,110	15,127	18,202	30,840	48,217	
Dominican Republic	0	10	0	8	0	51	24	25	1	12	49	6	14	
Ecuador	0	0	688	7,486	8	0	0	13	25	14	14	21	242	
Egypt	6,006	1,725	2,818	1,645	2,262	8,594	80,537	162,816	36,004	80,727	21,643	21,807	14,868	
El Salvador	5	3	877	5,713	1,056	0	0	0	0	0	0	0	0	
Estonia	19,034	24,217	26,735	43,801	57,442	133,749	138,457	170,799	110,656	157,042	188,969	142,743	70,985	
Ethiopia	0	0	0	0	0	0	8,508	12,172	4,501	0	0	0		
Faroe Islands	0	1	0	0	2	1	263	0	8					
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	160,816	149,530	199,664	227,874	224,623	373,031	422,145	712,805	395,801	236,958	439,795	421,214	634,379	
France	283,620	495,524	508,644	1,497,003	2,262,729	2,505,508	2,835,356	3,316,757	3,375,600	4,246,123	7,170,152	6,749,323	7,076,524	
French Polynesia	0	2	0	1	15	17	1	4	5	5	0	0	0	
Gabon	0	0	0	0	20	0	0	217	7					
Gambia	0	0	0	0	0	0	0	0	0	0	3			
Georgia	5,263	5,283	9,750	21,423	11,551	22,584	63,819	54,722	23,259	91,648	70,590	131,751	55,258	
Germany	1,034,664	1,134,328	1,588,351	2,516,045	3,159,744	4,119,970	4,899,793	6,475,706	3,220,027	5,086,546	6,213,877	5,077,951	5,580,380	
Ghana	0		1		2	0	0	0	29	3	328	289		
Greece	127,865	228,587	93,632	130,247	406,878	683,072	1,013,419	1,318,332	668,763	1,412,155	1,196,453	1,636,697	1,887,273	
Guatemala	2	0	0	0	2,869	0	0	8	131	0	0	0	0	
Honduras	0	20	2	0	0	0	0	0	0	0	0	0	0	
