List of importing markets for a product exported by Kenya Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	1,520,157	1,400,372	2,551,073	2,683,206	3,419,901	3,501,656	4,080,800	5,000,949	4,463,443	5,169,112	5,853,310	
Afghanistan	35,891	16,422	69,824	36,618	19,426	21,520	38,055	62,555	98,876	150,458	157,665	
Albania	0	0	45	0	15	0	0	0	0	13	18	
Algeria	1,357	7,060	91	368	111	65	30	89	22	45	38	
Andorra	3	4	0	0	88	118	485	23	0	0	0	
Angola	389	536	3,935	1,488	1,656	4,324	4,311	2,286	1,593	3,177	4,699	
Anguilla	0	0	16	4	1	14	58	258	79	0	0	
Antigua and Barbuda	0	0	35	401	71	8	183	29	43	79	5	
Area Nes	7,501	88,982	186,092	245,359	67,968	19,647	749	3,031	5,536	19,484	3,874	
Argentina	302	116	336	114	303	138	195	140	88	0	80	
Armenia	0	0	100	14	32	41	32	48	63	220	1,923	
Aruba	0	0	0	1	0	0	0	0	0	0	0	
Australia	9,986	3,309	10,605	6,814	9,357	7,666	16,348	6,767	8,508	8,025	10,164	
Austria	1,256	980	4,314	599	809	824	1,827	4,118	4,896	6,770	8,154	
Azerbaijan	0	0	16	63	96	526	351	187	165	1,162	352	
Bahamas	1	55	36	168	207	162	0	68	0	0	3	
Bahrain	380	6,840	496	2,372	1,230	1,324	1,730	1,834	1,190	1,061	1,365	
Bangladesh	320	170	376	1,275	1,489	425	402	3,380	2,626	6,171	6,497	
Barbados	0	0	29	8	0	0	27	0	0	0	22	
Belarus	0	0	2	20	0	2	0	0	0	32	432	
Belgium	25,312	17,338	31,903	32,231	39,500	30,234	38,578	40,861	43,861	52,458	51,185	
Belize	0	10	0	0	0	0	0	28	13	0	0	
Benin	371	68	468	285	324	522	665	530	432	214	868	
Bermuda	0	0	1	1	56	208	2	0	16	0	0	
Bhutan	0	0	1	54	0	0	9	0	0	0	0	
Bolivia	0	30	2	1	2	3	25	0	0	0	0	
