List of importing markets for a product exported by Kenya (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,766,932	1,964,052	2,353,045	2,753,803	3,102,564	3,217,558	3,541,236	4,880,614	4,028,747	4,287,907	5,237,903	5,259,174	5,201,225	
Afghanistan								16,588	4,856	21,807	60,521	0		
Albania	14	935	2,238	241	16	0	0	0	16	24	4	22	24	
Algeria	2,275	2,371	7	135	148	40	16	57	50	93	115	161	320	
Andorra	128	0	8	5										
Antigua and Barbuda					1		0		0	0	0	0	0	
Argentina	442	222	151	178	205	278	406	487	351	184	464	84	302	
Armenia	0	0	0	0	0	3	6	113	1,719	4,170	80	61	2,761	
Australia	10,672	12,203	13,245	10,610	11,390	12,385	12,697	8,978	9,132	16,342	13,490	15,042	28,494	
Austria	3,741	2,992	7,265	4,843	3,688	6,244	14,261	23,274	1,005	902	1,267	908	812	
Azerbaijan	1	0	0	130	94	192	264	291	455	756	678	49		
Bahamas	0	0	0	0	0	0	0	0	0	0	0	39		
Bahrain	947	878	1,642	1,069	1,276	836	1,041	1,439	982	1,515	2,371			
Bangladesh	508	384	377	732	2,187	623	834							
Barbados	2	2	53	115	16	15	226	8	17	7	7	1	1	
Belarus	2	28	20	91	21	208	393	610	725	895	1,478	952	1,120	
Belgium	37,507	31,722	33,077	32,191	35,760	50,135	80,338	74,967	64,228	57,576	58,735	54,040	57,851	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	10	40	31	25	101	101	555	128	68	92	305	110	78	
Bermuda												2	7	
Bhutan					0	0	0	39	0	8	0			
Bolivia	15	0	1	4	13	0	5	6	1	13	21	36		
Bosnia and Herzegovina			0	2	14	17	11	62	153	135	325	239	279	
Botswana	340	815	1,802	977	736	1,580	477	976	1,745	1,036	1,632	1,200	1,975	
Brazil	638	144	26	11	200	633	3,416	5,256	1,764	879	777	1,359	1,332	
Brunei Darussalam	2	22	0	94		0				2	2	0	3	
Bulgaria	10	23	75	117	170	245	544	413	902	2,434	3,228	539	1,195	
Burkina Faso	69	1,592	683	1,095	711		79	25	226	504	701	364		
Burundi	9,406	15,665	23,384	25,668	31,571	30,937	33,533	27,605	32,052	29,502	45,702	46,504	59,362	
Cabo Verde	0	72	0	0	0	0	121		0	0	5	0	1	
Cambodia	0	1	168	0	26	10	11	45	26	11	65	45		
Cameroon	294	113	198	435	500	385	342	294	208	127	118	313		
Canada	6,904	7,936	9,623	11,609	13,219	12,924	15,627	14,409	14,968	17,576	22,700	21,161	21,962	
Central African Republic	74	2	0			0	1,139	210	371	1,209	34	125	287	
Chile	490	348	1,459	484	1,022	1,896	795	1,282	1,114	1,933	1,504	2,850	1,720	
China	5,878	5,798	8,736	16,969	17,652	24,416	28,112	34,723	29,662	39,208	59,691	52,408	52,870	
Colombia	117	107	1,573	9,938	96	268	0	161	1,124	1,358	1,126	1,245	1,212	
