List of importing markets for a product exported by Kiribati (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	36,503	31,984	26,806	11,541	6,757	7,926	10,972	26,992	34,967	24,418	57,395	66,751	91,679	
Albania	0	0	3	0	4	2	0	0	0	0	1	9	0	
Australia	89	126	111	191	388	1,178	833	907	607	485	817	93	161	
Austria	149	31	30	4	4	3	11	14	0	1	1	0	1	
Azerbaijan	0	0	0	0	0	0	0	0	0	9	2	0		
Bahrain	0	0	0	0	0	0	0	0	0	124	0			
Bangladesh	1,690	614	1,430	1,177	697	0	0							
Barbados	269	19	0	3	0	0	0	0	0	0	0	0	0	
Belarus	2	1	0	0	1	0	0	0	0	0	0	0	0	
Belgium	25	33	37	419	864	21	4	524	0	0	0	13	1	
Benin	27	2	15	1	0	0	0	0	0	0	0	2	0	
Bosnia and Herzegovina			1	11	0	1	1	6	1	0	1	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	28	0	0	
Brazil	9	0	0	0	0	0	0	0	0	28	223	1	0	
Bulgaria	0	0	0	0	0	20	2	6	0	0	0	19	0	
Cabo Verde	0	22	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	1	5	0	1	0	0	0	0	0	0		
Canada	73	3	7	12	9	32	51	21	100	28	69	114	93	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	0	0	0	0	21	0	1	0	4	5	90	173	456	
Colombia	0	0	0	0	0	0	12	0	0	0	0	184	5,980	
Costa Rica	0	0	0	1	0	1	0	1	2	2	2	1	1	
Côte d'Ivoire	0	0	0	0	0	0	0	7	1	0	0	0		
Croatia	42	0	0	0	0	1	0	0	0	1	0	0	0	
Cuba	0	0	0	0	0	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	12	0	0	95	27	1	0	0	35	0	36	171	0	
Denmark	309	43	205	106	266	185	37	135	113	133	777	49	0	
Dominican Republic	0	0	9	0	0	0	0	0	1	11	46	9	3	
Ecuador	0	0	0	0	0	0	46	11,237	7,446	0	10,377	1,087	2,457	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	8,637	
Estonia	0	5	1	1	1	4	0	0	0	0	0	0	0	
Ethiopia	1	0	0	0	0	0	0	0	0	0	0	0		
Faroe Islands	0	1	1	0	0	0	0	0	0					
Fiji		35	49	11	599	134	350	33	49	100	58	115		
Finland	0	0	0	0	0	1	1	0	0	0	0	26	2	
France	25	37	5	22	0	40	70	96	12	1	47	1	44	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	133	737	177	451	55	421	28	33	20	4	52	31	20	
Ghana	52		0		0	0	0	0	0	5	0	0		
Greece	0	0	0	0	0	0	0	0	0	0	0	0	2	
Greenland	0	0	21	0	0	70	0	0	1	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	216	134	175	90	172	196	418	507	1,076	884	566	877		
Hungary	3	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	170	0	0	39	1	68	0	443	0	81	3	
Indonesia	0	0	0	0	0	0	0	0	220	3,040	0	1	12	
Ireland	0	0	11	0	0	0	403	0	0	0	0	0	0	
Israel	28	22	0	0	66	0	0	0	0	0	0	0	0	
Italy	0	43	6	0	9	0	0	27	0	0	7	9	16	
Japan	20,038	21,578	19,701	5,387	1,256	2,127	1,612	1,563	7,000	5,780	10,493	12,125	4,877	
Kazakhstan	0	0	0	0	0	0	11	42	1	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Korea, Republic of	3	54	11	71	7	18	1	265	5,210	8	5	1,250	3,647	
Lebanon	7	5	0	14	25	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	8	0	0	0	0	0	0	0	0	2	0	
Macedonia, The Former Yugoslav Republic of	0	10	2	19	0	1	7		6	0	3	0	0	
Madagascar	0	10	0	4	0	0	0	0	0	0	0	0	0	
Malawi	0	0	6	0	0	0	0	0	0	0	9	0	0	
