List of importing markets for a product exported by Korea, Democratic People's Republic of (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	981,363	1,059,664	979,338	1,301,185	1,415,049	1,874,602	1,531,798	2,272,155	1,497,206	2,130,885	3,435,548	3,079,506	3,546,352	
Afghanistan								55,427	0	0	0	0		
Albania	384	582	332	704	360	142	193	1,117	205	543	272	108	51	
Algeria	5,368	10,581	4,161	9,862	6,054	3,264	19,516	24,766	9,943	8,373	15,360	1,807	2,442	
Andorra	84	211	87	168										
Antigua and Barbuda					1,312		75		969	1,286	1,496	2,952	1,096	
Argentina	0	10	0	24	0	0	0	0	0	0	0	0	0	
Armenia	0	0	58	0	0	1	49	47	67	2	10	84	0	
Australia	2,417	9,907	6,672	6,432	12,490	11,545	7,329	6,408	4,004	7,199	6,981	8,411	24	
Austria	1,842	1,359	1,466	1,302	729	1,100	1,924	360	306	192	374	102	250	
Azerbaijan	158	9	590	154	698	146	0	16	0	0	26	10		
Bahamas	152	17	0	0	0	0	0	0	0	0	105	2,995		
Bahrain	1,406	333	0	0	0	45	0	0	0	33	236,416			
Bangladesh	24,967	20,044	6,904	8,472	5,753	3,394	1,296							
Barbados	2	0	45	9	1,209	1,613	664	321	349	328	133	682	215	
Belarus	276	103	80	1,867	2,131	1,926	2,355	3,062	3,858	7,396	2,734	707	1,767	
Belgium	6,628	4,608	3,783	4,984	352	441	964	4,542	700	1,193	1,718	8	417	
Belize	91	155	76	1	1	19	95	13	16	0	169	122	5	
Benin	1,346	695	544	461	3,244	282	6,067	613	5,219	4,937	17,210	3,147	936	
Bhutan					0	15	1	0	713	0	0			
Bolivia	1,148	1,523	669	697	321	352	587	1,005	763	5,032	2,775	894		
Bosnia and Herzegovina			1,032	514	831	549	826	340	105	256	158	381	364	
Botswana	0	0	0	38	0	0	0	0	0	0	0	0	0	
Brazil	62,470	73,382	65,611	69,807	71,584	91,982	109,300	176,398	95,981	121,255	51,093	41,625	68,756	
Brunei Darussalam	91	147	76	125		73				14,279	1,834	597	294	
Bulgaria	2,626	2,636	2,579	3,031	4,602	3,261	11,166	13,842	247	98	307	10	45	
Burkina Faso	97	69	21	929	159		6,580	2,407	49	122	92	79		
Burundi	5	0	0	0	29	76	31	70	151	15	126	157	131	
Cabo Verde	190	12	60	0	92	52	38		0	0	0	9	0	
Cambodia	2,579	2,017	2,460	1,123	3,285	4,183	193	770	1,480	1,752	27	1		
Cameroon	0	9	156	104	19	1	25	271	15	10	193	50		
Canada	100	39	53	25	41	74	149	101	93	119	82	88	75	
Central African Republic	30	10	1			0	29	110	25	53	3	146	129	
Chile	28,799	11,806	3,461	600	199	334	161	319	710	296	2,876	1,921	5,384	
China	166,739	270,685	395,345	585,661	499,141	467,764	583,836	760,413	793,026	1,194,537	2,475,460	2,502,531	2,915,884	
Colombia	5,773	4,783	18,075	13,071	2,660	8,929	8,433	15,900	10,530	11,936	16,802	7,870	4,819	
Comoros	0	0	13	0	98	18	0	0	12					
Congo							14	273	245	245	2	32	55	
Costa Rica	3,053	2,109	1,710	3,239	2,262	2,879	1,035	7,348	1,451	1,720	3,280	5,482	3,890	
Côte d'Ivoire	176	39	16	288	305	6	124	3,486	844	1,166	3,185	671		
Croatia	573	571	1,037	641	476	837	407	658	518	484	240	147	76	
Cuba	2,525	1,813	6,343	13,638	3,052	2,745								
Cyprus	0	0	0	344	1,419	100	153	37	39	118	39	16	5	
Czech Republic	515	909	2,763	10,323	4,170	3,487	4,838	8,550	7,377	4,144	7,329	2,411	12,236	
Denmark	3,703	2,815	2,135	2,091	1,821	2,691	1,311	347	272	551	1,427	238	111	
Dominica	35	33	20	7	5	9	3	0	11	40	3	17		
Dominican Republic	21,755	48,283	15,181	15,931	57,931	48,027	61,902	61,670	20,948	18,352	26,446	15,854	12,185	
Ecuador	9,706	194	0	0	87	284	74	1,399	191	415	2,602	15,290	0	
Egypt	1,302	573	14,732	19,133	9,482	2,145	286	33,433	28,589	66,225	24,031	21,455	20,115	
El Salvador	174	2,254	4,937	5,064	6,711	5,775	6,045	2,370	829	826	683	693	700	
Eritrea			29											
Estonia	151	74	230	635	272	391	637	880	235	138	61	118	536	
Ethiopia	912	2,085	1,482	127	5,671	3,936	10,282	8,444	6,762	4,229	6,414	15,383		
Faroe Islands	93	216	104	175	80	233	182	74	66					
Fiji		48	113	279	157	42	290	1,419	1,013	171	184	357		
Finland	215	30	391	17	160	449	2,141	984	1	2	0	31	68	
France	9,724	6,424	7,989	27,017	29,901	7,352	12,522	6,352	9,941	6,908	11,905	8,390	7,696	
French Polynesia	91	21	59	11	109	56	93	26	14	3	16	46	75	
Gabon	58	0	102	576	1,457	1,963	2,956	3,567	1,454					
Gambia	238	0	0	0	0	0	0	0	0	197	93			
Georgia	111	375	54	43	98	353	457	1,721	296	87	5,243	8,103	3,528	
Germany	23,307	28,867	23,832	22,223	45,113	16,961	16,215	21,584	52,499	33,942	50,443	15,522	14,046	
Ghana	73		4,313		886	411	200	5,502	2,165	269	5,467	462		
Greece	152	185	83	2,693	883	85,104	451	95,108	1,186	1,179	1,265	68	218	
Greenland	0	0	29	0	0	6	14	2	1	0	2	1	0	
Grenada	17	0	5	116	68	276	0	0						
Guatemala	12,063	13,188	0	2,492	8,470	2,361	134	120	1,304	286	449	148	74	
Guinea	409	838		234	441	74	292	99		140	602	2,814		
Guinea-Bissau			0	73	57									
Guyana	18	23	100	1	41	0	32	695	1,175	2,391	5,574	5,664	14,348	
Honduras	2,692	3,037	5,673	2,624	6,077	5,974	4,311	0	2,501	4,421	2,866	3,742	0	
Hong Kong, China	37,969	21,924	16,560	20,089	14,503	10,094	17,923	24,457	23,535	2,719	3,511	6,459		
Hungary	522	1,145	1,753	405	270	163	0	33	13	1	0	0	0	
India	3,777	4,917	1,094	1,596	8,166	476,831	167,167	109,319	6,542	146,751	10,408	137	76,224	
Indonesia	2,110	2,863	402	6,794	8,704	546	2,678	7,950	7,644	7,773	31,877	61,561	13,635	
Iran (Islamic Republic of)	0	58	0	0	518	0				0	0			
Ireland	8,893	2,307	6,350	8,951	9,221	372	3,252	2,283	1,149	1,864	1,456	3,586	3,704	
Israel	0	4	0	1	0	0	21	9	9	0	0	169	0	
Italy	2,672	3,249	3,549	3,899	692	1,537	672	3,556	810	1,001	606	1,039	1,149	
Jamaica	999	975	753	411	1,762	2,328	3,156	2,129	1,963	2,103	2,580	1,616		
Japan	225,628	235,070	174,562	164,101	131,672	77,661	0	0	0	0	0	0	0	
Jordan	0	108	525	219		261	0	0	0	9	0	0	0	
Kazakhstan	0	0	0	0	1,625	1,136	918	647	1,056	559	0	250	277	
Kenya	3,713	2,713	2,159	3,031	4,053	945	644	680	1,266	206	258			
Kuwait	0	2	0	0		0	0	10,166						
Kyrgyzstan	21	2	59	19	1,016	53	49	0	0	0	0	1		
Latvia	0	3	6	0	0	0	0	0	0	6	0	0	0	
Lebanon	21,860	7,438	3,882	7,630	7,561	5,588	4,584	7,620	6,941	4,354	3,565	1,366	477	
Lesotho	2	0	0					38	66	4,372				
Lithuania	1,260	413	437	84	35	17	102	71	9	0	7	0	0	
Luxembourg	65	5	646	64	4	132	89	690	1,945	1,174	1,561	381	341	
Macao, China	638	8	1	9	108	0	0	7	2	3		48		
Macedonia, The Former Yugoslav Republic of	8	19	55	286	683	1,315	1,633		746	668	329	747	348	
Madagascar	181	39	102	277	50	154	465	176	27	71	398	156	221	
Malawi	101	0	0	239	53	1,040	120	38	114	35	42	261	123	
Malaysia	1,102	132	33	95	176	463	835	1,572	200	0	0	0	68	
Mali	470	461	237	204	1,071	90	381	396		267	299	5,162		
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	44	87	68	78	77		249	302	621	823	1,238	3,373		
Mauritius	759	478	933	1,332	1,533	667	2,014	1,605	375	122	574	64	16	
Mayotte	439	292	392	225	94	379	164	252	237					
Mexico	99,638	37,471	24,382	47,663	70,175	54,152	44,385	20,818	12,513	45,879	26,603	9,098	14,440	
Mongolia	38		54	17	35	61	237						680	
Montenegro						95	472	831	172	244	162	283	747	
Montserrat	0	0	0	0	0	21	28	0	0			0	0	
Morocco	0	0	0	0	0	0	0	0	0	0	0	2,560	1,446	
Mozambique	207	174	50	44	510	130	262	3,562	792	72	1,007	3,462	8,491	
Namibia	206	29	153	0	8,808	0	0	1	46	0	0	0	1	
Nepal			2,226						4,145	1,443	1,145			
Netherlands	11,370	6,270	2,195	8,290	3,676	35,232	41,517	19,438	26,942	96,703	111,951	12,573	139,076	
New Caledonia	19	173	295	72	815	309	370	420	589	549	520	333	405	
Nicaragua	12,072	7,217	4,978	8,795	5,788	2,411	4,978	5,734	3,250	832	380	261	879	
Niger	132	62	217	42	151	800	6,548	12,584	17,940	9,527	3,894	2,452	4,614	
Nigeria	7,199	11,175	18,672			66,600	54,391	1,798	0	0	0	34		
Norway	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oman	13	0	0	8	0	0	0	0	0	0	0	0	0	
Pakistan			18	9,875	12,736	13,626	18,967	13,086	9,173	19,577	26,352	52,285	43,302	
Palau												0		
Palestine, State of							6,838	33	293	161	1,027	848		
Papua New Guinea	228	17	40	23							3,885	2,671		
Paraguay	4,909	3,006	3,718	8,395	10,508	22,796	21,732	34,970	21,944	20,165	33,569	24,183	11,460	
Peru	1,122	13,187	2,010	1,808	2,475	1,344	1,967	20,949	20,038	0	1,602	2,430		
Philippines	0	1	1	0	0	0	0	0	0	0	0	0	1	
Poland	8,350	8,147	5,782	7,022	30,333	14,046	14,971	94,496	48,417	16,511	10,736	6,045	7,054	
Portugal	3	23	18	87	99	89	215	1	443	127	67	2,603	75	
Qatar	0	0	0	0	21,517	6,815	5,276	68,818	17,601	2,019	3,845	3,917	3,362	
Republic of Moldova	53	57	29	29	39	42	301	904	585	182	75	21	371	
Romania	999	1,664	2,787	1,401	2,431	1,307	47	166	4	267	460	0	4	
Russian Federation	16,659	10,963	2,957	4,778	6,872	20,060	33,715	13,944	7,800	16,385	14,510	11,081	9,283	
Rwanda	0	0	0	0	202	699	103	105	625	12,415	150	879	995	
Saint Kitts and Nevis	29	7	40	34	27	49	140	193	343	14	125			
Saint Lucia	292	0	0	0	0	76	2	5						
Saint Vincent and the Grenadines	33	19	29	9	88	124	84	7	80	33	158	43		
Samoa	0	97	223	773	1,811	2,740	1,241	202	599	524	275	624	738	
Sao Tome and Principe	0	0	3	16	0	0	0	0	22	0	0	15	1	
Saudi Arabia	16,961	62,753	4	0	36,484	29,498	30,974	27,429	54,928	24,649	32,376	20,196		
Senegal	219	95	310	288	288	254	401	615	1,236	453	1,003	326	179	
Serbia					1,557	1,399	1,907	12,311	700	2,227	4,701	4,350	1,456	
Serbia and Montenegro	203	479		1,715										
Seychelles	0	0	13		1,997	2,207		3,000						
Singapore	3,049	796	1,147	1,604	6,731	6,459	1,038	341	1,854	711	0	744	1,516	
Slovakia	307	864	1,746	470	368	1,189	1,197	8,040	5,984	4,057	3,786	6,292	2,321	
Slovenia	2,551	1,751	3,696	7,443	4,087	3,987	7,473	5,762	1,953	2,951	1,387	1,966	1,666	
Solomon Islands								0	69	253	972			
South Africa	1,047	1,244	437	745	1,534	1,344	3,005	3,381	1,281	1,471	3,600	1,955	3,056	
Spain	12,446	10,260	8,433	6,639	13,788	11,963	5,412	5,580	5,326	3,587	3,696	2,499	1,882	
Sri Lanka	0	104	67	49	43	448	374	119	401	35,952	3,334	7,529		
Sudan (North + South)	1,584	599	184	713	326	1,607		0	694	189	90			
Suriname	1,793			1,805	3,405	3,196	5,127		1,546	8,017	9,884			
Swaziland	0	0	0	172	0	0	0							
Sweden	1,440	30	367	217	213	1,026	20	20	159	491	600	84	20	
Switzerland	871	899	881	1,010	1,351	800	431	198	885	877	972	969	2,428	
Syrian Arab Republic	0	0	554	0	1,081	340	48,544	2,624	1,186	165				
Taipei, Chinese	3,545	3,192	1,519	5,214	4,089	2,773	3,254	13,408	7,111	7,711	24,743	41,850	37,580	
Tanzania, United Republic of	483	319	390	432	57	9	1,459	256	127	8,549	4,412	1,273	2,542	
Thailand	24,125	44,695	50,921	91,025	133,133	147,636	34,428	28,383	13,855	21,367	12,584	21,917	13,896	
Timor-Leste				0	4									
Togo	998	268	2,023	243	1,064		11	664	176	172	136	59	520	
Tonga	0	0	0					27	88	1	52	45		
Trinidad and Tobago	1,686	2,471	2,155	1,244	3,453	1,808	4,304	8,367	1,861	1,134				
Tunisia	1,291	1,077	950	995	1,890	4,667	1,031	7,166	1,282	2,131	1,176	1,813	1,268	
Turkey	5,475	2,420	2,440	5,276	2,860	2,802	1,524	51,924	2,219	4,559	3,615	3,498	3,467	
Uganda	20	195	97	251	3,546	1,629	993	952	891	817	533	945	868	
Ukraine	11,297	5,861	5,454	2,142	2,099	1,904	6,072	8,323	751	2,495	629	1,594	1,363	
United Arab Emirates					1,008		49	25,377						
United Kingdom	2,026	2,317	1,926	741	1,926	18,753	14,976	5,789	1,444	2,475	5,232	4,567	871	
