List of importing markets for a product exported by Korea, Republic of Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	150,430,886	162,466,097	193,817,314	253,844,609	284,418,167	325,457,247	371,477,104	422,003,479	363,531,063	466,380,620	555,208,898	547,854,448	559,618,559	
Afghanistan	95,013	127,909	124,597	77,174	59,631	78,540	109,038	73,881	88,616	68,222	119,912	143,167	63,840	
Albania	2,030	2,716	5,151	7,941	6,327	24,987	8,057	13,887	10,219	16,727	19,423	16,055	16,336	
Algeria	152,762	186,447	224,591	354,545	340,203	390,606	768,091	863,063	1,094,919	1,495,609	1,122,237	1,130,709	1,023,883	
Andorra	1,877	3,584	789	1,269	833	599	982	3,490	2,266	5,218	4,078	1,383	2,122	
Angola	695,558	18,544	24,753	1,814,112	1,517,394	1,037,088	173,667	1,266,287	325,324	158,068	217,987	414,873	1,241,663	
Anguilla	55	1	247	242	136	5	974	555	247	54	23	184	309	
Antigua and Barbuda	31,137	50,962	3,037	2,693	4,588	6,253	4,362	96,059	1,118	17,377	3,198	32,713	37,811	
Area Nes	173,262	140,988	285,614	359,719	414,867	367,723	485,889	308,490	76,141	90,952	508,777	40,768	54,575	
Argentina	302,101	51,471	161,439	239,144	309,008	330,937	489,140	578,207	494,269	909,449	1,081,071	972,906	1,074,647	
Armenia	1,255	2,338	3,298	2,172	3,150	6,939	13,124	30,072	42,349	15,692	24,854	25,212	26,657	
Aruba	5,994	5,788	9,490	11,491	14,993	12,932	13,351	12,595	7,086	10,974	19,985	21,310	21,413	
Australia	2,173,217	2,339,610	3,272,162	3,378,483	3,812,063	4,692,088	4,691,190	5,171,339	5,243,141	6,641,619	8,163,844	9,250,484	9,563,089	
Austria	223,567	397,731	415,873	669,905	970,512	886,632	770,672	661,499	643,020	951,754	838,490	838,481	606,904	
Azerbaijan	3,637	3,784	10,968	19,127	32,240	47,357	130,307	254,747	149,557	184,059	216,948	282,067	308,444	
Bahamas	504,645	967,271	908,985	997,567	1,583,447	1,123,015	1,307,730	2,069,130	1,218,725	737,914	1,904,420	812,257	1,012,964	
Bahrain	46,596	61,408	52,698	81,954	118,357	125,231	202,205	498,119	282,630	274,146	230,584	328,963	233,977	
Bangladesh	654,786	505,668	544,073	620,474	611,137	648,316	611,524	1,095,016	1,063,848	1,554,317	1,627,620	1,458,891	1,427,204	
Barbados	3,254	3,345	33,081	23,363	10,042	12,009	10,593	8,143	7,534	10,954	9,334	11,606	10,718	
Belarus	8,169	7,287	9,857	16,885	17,715	31,147	35,059	53,337	23,796	39,171	58,445	43,937	71,372	
