List of importing markets for a product exported by Kuwait Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	
World	16,164,460	15,406,421	20,638,164	28,647,977		56,003,317	62,691,156	87,457,022	
Afghanistan	71	185	2,135	3,683		3,762	5,710	6,526	
Africa not elsewhere specified	0	0	0	0		0	0	0	
Albania	0	6	0	0		23	2	105	
Algeria	2,348	1,340	1,811	2,096		3,422	3,304	4,014	
America not elsewhere specified	0	0	0	0		0	0	0	
Andorra	0	0	0	0		0	629	0	
Angola	0	231	313	97		40	13	46	
Anguilla	0	0	0	0		27	0	0	
Area Nes	7,358,700	14,111,057	18,965,463	26,724,028		53,167,207	59,197,288	82,679,853	
Argentina	22	4	4,215	4,551		9,654	8	241	
Armenia	0	3	9	0		23	137	337	
Aruba	0	0	0	0		10	0	0	
Australia	5,309	3,423	2,065	5,167		17,809	21,587	41,117	
Austria	211	105	42	193		226	215	216	
Azerbaijan	74	21	158	226		1,242	2,244	0	
Bahrain	25,982	25,212	41,902	35,731		54,293	88,875	168,603	
Bangladesh	4,538	4,894	4,389	2,669		3,267	1,618	5,431	
Barbados	0	0	0	0		0	31	0	
Belarus	0	26	0	18		0	0	0	
Belgium	19,988	18,729	10,388	6,706		8,782	12,711	8,470	
Belize	0	0	0	0		0	0	0	
Benin	0	32	70	15		70	324	5,234	
Bermuda	0	0	0	0		0	38	0	
Bhutan	0	0	0	0		0	19	101	
Bolivia	0	0	0	0		0	0	0	
Bosnia and Herzegovina	0	2	8	10		72	95	74	
Botswana	0	0	0	96		4	0	0	
Brazil	41	34	22	94		1,731	376	18,211	
Brunei Darussalam	0	0	0	0		0	35	0	
Bulgaria	50	87	192	235		55	487	60	
Burkina Faso	0	0	180	14		1	14	1,105	
Burundi	0	0	0	0		0	0	0	
Cabo Verde	0	0	0	0		0	0	0	
Cambodia	1	2,325	0	1		101	128	0	
Cameroon	17	3	29	16		141	355	12	
Canada	509	6,177	1,155	895		487	928	1,621	
Cayman Islands	0	0	0	0		0	0	0	
Central African Republic	0	0	0	0		0	0	169	
Chad	0	1	2	0		59	48	608	
Chile	0	0	2	28		1	3	0	
China	83,936	78,684	83,766	76,281		116,778	105,602	96,480	
Colombia	5	0	0	0		165	57	137	
Comoros	0	0	18	0		63	109	509	
Congo	0	0	86	241		1,688	802	0	
Costa Rica	0	16	0	0		0	0	0	
Côte d'Ivoire	5,623	1,815	4,953	1,807		5,315	4,134	1,686	
Croatia	1	0	1	21		26	314	332	
Cuba	0	0	18	0		0	2	0	
Cyprus	3,455	4,429	2,371	2,149		3,377	3,807	4,128	
Czech Republic	80	28	20	327		502	228	2,175	
Democratic Republic of the Congo	20,603	0	0	0		0	0	0	
Denmark	235	99	57	132		242	253	386	
Djibouti	136	79	383	163		433	2,619	4	
Dominica	0	0	0	0		0	0	0	
Dominican Republic	0	0	0	0		0	51	0	
Ecuador	0	0	0	0		8	0	37	
Egypt	42,546	35,024	40,387	44,618		66,890	59,693	15,522	
El Salvador	0	0	0	10		0	0	0	
Equatorial Guinea	211	0	0	0		0	0	1,488	
Eritrea	0	72	62	16		214	421	56	
Estonia	0	5	0	0		0	0	0	
Ethiopia	5,328	106	330	256		1,304	664	0	
Europe Othr. Nes	0	0	0	0		0	0	0	
Fiji	0	1	0	0		49	89	18	
Finland	58	203	337	1,590		1,568	1,131	2,287	
France	159,091	1,537	2,359	6,139		6,220	9,914	65,633	
Free Zones	1,833	0	0	0		8,227	14,785	29,386	
French Polynesia	0	0	0	0		0	0	0	
Gabon	0	49	5	33		10	2	448	
Gambia	0	0	0	307		5	0	266	
Georgia	0	5	24	3		0	74	8,994	
Germany	22,074	3,962	6,765	10,675		16,699	13,527	36,914	
Ghana	1,112	1,150	513	1,372		1,432	1,866	411	
Gibraltar	0	0	0	0		0	0	0	
