List of importing markets for a product exported by Kuwait (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	16,109,744	15,676,102	20,267,939	27,354,235	38,855,725	51,800,440	58,840,050	85,300,138	51,794,262	67,613,070	95,799,369	113,518,411	105,833,928	
Albania	4	1	24	24	4	17	0	2	65	1,603	996	585	142	
Algeria	1,917	1,263	1,042	5,518	8,363	9,288	5,623	6,360	6,996	22,673	72,124	21,714	24,260	
Andorra	0	11	0	0										
Antigua and Barbuda					0		3		0	0	0	0	0	
Argentina	1,659	3,751	4,380	5,536	18	10,395	19,641	8	3	1,968	7,170	30,746	0	
Armenia	0	0	0	24	0	37	198	292	79	122	803	168	347	
Australia	63,074	90,221	89,729	82,842	178,830	159,504	243,602	407,616	280,763	328,630	442,264	479,358	102,940	
Austria	68	296	291	204	442	370	734	1,641	622	832	1,976	309,857	301,979	
Azerbaijan	106	47	30	25	202	6	30	502	0	705	53	178		
Bahamas	0	0	5	0	0	0	0	0	0	0	16	0		
Bahrain	18,330	28,919	40,425	35,539	36,277	28,332	62,165	191,153	136,176	89,310	90,994			
Bangladesh	4,575	25,442	129,234	392,995	856,938	1,457,558	1,266,291							
Barbados	0	0	0	22	0	0	0	2	0	0	8	0	0	
Belarus	0	0	0	0	0	0	0	8	0	0	0	0	1	
Belgium	39,832	34,587	22,798	19,203	100,133	31,840	51,093	84,195	125,030	135,206	109,198	134,959	203,016	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	7	5,516	75	1,611	1,309	1	24	32	130	30	59	268	95	
Bhutan					0	0	657	0	1,315	679	0			
Bolivia	0	0	0	0	0	0	0	7	1	684	0	8		
Bosnia and Herzegovina			1	15	77	117	120	432	129	1,280	1,953	2,011	1,902	
Botswana	0	0	17	2	0	0	0	0	0	1	12	0	3	
