List of importing markets for a product exported by Kyrgyzstan Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	476,150	460,305	581,726	718,715	672,014	794,067	1,134,181	1,617,561	1,178,274	1,488,401	1,978,932	1,683,237	
Afghanistan	1,577	4,397	6,106	8,017	12,390	74,752	118,366	45,950	18,844	9,009	23,536	25,780	
Albania	7	0	6	0	0	0	24	0	0	0	0	404	
Algeria	0	0	0	52	19	22	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	163	146	152	116	0	0	0	0	0	0	0	27	
Argentina	0	0	0	0	0	0	0	1	232	6	0	0	
Armenia	11	56	2	857	1	14	0	584	25	2,294	25	722	
Australia	9	18	31	61	40	84	221	381	63	27	96	31	
Austria	1,439	1,486	1,846	2,850	228	21	143	36	735	43	51	2	
Azerbaijan	2,088	5,555	2,047	1,770	1,903	1,891	2,696	2,640	1,224	1,579	1,865	4,906	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	267	122	28	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	3,202	1,338	1,505	1,972	1,410	878	1,802	5,269	3,254	6,362	7,693	11,333	
Belgium	836	3,220	4,914	3,890	2,953	5,158	11,500	11,881	13,017	9,315	9,411	12,807	
Belize	0	0	0	0	0	50	0	0	0	0	785	1,443	
Benin	0	0	0	0	0	0	28	0	0	0	0	0	
Bermuda	0	0	0	0	23	59	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	8	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	47	0	193	49	32	0	0	0	36	
Botswana	0	0	0	0	0	0	0	0	0	18	0	0	
Brazil	1	0	0	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	59	0	10	0	0	13,231	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	140	109	395	3,147	2,451	1,947	7,990	3,143	200	4,951	6,718	7,709	
Cambodia	0	0	0	0	0	0	0	0	1	0	0	14	
Canada	1,177	1,233	30,977	42,742	22,510	218	805	895	2,197	16,713	1,064	1,667	
Central African Republic	0	0	0	0	0	0	27	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	10	0	0	0	
China	19,369	40,124	23,340	39,339	26,572	38,120	61,877	44,391	19,328	28,255	42,040	61,374	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	0	15	0	50	0	0	0	172	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	10	
Croatia	35	0	1	3	0	9	99	0	0	46	39	384	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	1	13	0	0	1	0	0	0	0	258	
Czech Republic	2,074	1,938	2,331	1,344	1,837	562	83	45	16	946	347	141	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	4	0	0	46	7	310	0	298	2	4	2	37	
Dominica	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	39	0	3	0	0	3	3	0	0	0	0	18	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	0	0	8	0	0	0	0	0	0	
Estonia	345	166	796	1,052	363	88	3,660	3,894	2,034	2,260	116	79	
Ethiopia	0	0	0	0	0	0	0	10	0	0	0	0	
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	10	0	0	0	
Finland	156	164	10	382	285	227	102	76	354	560	1,424	1,222	
France	1,768	195	207	253	985	250	368	108,165	4,099	38,181	1,351	3,980	
Gabon	0	0	0	72	0	0	0	0	0	0	0	0	
Georgia	174	139	337	401	484	1,312	616	1,161	236	1,662	1,100	2,580	
Germany	94,389	1,664	3,007	3,093	4,104	2,189	6,412	17,674	5,293	5,776	9,651	16,363	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	0	8	0	87	109	10	1	0	661	11	0	84	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	3	49	0	0	0	
Hong Kong, China	0	0	0	0	0	0	0	0	11	56	423	15	
Hungary	1,169	1,370	254	205	30	0	0	8	205	97	61	70	
Iceland	0	0	0	0	0	0	0	0	10	0	0	0	
India	1,368	821	667	580	10,155	3,742	831	561	880	566	18,295	498	
Indonesia	0	0	0	0	0	0	0	0	0	0	192	1	
Iran (Islamic Republic of)	8,240	4,725	2,142	3,460	3,888	7,338	10,973	11,959	6,358	10,345	6,983	9,619	
Iraq	35	138	141	255	67	529	1,133	630	2,182	1,097	1,276	2,778	
Ireland	0	0	27	312	188	28	72	212	172	66	4	44	
Israel	247	54	1	0	0	8	0	15	13	430	23	632	
Italy	1,379	1,003	427	85	898	6,458	6,661	3,037	1,806	1,137	386	463	
Jamaica	0	0	0	0	0	0	0	0	25	0	0	0	
Japan	456	0	89	6	416	1,124	1,672	3,124	4	820	146	489	
Jordan	0	22	341	21	1	0	24	66	70	70	8	19	
Kazakhstan	39,007	36,725	57,113	87,289	116,135	162,638	204,582	184,074	119,246	181,685	289,705	404,931	
Kenya	0	0	0	0	0	1	0	0	0	0	0	0	
Korea, Democratic People's Republic of	1	16	269	502	1,189	423	0	0	0	0	232	0	
Korea, Republic of	623	1,066	383	478	1,252	2,053	3,120	995	512	682	994	604	
Kuwait	0	0	0	0	0	37	0	0	0	24	1,000	388	
Lao People's Democratic Republic	0	0	4	0	0	0	0	73	0	0	0	0	
Latvia	3,442	8,659	9,378	9,036	4,215	1,964	16,548	30,664	636	846	1,735	528	
Lebanon	0	0	57	39	0	0	0	119	16	0	0	51	
Liberia	0	0	0	0	0	0	0	0	0	5	0	0	
Libya	0	0	0	7	0	0	0	0	0	6	0	177	
Lithuania	779	62	148	83	120	1,228	4,220	3,768	287	1,646	1,808	1,967	
Luxembourg	2	7	668	795	4	3	86	18	0	62	199	66	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	12	68	747	1,006	0	460	2,012	5,194	
Madagascar	0	0	0	0	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	2	32	13	
Maldives	0	0	0	0	0	1	0	0	0	0	0	0	
Mali	0	0	0	0	2	0	0	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	1,966	0	0	0	
Mexico	12	0	0	19	8	0	18	0	236	32	0	0	
Mongolia	1,170	1,104	958	1,211	1,163	1,196	1,787	1,451	156	1,990	1,456	1,985	
Montenegro	0	0	0	0	0	0	0	0	0	86	0	0	
Morocco	0	0	0	0	0	0	0	0	10	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	44	
Myanmar	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	1,596	2,861	5,277	1,310	3,203	3,225	3,438	928	1,133	1,808	2,177	3,801	
New Zealand	0	0	0	0	0	22	0	0	3	4	31	0	
