List of importing markets for a product exported by Kyrgyzstan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	291,683	246,576	350,778	454,361	463,554	536,889	702,558	935,529	637,976	982,071	816,906	790,938	697,229	
Afghanistan								5,170	0	37	0	0		
Albania	0	0	30	369	331	251	358	474	194	38	29	304	353	
Algeria	0	0	0	0	0	0	3	115	0	1	2,029	0	8	
Andorra	0	0	7	157										
Argentina	13	21	1	0	0	4	6	6	78	3	140	3	0	
Armenia	62	9	9	1	964	9	3	27	372	41	0	60	5	
Australia	108	52	30	119	82	216	351	1,098	67	35	190	149	72	
Austria	199	382	105	272	399	202	270	64	61	21	171	158	1,185	
Azerbaijan	1,357	679	790	1,388	1,533	475	924	1,342	752	1,006	923	2,241		
Bahrain	0	0	0	0	0	0	0	1	0	0	0			
Bangladesh	0	593	6,242	0	3	494	280							
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	6,409	2,816	3,380	3,271	2,036	1,510	2,725	6,443	3,225	8,278	9,075	12,512	18,767	
Belgium	239	2,909	3,558	1,793	1,523	868	452	3,206	1,158	2,455	2,367	7,677	14,138	
Benin	0	0	0	0	0	0	0	0	0	0	4	0	0	
Bolivia	0	0	0	0	0	0	0	0	2	0	1	4		
Bosnia and Herzegovina			21	347	186	166	549	277	292	223	491	874	707	
Brazil	24	3	11	0	0	288	318	240	21	205	225	3	2	
Bulgaria	141	145	229	950	217	521	4,621	2,995	2,856	3,187	4,241	4,740	6,818	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	0		
Burundi	0	0	0	0	0	0	0	7	0	6	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	136	56	12,885	96	17,737	834	18	956	428	539	182	906	134	
Chile	0	0	0	0	66	0	0	1	85	0	1	1	0	
China	42,221	55,718	69,141	109,546	105,050	112,916	113,693	121,328	48,450	72,069	98,121	89,021	62,912	
Colombia	0	0	0	15	17	9	0	37	12	88	537	0	0	
Comoros	0	0	0	0	0	0	0	0	4					
Congo							0	288	1	1	0	0	0	
Costa Rica	0	0	0	24	10	0	0	0	0	0	0	2	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	618	11		
Croatia	43	51	4	137	60	3	144	25	30	98	144	115	149	
Cuba	0	0	1	0	0	0								
Cyprus	0	6	65	7	1	0	3	0	0	0	0	0	0	
Czech Republic	5,160	3,593	3,186	2,830	2,402	2,667	1,896	1,867	334	1,893	151	180	200	
Denmark	4	5	2,184	18	9	11	1	15	68	62	61	93	79	
Dominican Republic	0	0	0	17	73	15	66	0	1	30	4	21	5	
Ecuador	0	0	5	84	0	0	0	38	42	0	0	0	9	
Egypt	0	60	0	477	219	320	0	1,048	0	0	0	0	0	
El Salvador	16	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	593	1,354	696	1,904	898	186	27	6,918	11	22	86	47	26	
Ethiopia	0	0	0	0	0	0	5	0	12	0	0	694		
Faroe Islands	1	1	4	3	2	0	1	0	1					
Fiji		0	0	0	1	0	0	0	0	0	0	0		
Finland	92	1	1	5	74	3	15	6	507	583	1,100	669	36	
France	1,043	1,159	1,091	2,006	1,326	2,082	5,054	2,586	23,434	248,671	43,123	29,646	44,075	
French Polynesia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Georgia	230	187	293	677	481	1,858	1,168	1,162	1,065	1,362	1,413	2,477	2,074	
Germany	95,644	3,340	4,157	4,189	3,953	6,126	9,108	10,664	7,331	7,224	17,813	19,875	15,933	
Ghana	0		0		10	0	13	0	0	0	0	0		
Greece	0	35	34	245	478	394	697	1,180	981	303	496	803	592	
Greenland	0	0	0	0	0	0	0	0	0	0	1	6	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	0		0	0	0	3	0		0	0	0		
Guyana	0	0	2	0	0	0	0	0	0	0	0	10	0	
Honduras	0	22	3	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	1	15	7	0	285	656	35	358	581	120	85		
Hungary	745	1,203	292	154	98	110	54	0	338	126	28	17	45	
Iceland	0	0	0	0	0	0	0	0	0	1	0	0	0	
India	564	489	471	457	774	1,722	838	945	622	1,032	726	2,297	648	
Indonesia	256	127	1,668	2,421	3,788	1,828	958	785	1,491	3,040	1,436	1,468	1,380	
Iran (Islamic Republic of)	14,893	9,386	7,060	6,804	5,815	14,231				12,374	5,143			
Ireland	7	3	1	0	0	57	0	59	0	2	0	1	1	
Israel	5	2	0	0	0	6	3	22	98	18	250	542	563	
Italy	2,005	1,224	996	1,734	1,455	1,042	2,961	2,180	241	658	897	545	1,206	
Jamaica	0	0	0	0	0	0	0	31	0	0	0	0		
Japan	698	9,849	17,137	501	362	302	350	1,073	216	188	2,073	1,044	790	
Jordan	0	0	0	0		0	0	0	0	0	127	0	21	
Kazakhstan	33,455	31,803	54,753	91,141	118,587	138,887	175,854	171,168	116,477	165,720	241,961	333,050	329,136	
Kenya	0	0	82	116	191	0	0	0	0	0	240			
Korea, Republic of	616	416	352	3,011	1,590	1,318	1,372	2,640	1,197	2,711	2,110	211	549	
Kuwait	0	0	910	2,188		0	51	0						
Latvia	166	396	311	220	228	450	866	777	142	54	144	240	390	
Lebanon	329	60	94	301	21	0	16	0	8	0	3,226	369	734	
