List of importing markets for a product exported by Latvia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	2,000,723	2,284,406	2,893,669	4,378,634	5,302,745	5,891,473	7,893,151	9,280,774	7,171,470	8,850,801	11,988,196	12,685,522	13,288,799	
Afghanistan	194	397	381	276	302	409	1,092	86	475	13,781	184,284	174,991	19,581	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	6	255	0	
Albania	17	9	1	7	109	36	69	150	721	413	668	393	647	
Algeria	20,895	23,384	9,019	2,098	15,320	32,084	16,363	21,972	182,198	172,258	69,220	263,049	126,956	
Andorra	6	0	1	2	4	27	23	27	0	0	7	44	192	
Angola	3	0	0	0	0	0	0	1	58	5	1,957	3,711	7,437	
Anguilla	0	0	0	0	0	0	0	0	0	2	0	0	9	
Antigua and Barbuda	3	10	63	400	3,964	1,173	842	1,058	624	582	1,002	702	1,230	
Area Nes	6,202	8,364	9,147	17,223	23,900	3,733	9,936	11,675	4,548	1,521	4,786	3,559	2,135	
Argentina	0	6	9	79	212	699	1,846	2,294	1,545	1,609	2,608	2,066	3,350	
Armenia	567	553	634	1,543	1,934	1,887	2,393	3,875	1,935	2,863	3,055	2,830	3,005	
Aruba	0	0	0	0	0	13	38	83	3	0	0	1	0	
Australia	887	2,899	1,652	2,250	2,721	2,198	2,333	3,454	2,954	3,472	5,607	7,086	10,298	
Austria	12,165	13,702	14,321	19,559	21,477	25,646	44,278	39,967	51,821	29,516	41,365	34,617	50,128	
Azerbaijan	631	559	1,311	3,042	4,185	7,565	8,115	15,912	15,814	18,283	25,479	21,773	30,838	
Bahamas	39	249	1,264	258	2,105	968	1,624	1,385	290	97	250	306	297	
Bahrain	33	25	52	32	125	63	122	825	409	329	200	253	379	
Bangladesh	4	3	20	358	618	56	262	463	1,534	3,240	2,182	169	1,867	
Barbados	1	3	0	22	436	222	234	332	71	58	152	47	84	
Belarus	35,769	34,201	42,068	91,068	112,862	135,859	180,896	205,287	183,522	188,223	214,698	232,274	245,684	
Belgium	25,304	24,846	30,334	36,763	36,027	82,980	81,651	92,165	85,669	108,998	128,674	162,040	158,865	
