List of importing markets for a product exported by Latvia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,932,352	3,036,841	3,789,715	5,420,658	6,464,486	7,748,129	9,179,904	10,349,862	7,635,284	8,813,540	11,847,775	11,449,900	11,604,149	
Afghanistan								0	0	0	149,711	0		
Albania	0	0	533	0	7	52	50	259	753	337	517	389	678	
Algeria	14,128	4,740	5,507	1,980	6,789	24,092	15,016	13,133	123,150	123,981	148,088	235,708	149,181	
Andorra	0	0	7	11										
Antigua and Barbuda					0		0		0	13	11	30	25	
Argentina	6,733	27,137	665	26,764	28,852	22,535	121,015	186,551	52,363	77,546	81,505	30,045	13,754	
Armenia	614	583	1,161	1,790	1,073	747	1,214	10,113	1,453	2,589	2,497	1,866	1,791	
Australia	1,595	1,256	1,225	1,062	2,471	3,453	3,568	2,856	3,137	3,873	5,438	7,327	10,807	
Austria	18,177	19,040	21,492	27,328	26,205	27,932	35,302	35,886	46,591	37,252	36,050	28,030	33,410	
Azerbaijan	560	574	882	2,863	1,509	1,879	1,712	3,883	5,300	6,703	12,896	8,541		
Bahrain	15	55	18	0	57	0	3	930	51	1,023	450			
Bangladesh	0	0	7	288	334	174	654							
Barbados	2	4	0	0	0	22	38	19	44	23	106	20	62	
Belarus	36,143	36,070	44,315	85,043	90,568	111,876	127,534	137,994	116,622	95,833	116,209	145,058	147,477	
Belgium	55,379	42,009	44,920	94,910	33,286	51,907	64,155	104,901	169,164	83,900	115,595	162,715	226,048	
Belize	0	0	0	0	36	0	35	0	0	0	125	5	376	
Benin	0	0	0	65	0	0	28	117	30	5	15	0	52	
Bermuda												61	8	
Bolivia	0	1	1	1	0	6	22	2	6	3	118	41		
Bosnia and Herzegovina			107	101	221	144	58	128	418	505	2,115	1,194	1,329	
Botswana	0	0	2	0	0	2	0	0	2	290	69	2	85	
Brazil	238,646	57,828	3,207	16,359	129	178	2,007	8,945	24,906	29,697	4,957	5,409	6,608	
Bulgaria	569	1,017	1,531	2,510	2,327	2,447	4,722	9,992	11,037	15,567	17,927	21,691	13,863	
Burkina Faso	0	0	0	0	0		0	1,527	1,965	4	6,801	12,752		
Burundi	0	0	0	0	293	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	4	0	0	4	5	0	0	0	453		
Cameroon	0	0	0	0	0	0	28	0	62	210	129	6,612		
Canada	11,690	8,354	8,979	9,375	11,624	13,348	12,724	30,456	15,144	10,400	27,908	20,148	21,415	
Central African Republic	0	0	0			289	42	0	0	0	0	0	0	
Chile	10,857	15,619	434	4,194	11,648	2,258	1,123	7,494	1,523	1,377	1,799	1,436	2,181	
