List of importing markets for a product exported by Lebanon Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	889,286	1,045,481	1,523,920	1,744,957	1,879,013	2,282,514	2,816,321	3,478,305	3,484,155	4,254,185	4,266,856	4,446,163	3,937,066	
Afghanistan	66	98	27	383	490	8,197	5,868	4,728	5,281	2,571	5,489	962	789	
Albania	1,125	3,416	6,431	70	1,381	47	4,745	2,112	930	155	618	157	107	
Algeria	11,817	17,313	27,517	17,339	13,814	13,141	19,393	29,529	28,410	14,745	14,509	26,549	37,105	
Andorra	0	24	55	107	87	31	0	7	112	324	67	7	5	
Angola	2,394	4,454	7,577	11,121	17,411	13,518	24,546	36,185	36,918	37,625	49,306	54,660	52,800	
Anguilla	168	417	575	446	406	818	878	739	609	1,059	2,130	405	425	
Antigua and Barbuda	0	29	41	17	41	62	81	163	12	28	0	0	31	
Area Nes	990	2,218	8,331	4,748	9,970	12,045	3,541	26,493	4,499	3,055	4,684	6,259	6,425	
Argentina	114	1	121	194	166	260	316	418	417	466	1,003	236	2,748	
Armenia	309	489	641	800	2,087	3,496	4,589	4,408	2,566	2,729	2,538	1,609	1,455	
Aruba	48	15	19	22	9	11	0	51	0	4	27	73	13	
Australia	2,896	4,529	6,618	6,658	8,927	10,355	11,929	11,344	12,032	15,014	14,514	12,243	13,980	
Austria	451	295	425	415	410	665	781	996	730	741	1,513	4,465	2,678	
Azerbaijan	39	164	294	256	96	59	1,819	1,224	1,842	3,770	5,796	2,337	3,653	
Bahamas	0	1	0	0	0	647	710	66	69	222	21	0	0	
Bahrain	7,351	8,106	9,635	14,549	21,515	20,069	24,876	27,486	22,112	17,966	16,351	11,884	19,923	
Bangladesh	1,313	0	37	30	5,491	5,345	4,633	2,177	1,167	20,923	93,370	34,716	17,853	
Barbados	0	0	12	258	7	4	0	459	0	0	0	0	0	
Belarus	111	223	61	94	1,614	2,710	1,115	83	71	120	6	134	99	
Belgium	12,110	22,328	10,351	16,523	23,024	46,778	86,952	82,083	113,793	101,807	130,504	111,385	45,675	
Belize	0	1	0	1	0	0	8	0	1	0	0	21	0	
Benin	317	637	861	1,703	1,883	2,897	3,392	6,420	4,428	4,725	4,299	3,682	6,009	
Bermuda	0	0	5	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	76	40	88	0	117	46	73	
Bosnia and Herzegovina	12	22	100	52	33	1	130	48	9	50	27	262	22	
Botswana	0	0	0	0	0	0	2	0	66	0	0	0	35	
Brazil	2,156	6,679	7,534	9,556	5,787	6,318	13,710	61,810	1,354	2,149	2,554	11,212	26,670	
British Indian Ocean Territories	0	0	0	823	5	0	0	184	0	0	0	352	112	
British Virgin Islands	0	0	0	0	14	0	0	0	20	16	351	2,120	775	
Brunei Darussalam	0	69	8	193	111	95	258	148	134	174	131	135	79	
Bulgaria	1,425	721	2,535	979	600	391	5,445	18,882	8,439	8,775	8,391	11,629	10,794	
Burkina Faso	2,352	2,768	5,133	7,973	7,821	2,313	2,703	2,386	3,243	4,983	5,508	3,957	5,422	
Burundi	80	0	0	42	25	14	38	3	654	568	412	799	256	
