List of importing markets for a product exported by Libya (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	12,383,459	10,763,864	14,796,409	20,633,042	30,441,411	40,596,744	46,018,077	62,836,300	37,956,887	49,146,146	18,515,561	58,417,292	41,901,265	
Albania	0	671	4	0	526	0	1,166	398	1,868	0	1	0	89,368	
Algeria	3,246	1,768	2,247	3,779	2,704	209	774	747	788	25,633	7,801	88,540	316,585	
Antigua and Barbuda					0		0		2	0	0	0	0	
Argentina	5,508	22	0	0	0	7,926	5,457	17,569	0	8,697	0	0	11,703	
Armenia	0	0	0	0	0	0	0	11	0	0	0	0	0	
Australia	1	3	0	0	32,517	2	0	14	39,052	318,317	205,513	1,158,344	734,728	
Austria	247,291	156,567	193,327	284,703	139,251	586,874	966,561	661,002	488,663	991,002	405,473	816,482	618,209	
Azerbaijan	2	0	0	0	0	0	150	2,775	67	0	2	5		
Bahrain	0	4	1	1	0	1	14	13	38	3	0			
Bangladesh	1	0	0	0	4	0	1							
Barbados	0	3	0	1	0	0	0	0	0	0	0	0	0	
Belarus	40	26	505	3	0	877	0	0	0	0	21	0	0	
Belgium	27,132	58,731	60,639	81,115	59,104	122,413	184,385	48,702	73,457	60,334	94,631	69,634	58,923	
Benin	15	1	4	7	8	0	22	93	212	45	25	15	57	
Bolivia	0	2	0	0	1	0	0	0	0	0	0	0		
Bosnia and Herzegovina			0	29	31	110	873	1,445	215	0	93	39	151	
Botswana	0	0	0	0	0	0	0	0	0	169	10	0	0	
Brazil	8,196	1,792	26,002	56,693	34,486	288,401	995,008	1,401,242	835,075	100,863	749	0	229,585	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	329	1,069	64	110	141	933	4,194	11,482	7,917	3,180	1,369	2	6,554	
Burkina Faso	2,390	1,642	23	5	189		103	91	174	220	838	43		
Burundi	0	0	0	0	5	0	11	0	9	2	0	0	0	
Cabo Verde	1	0	27	0	31	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	8	0	0	4	0	0	0		
Cameroon	1,742	34	0	1,635	0	3	0	0	1,122	110	1	0		
Canada	1	17	6,372	65,659	76,197	59,322	0	15	4,134	23,907	5,149	5,845	78,205	
Central African Republic	0	0	0			0	0	0	1	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	54,201	1,218	40,946	416,758	941,719	1,693,946	1,547,495	2,588,993	3,173,884	4,515,615	2,063,575	6,375,902	2,019,914	
Colombia	0	0	9,123	7,222	4,767	3,944	0	8,698	5,468	6,171	0	9	6	
Comoros	1	0	0	0	0	0	0	16	3					
Congo							36	3,794	6	6	44	19	152	
Costa Rica	0	0	1	0	0	0	0	5	0	0	2	0	1	
Côte d'Ivoire	0	25,045	4,371	0	13	0	79	75	0	1,733	23	81		
Croatia	74,546	3,281	64,752	31,180	50,898	8,196	50,259	27,877	2,777	13,685	4,452	3,344	73,608	
Cuba	1	0	812	0	0	23								
Cyprus	1,337	613	1,086	0	2,535	3,981	11,217	15,118	6,290	17,364	2	70	4	
Czech Republic	97,597	52,647	50,959	67,437	110,620	91,617	26,400	33,262	13,045	8	145	78	39,873	
Denmark	5	7,664	30	42	12,638	1,004	26	17,427	2,116	57	392	159,903	134,452	
Djibouti									0					
Dominican Republic	0	3	0	0	0	104	152	28	1	85	6	2	11	
Ecuador	0	0	0	0	0	0	0	0	0	1	6	662	33	
Egypt	39,676	43,086	36,752	44,147	119,217	102,856	197,947	260,692	211,252	336,064	60,676	141,833	99,813	
El Salvador	0	0	4	0	91	0	0	0	0	0	0	0	0	
Eritrea			81											
Estonia	1	14	0	3	11	1	4	0	1,102	0	1	0	0	
Ethiopia	2	5,140	18	0	5	147	206	20,253	44,286	18,427	17,189	0		
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	0	1	4	1	15	1	1	22,696	2	17	0	1,879	1	
France	670,763	386,063	855,065	1,298,280	1,976,762	2,391,123	2,971,295	5,052,487	3,135,759	6,263,209	2,779,306	5,520,734	4,262,902	
French Polynesia	0	0	1	0	0	0	0	0	0	0	0	2	0	
Gabon	0	0	0	0	0	0	0	40	2					
Gambia	0	0	0	0	0	0	0	0	0	23	0			
Georgia	0	2	3	0	0	0	0	7	0	0	113	433	41	
Germany	1,922,540	1,528,472	2,056,600	3,527,393	4,924,337	6,211,823	5,793,746	8,174,340	3,949,039	4,111,073	2,769,199	7,045,304	6,182,660	
Ghana	0		1		152	37	16	31	53	3,391	42	433		
Greece	273,057	228,472	369,558	360,837	765,788	1,035,573	1,370,866	2,432,084	1,084,751	1,854,065	440,399	2,173,302	1,529,976	
Guatemala	0	299	0	0	0	1,927	0	0	0	74	0	0	0	
Guinea	1	0		0	1	6	0	0		1	5	21		
Guyana	0	0	4	0	0	0	0	0	0	0	0	0	0	
Honduras	0	1,710	0	47	95	0	0	0	0	0	1	1	4	
Hong Kong, China	0	1	30	133	163	77	0	146	139	203	510	167		
Hungary	241	212	548	0	0	0	3	0	110	3	68	3	34	
Iceland	0	0	0	0	0	0	0	0	0	926	0	2	0	
India	9,754	2,976	9,955	9,982	8,338	75,204	1,059,974	756,888	534,089	780,703	355,165	1,265,224	952,519	
Indonesia	3,526	30	55,458	12,479	74,111	422,656	643,226	339,624	103,033	273	0	511,267	375,656	
Iran (Islamic Republic of)	0	0	0	18	17,342	0				0	0			
Ireland	0	4	65	26,719	2	6	153,448	231,641	358,520	450,989	129,481	211,319	218,286	
Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	
Italy	4,893,634	4,633,512	5,909,609	7,844,483	11,162,699	13,504,436	16,426,014	21,320,646	14,289,797	16,283,297	5,385,125	16,546,075	10,681,845	
Japan	4,727	6,281	5,048	7,528	9,524	41,482	4,100	8,161	1,767	1,395	422	247,036	416,424	
Jordan	803	3,407	379	1,871		473	897	2,232	1,347	1,070	531	6,454	1,342	
Kazakhstan	2	0	0	0	0	0	10	0	1	0	15	0	21	
Kenya	1	2	12	60	0	1,388	55	108	0	25	0			
Korea, Republic of	4,962	17,879	3,959	10,256	2,775	1,914	6,329	11,651	2,907	170,774	248,832	751,939	479,593	
Kuwait	2	7	5	13		8	41	228,516						
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	20		
Latvia	0	0	0	0	0	0	0	0	0	7	0	0	0	
Lebanon	14,531	9,895	23,571	21,372	32,900	26,946	39,215	37,990	26,110	51,730	27,550	63,279	54,188	
Lithuania	157	63	19	0	0	0	0	1	0	0	14	0	0	
Luxembourg	14	4	0	0	0	0	0	0	0	33	0	1	0	
Macao, China	0	0	3	0	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	39	0	0	0	45	237	594		562	2,731	1	1	0	
Madagascar	0	0	0	0	0	0	0	332	9	97	5	43	34	
Malawi	0	0	1	0	64	51	5,030	36	0	0	0	3	0	
Malaysia	1,295	0	870	11,650	11,225	11	24,075	6,838	23,449	271,343	3	620,430	223,348	
Maldives	0	0	0	0	0	3	0	0	0	0	0	0	0	
Mali	32	548	288	19	21	1,753	113	8		877	0	11		
Malta	44,267	18,855	3,244	10,135	2,956	4,448	13,358	70,419	2,131	9,554	2,946	27,956	27,582	
Mauritania	0	0	0	0	0		4	0	76	58	83	83		
Mauritius	0	0	0	0	12	0	0	0	1	0	51	13	0	
Mayotte	1	1	5	13	7	11	0	0	0					
Mexico	6,584	14	12,573	6,767	2	1,109	66	10,794	5,025	25,609	71	77	19	
Montenegro						0	0	1	0	0	0	0	0	
Morocco	68,828	83,142	60,558	46,431	71,014	94,410	97,203	89,263	47,298	44,174	13,614	23,502	15,616	
Mozambique	456	8	0	52	2	0	0	0	494	0	1	0	7	
Namibia	0	0	0	47	14	0	0	1	0	0	0	228	0	
Nepal			0						0	3	3,852			
Netherland Antilles					0	0	1	0						
Netherlands	51,288	77,971	79,060	79,808	401,814	936,079	938,333	1,253,811	551,369	1,071,404	497,133	2,018,612	2,116,331	
New Caledonia	0	0	1	0	0	1	0	0	5	0	0	0	0	
New Zealand	0	0	0	0	32,449	0	0	57	1	0	0	0	0	
Nicaragua	2,531	0	3	0	0	0	0	0	0	1	0	0	0	
Niger	1,665	500	1,130	379	796	214	191	25	2,421	154	26	252	2,692	
Nigeria	1,643	88	0			17,749	118	80	1,156	37	167	9		
Norway	0	3	5	0	2	20	12,874	861	20,488	97	6	2	50,057	
Oman	1	1	5,513	0	4	2	1,303	5	6	3	0	4	10	
Pakistan			65	433	1,101	1,990	783	707	229	1	55	1	144	
Palestine, State of							0	0	0	0	0	0		
Panama	0	0	0		0	0	0	0	0	0	0			
Papua New Guinea	3	6	0	1							0	0		
Paraguay	0	0	0	0	0	0	3	3	0	0	9	0	3	
Peru	0	0	0	0	0	0	0	0	7	0	0	400		
Philippines	1,489	46	172	281	15	21	0	0	3	0	48	0	21	
Poland	4,174	2,057	1,901	1,113	5,031	7,217	18,935	7,418	570	269	1,857	217	20,114	
Portugal	62,384	56,050	407,935	442,053	375,495	579,205	1,085,041	1,457,480	464,344	977,343	18,992	513,209	138,515	
Qatar	92	2,664	0	5,153	2	8,107	235	53	326	99	172	32	26	
Republic of Moldova	0	0	0	0	1	15	0	0	0	0	0	0	75	
Romania	0	0	0	3	67	6,921	73,929	109,309	63,383	45,899	30,630	0	1,648	
Russian Federation	0	6	6	341	4	475	37	2,747	1,521	150	16,631	0	0	
Rwanda	26	0	0	1	0	18	0	0	41	0	0	0	0	
Samoa	2	0	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	37	13	0	0	135	0	15	0	0	0	
Saudi Arabia	591	310	298	316	6,671	908	414	217	1,144	842	0	0		
Senegal	5	16,017	7,596	322	2,264	1,792	184	6,758	262	2	27	1	1	
Serbia					104	681	2,113	205,862	118,333	149,199	57,743	3	0	
Serbia and Montenegro	131	86		3										
Seychelles	0	0	0		0	0		0						
Singapore	2,271	5,098	19,509	14	19	63	23,413	325	78,197	27,986	74	159,177	76,781	
Slovakia	0	3	0	0	0	1	1,194	99	1	2	1	0	0	
Slovenia	1,706	222	796	420	1,049	1,313	22,676	127,975	59,947	34,754	263	105	13,340	
South Africa	0	0	7	78	4	357,610	58,561	345	610	21	9	100	62	
Spain	1,841,454	1,544,214	2,048,028	2,520,689	2,991,052	3,756,844	3,559,058	4,640,771	2,993,124	4,443,184	1,024,027	4,299,223	2,556,537	
Sri Lanka	0	0	0	0	0	369	0	400	4	2	0	0		
Sudan (North + South)	1,905	5,196	6,368	43	9,730	1,032		1,494	344	16,140	172			
Suriname	0			0	0	0	0		0	0	0			
Sweden	419	21,149	7,838	131	24,313	20,563	22,274	103,053	127,844	117,276	42,290	3,089	85,232	
Switzerland	462,959	423,300	562,143	639,148	1,084,550	1,338,719	1,385,260	3,089,180	660,626	466,064	153,221	1,418,142	1,436,957	
Syrian Arab Republic	12,041	15,440	12,498	39,966	28,168	39,711	116,812	119,604	98,297	80,728				
Taipei, Chinese	2,073	14,845	1	219	0	4,296	0	3	6	51,843	26,816	82,922	130,404	
Tanzania, United Republic of	0	4	0	0	0	6,439	42	414	0	4	0	928	14	
Thailand	4,466	1,752	15,312	5	7	614	22,880	16,344	8,419	30,306	122,269	19,539	72,067	
Togo	3	2,078	604	7	10		7	1	202	2	0	0	2,072	
Trinidad and Tobago	0	9	0	0	0	0	0	38	0	0				
Tunisia	324,213	287,755	357,824	423,158	510,022	726,410	646,252	1,073,689	560,584	283,749	22,383	315,413	409,024	
Turkey	847,847	754,042	1,072,548	1,514,125	1,989,269	2,297,351	399,720	336,325	402,568	425,652	139,763	416,158	303,957	
Uganda	0	0	6	18	51	120	338	457	2	14	13	264	77	
Ukraine	261	26	57	0	1,109	506	191	85	311	328	212	3,456	200	
United Arab Emirates					65,774		333,984	260,847						
United Kingdom	270,122	247,843	323,558	360,851	605,360	1,058,672	1,148,372	1,750,512	1,279,392	1,938,514	668,516	2,707,679	1,928,739	
United States of America	0	0	0	345,890	1,657,015	2,629,365	3,540,204	4,349,963	1,981,282	2,186,740	666,399	2,554,198	2,622,122	
Uruguay	0	0	0	0	0	0	0	0	0	27,804	1	0	0	
