List of importing markets for a product exported by Lithuania Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	4,583,050	5,475,632	7,162,433	9,302,609	12,070,444	14,135,190	17,162,396	23,769,895	16,496,339	20,813,923	28,068,648	29,652,662	32,611,866	
Afghanistan	0	177	79	252	10,716	3,517	7,610	9,492	5,165	2,642	4,308	14,722	39,973	
Africa not elsewhere specified	0	0	0	0	0	0	138	0	0	0	0	0	0	
Albania	8	32	1,025	1	4	23	25	59	117	418	843	1,266	2,738	
Algeria	3,373	1,911	1,682	994	580	206	14,749	76,080	14,083	580	2,138	974	134,114	
Andorra	0	0	0	2	0	0	1	1	0	0	0	8	150	
Angola	117	187	898	781	415	359	383	548	1,604	773	34,891	3,487	2,007	
Anguilla	0	0	0	0	0	288	0	0	0	0	14	0	0	
Antigua and Barbuda	345	7	603	8,443	12,812	4,027	4,293	127	74	60	7	89	160	
Area Nes	3,340	4,789	6,794	7,638	4,939	0	0	0	0	0	441,584	83,670	22,914	
Argentina	78	15	1	71	125	110	12,343	28,954	960	11,004	7,987	35,319	16,876	
Armenia	4,612	2,791	819	713	1,755	1,337	1,360	1,579	2,457	5,387	6,213	7,178	10,248	
Aruba	40	0	0	0	13	0	8	0	0	0	0	0	0	
Australia	628	1,595	4,089	4,766	7,114	4,842	4,111	20,459	12,020	13,850	16,552	19,545	23,892	
Austria	12,151	11,408	22,315	28,342	27,639	39,328	73,164	71,424	61,524	70,450	80,560	82,002	108,092	
Azerbaijan	783	1,692	2,547	6,999	8,128	8,757	12,232	22,034	24,590	43,274	32,335	45,135	37,164	
Bahamas	159	19	8	3,496	7,675	448	43	26,866	376	136	1,136	235	404	
Bahrain	42	83	42	97	164	267	360	608	473	327	238	359	358	
Bangladesh	451	675	2,448	576	1,423	3,925	478	780	3,232	5,635	6,971	6,425	5,434	
Barbados	1	0	0	0	2,552	14	12	16	83	46	0	33	85	
Belarus	178,624	173,399	226,869	296,817	406,672	536,371	689,576	1,059,701	779,235	1,088,791	1,459,398	1,358,867	1,693,662	
Belgium	74,880	104,726	154,077	259,015	229,658	174,923	288,876	389,210	281,994	323,516	316,498	313,864	402,287	
Belize	35	494	737	76	9,671	3,418	7,206	4,959	502	447	1,499	407	422	
Benin	68	79	350	122	149	459	951	1,201	1,337	1,765	2,931	5,287	9,331	
Bermuda	0	0	0	1	0	3	0	0	5	43	0	0	40	
Bolivia	147	9	18	15	3	24	58	300	256	218	217	437	112	
Bosnia and Herzegovina	307	620	1,580	998	1,187	861	1,047	1,015	1,035	2,263	2,015	2,227	2,891	
Botswana	0	0	0	0	0	0	0	0	0	3	0	72	5	
Brazil	135	273	143	244	557	3,013	3,182	39,685	2,660	4,656	3,317	18,737	18,020	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	54	0	0	0	0	
British Virgin Islands	762	1,264	2	423	1,090	2,600	1,911	7,189	419	424	636	9,699	12	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	2	0	53	174	
Bulgaria	3,037	4,842	14,431	14,749	14,037	30,915	26,518	40,115	24,331	43,844	55,300	61,449	69,202	
Burkina Faso	13	33	63	432	502	475	70	0	126	72	231	215	1,040	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	2	0	116	49	18	34	16	34	
Cambodia	10	0	2	1	11	52	8	1	0	12	3	197	1,322	
Cameroon	17	88	251	616	364	8,402	4,324	1,101	1,839	3,241	2,930	767	931	
Canada	15,689	28,915	30,197	85,267	338,330	278,124	75,996	297,084	85,885	353,651	319,408	80,163	73,165	
Cayman Islands	18	6	8	18	1	7	17,351	0	0	0	0	1,752	12	
