List of importing markets for a product exported by Lithuania (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	4,068,918	4,764,945	6,384,526	8,111,587	9,774,766	11,108,646	13,521,645	19,172,525	13,136,581	16,285,412	22,475,245	22,774,097	22,720,194	
Albania	15	24	38	7	99	53	102	472	337	747	1,187	1,607	2,380	
Algeria	5,236	5,557	6,198	3,583	7,429	6,511	31,802	69,797	47,904	45,583	16,863	47,149	203,512	
Andorra	34	43	35	60										
Argentina	118	7,117	23	91	5,736	3,298	15,148	35,200	1,098	23,121	10,426	50,667	17,235	
Armenia	336	4,311	1,174	899	989	476	1,318	874	974	2,074	2,171	1,894	1,885	
Australia	1,451	2,879	5,524	8,621	11,897	24,426	26,532	26,399	20,410	16,976	44,067	53,635	47,314	
Austria	25,468	26,058	36,157	41,383	45,282	54,418	72,689	84,756	59,808	65,668	78,619	74,506	89,659	
Azerbaijan	1,182	736	1,524	2,339	2,035	3,966	11,829	20,961	13,659	26,196	20,018	21,322		
Bahrain	39	29	68	27	96	250	1	992	233	448	937			
Bangladesh	0	44	648	45	25	920	87							
Barbados	0	4	33	4	0	0	8	47	146	328	326	303	269	
Belarus	107,346	109,357	154,243	175,591	134,576	170,299	180,124	233,605	195,164	247,794	295,516	370,492	438,687	
Belgium	100,683	105,372	161,175	279,314	169,216	174,430	280,153	317,400	287,450	323,038	391,777	396,136	450,676	
Belize	0	0	27	0	0	0	0	2	21	86	489	1,126	866	
Benin	0	0	0	178	192	167	631	637	296	88	541	1,225	1,008	
Bermuda												0	3	
Bolivia	31	13	6	8	7	15	27	44	23	95	67	154		
Bosnia and Herzegovina			930	1,536	1,173	840	828	1,650	1,464	1,788	2,274	3,362	3,406	
Botswana	0	0	0	0	0	0	0	2,341	1	6	3	169	2	
Brazil	413	2,614	2,042	467	5,174	989	1,789	56,450	3,300	60,435	9,308	27,154	33,467	
Bulgaria	2,745	5,504	13,130	12,169	13,253	15,581	27,494	35,578	25,959	38,248	57,250	60,250	53,858	
Burkina Faso	0	0	0	0	0		18	5,063	95	3	11,794	35		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	2	
Cabo Verde	0	0	0	0	0	0	0		6	0	13	30	61	
Cambodia	0	0	0	0	0	9	0	0	0	8	0	502		
Cameroon	141	264	7,517	2,042	243	2,967	3,291	4,826	1,253	3,755	3,321	550		
Canada	21,660	14,992	44,172	118,956	422,109	410,063	142,678	313,572	135,720	390,199	609,663	184,865	184,232	
Central African Republic	0	0	0			0	36	0	0	0	32	0	0	
Chile	268	281	416	235	725	1,565	3,068	5,134	2,493	3,057	2,874	3,242	4,836	
China	4,435	11,805	17,263	13,523	11,478	15,600	19,691	29,130	38,113	42,148	87,607	89,497	124,278	
Colombia	2,044	5,405	4,550	1,153	755	4,168	25,501	29,411	19,583	54,995	79,720	53,152	22,362	
Congo							208	137	3,168	3,032	190	128	1,906	
Costa Rica	5	8	40	35	49	69	2,303	3,064	118	239	7,343	16,392	846	
Côte d'Ivoire	0	0	0	328	216	274	4,319	7,101	1,719	6,448	181	6,927		
Croatia	939	2,333	3,863	9,596	10,581	11,702	15,170	14,890	12,841	16,617	24,480	21,296	13,340	
Cuba	1,297	132	14	13	27	1,390								
Cyprus	402	606	923	1,203	1,865	2,913	5,123	3,094	2,974	2,378	2,229	1,732	2,784	
Czech Republic	19,833	30,136	32,978	47,168	54,409	97,158	141,198	139,269	106,016	118,532	162,141	183,225	234,051	
Denmark	225,268	253,386	319,032	364,516	333,384	374,747	463,039	794,317	519,183	518,620	519,732	558,532	557,690	
Djibouti									9					
Dominica	0	0	0	0	0	0	0	0	0	34	0	0		
Dominican Republic	0	0	10	1	0	0	0	289	568	1,175	2,970	3,613	4,606	
Ecuador	2,337	1,598	74	11,824	154	11,570	18,029	30,470	19,955	25,154	14,665	3,817	3,189	
Egypt	1,282	937	910	2,065	3,856	790	3,483	5,170	22,051	31,023	54,165	88,734	176,435	
El Salvador	0	10	8	2	4	39	120	7,673	4,812	17	3,470	3,708	1,646	
Eritrea			53											
Estonia	108,491	149,622	210,518	352,652	498,706	729,585	868,910	1,098,987	920,938	789,924	1,168,293	1,151,453	1,269,656	
Ethiopia	0	0	0	0	0	0	30,595	22,793	23,904	1,126	18,675	21,057		
Faroe Islands	602	913	1,266	873	1,114	3,560	4,585	6,694	4,945					
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	52,421	57,728	80,587	73,143	101,900	109,360	196,835	293,756	230,043	270,547	356,724	317,739	405,067	
France	331,081	354,181	503,321	776,974	844,830	583,892	766,245	1,610,554	676,837	790,429	1,535,381	1,599,623	987,995	
French Polynesia	14	7	30	10	21	39	76	64	82	56	76	87	195	
Gabon	2	0	0	0	79	22	367	108	86					
Gambia	0	0	0	0	0	0	0	0	0	21	49			
Georgia	4,511	1,252	1,820	4,552	5,004	9,321	15,804	25,680	17,735	26,126	39,483	50,894	36,915	
Germany	637,061	654,541	830,344	890,179	911,430	1,055,030	1,562,621	1,780,611	1,627,422	1,955,115	2,355,506	2,311,198	2,309,130	
Ghana	0		18		1	2,965	3,371	12,252	6,590	7,430	27,370	20,925		
Greece	4,078	2,277	3,611	4,194	9,066	13,251	17,517	18,705	19,779	33,437	27,867	30,655	30,403	
Greenland	0	0	297	0	0	513	25	372	569	389	495	543	525	
Grenada	0	0	0	32	63	0	0	0						
Guatemala	223	13,600	0	0	488	10	2,837	55	14,560	4,684	22,078	466	888	
Guinea	0	0		0	0	0	23	56		0	0	64		
Guyana	0	0	0	0	0	0	0	0	0	379	63	370	13	
Honduras	0	2	0	26	28	0	17	52	106	20	3,085	25	33	
Hong Kong, China	1,596	7,302	1,627	2,512	5,722	7,043	12,935	13,478	14,425	18,835	39,760	46,006		
Hungary	12,930	24,112	48,014	44,811	38,871	44,317	62,587	61,048	56,689	66,725	95,793	114,944	186,200	
Iceland	7,190	6,840	13,895	29,047	75,036	109,548	81,665	73,132	16,086	18,213	21,644	23,144	26,149	
India	963	5,184	10,020	17,655	27,377	21,419	9,033	520,062	147,211	125,639	208,087	46,084	38,250	
Indonesia	1,372	5,614	5,785	142	333	4,859	1,956	5,716	4,374	19,414	26,771	18,002	6,308	
Iran (Islamic Republic of)	5,438	7,451	11,623	819	6,538	6,996				1,103	705			
Ireland	21,211	27,594	26,778	34,953	27,579	36,362	52,748	53,545	44,385	56,178	83,834	99,102	102,370	
Israel	3,857	3,298	3,641	3,133	9,612	15,079	21,695	24,473	13,719	22,052	33,338	34,983	32,806	
Italy	101,932	109,990	157,674	191,002	198,278	267,171	371,865	375,668	308,052	371,697	481,496	470,354	515,215	
Jamaica	432	271	193	10	3	91	22	64	12	41	50	92		
Japan	22,661	17,669	22,547	19,326	19,471	20,185	21,905	29,488	29,247	28,742	51,850	190,875	116,916	
Jordan	195	94	94	19		98	237	391	1,108	726	450	1,297	1,495	
Kazakhstan	8,129	8,690	12,995	19,573	27,974	44,142	67,593	118,474	107,515	109,223	99,978	133,900	169,027	
Kenya	0	0	1,024	18	11	8,456	677	14	15,998	4,661	11,103			
Kiribati					0		0	0	0	42	0	0		
Korea, Republic of	7,369	19,621	19,760	18,996	5,329	8,707	10,087	12,774	12,285	19,854	24,727	31,504	41,411	
Kuwait	1,677	2,777	3,378	4,172		3,632	11,050	4,158						
Kyrgyzstan	688	269	476	775	1,534	2,299	3,540	2,650	5,986	4,373	10,063	9,327		
Latvia	296,637	399,065	508,021	871,964	1,180,890	1,482,884	2,112,279	2,602,018	1,587,850	1,899,966	2,897,798	3,194,592	3,373,456	
Lebanon	828	869	1,375	1,271	1,395	1,096	1,160	1,423	1,674	2,464	4,042	3,256	3,763	
Libya							152	6,116	17,160	11,871				
Luxembourg	480	1,486	2,071	1,883	1,394	2,620	23,489	38,492	1,860	1,203	3,710	3,257	6,042	
Macao, China	0	0	2	47	47	14	24	34	1	2		1		
Macedonia, The Former Yugoslav Republic of	951	205	9	1,261	417	652	1,280		21,484	3,267	2,313	1,858	1,148	
Madagascar	0	0	0	0	0	1	95	37	0	127	591	667	742	
Malawi	15	0	254	0	1,988	0	0	0	0	5,636	108	2,567	3,479	
Malaysia	538	4,859	4,783	7,479	9,900	17,062	20,550	25,108	18,573	16,466	22,516	82,433	48,486	
Maldives	0	0	0	0	0	0	0	0	0	76	55	34	29	
Mali	0	8	192	296	0	238	8,112	26,613		33	1,010	2,740		
Malta	121	197	314	427	1,529	2,871	1,717	674	695	556	302	570	623	
Mauritania	0	0	0	0	0		0	0	0	136	57	392		
Mauritius	1	1	6	63	79	167	81	70	415	2,852	5,390	4,279	4,847	
Mayotte	0	0	0	0	211	0	117	153	1					
