List of importing markets for a product exported by Luxembourg Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	8,259,975	8,592,956	9,987,082	12,167,836	12,714,922	14,183,096	16,197,287	17,380,797	12,542,133	13,911,259	16,307,879	13,747,546	13,800,394	
Afghanistan	6	130	21	68	504	137	561	103	861	2,345	210	564	399	
Africa not elsewhere specified	4	36	27	24	0	0	0	0	62	0	0	87	0	
Albania	691	390	428	988	1,206	701	1,996	656	496	375	236	136	37	
Algeria	5,056	4,427	9,771	26,297	25,838	11,763	17,367	27,339	29,213	33,252	26,939	30,561	32,477	
Andorra	993	1,204	988	1,350	1,351	1,061	788	184	636	868	3,290	2,363	1,661	
Angola	714	1,336	1,000	2,420	514	357	598	10,479	11,089	2,118	2,944	5,483	4,875	
Anguilla	0	0	0	0	0	0	0	0	2	0	0	0	0	
Antigua and Barbuda	0	9	0	0	404	0	0	0	0	12	1	0	0	
Area Nes	9,771	33,944	59,553	25,743	0	4,293	4,844	6,915	4,680	248	0	101	771	
Argentina	3,146	793	2,617	7,774	3,678	11,933	4,468	6,378	4,967	3,234	12,201	8,837	6,904	
Armenia	17	24	14	424	859	680	805	156	2,673	53	54	103	154	
Aruba	27	10	11	663	50	4	8	0	55	26	39	15	1	
Australia	16,128	12,485	15,631	18,851	22,513	30,271	34,743	44,326	35,324	28,653	38,748	38,708	51,418	
Austria	95,799	108,232	159,327	293,277	356,373	407,681	260,915	267,418	176,516	176,686	229,763	180,745	214,722	
Azerbaijan	1,665	1,510	1,467	4,586	4,917	3,900	1,882	1,522	3,231	88,822	116,604	97,024	23,208	
Bahamas	34	157	157	1	3	3,423	1	1	1	10	1	0	5	
Bahrain	740	351	969	4,206	20,256	4,157	3,388	1,131	1,166	853	725	3,077	2,560	
Bangladesh	417	163	603	279	229	1,598	336	935	2,850	1,070	2,639	3,055	6,881	
Barbados	160	745	944	1,724	2,756	877	133	262	142	274	17	478	298	
Belarus	2,972	3,726	2,295	1,718	2,641	2,162	1,706	1,361	2,932	2,943	5,123	3,456	22,785	
Belgium	991,117	1,036,611	1,238,593	1,458,095	1,446,885	1,739,515	2,022,681	2,269,793	1,697,846	1,752,958	2,024,079	1,774,512	1,821,043	
Belize	0	0	0	0	690	252	0	0	0	239	63	0	0	
Benin	402	367	148	242	12	72	976	404	421	255	296	593	159	
Bermuda	11	17	15	62	70	74	2	1	448	111	7	2	11	
Bhutan	18	0	0	6	2	1	2	0	0	0	30	37	0	
Bolivia	10	16	14	9	15	397	26	21	64	95	153	88	217	
Bosnia and Herzegovina	1,012	1,250	1,152	1,258	1,550	1,517	1,313	1,869	1,424	2,083	729	1,223	871	
Botswana	0	19	22	101	38	3	6	9	26	0	4	2	188	
Brazil	22,179	8,749	7,674	31,514	48,760	35,211	43,867	32,201	21,975	44,416	42,341	42,710	58,834	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	62	7	0	0	0	31	0	94	37,201	0	20	0	0	
Brunei Darussalam	55	856	38	0	115	201	498	335	363	310	944	3,314	1,125	
Bulgaria	4,693	8,128	5,113	5,854	4,195	8,506	19,027	24,933	9,708	12,653	15,517	16,310	25,225	
Burkina Faso	228	167	110	283	247	167	511	217	415	600	767	1,505	8,431	
Burundi	153	153	72	184	234	146	68	6	63	54	8	49	120	
Cabo Verde	1,556	1,471	1,520	217	313	76	108	45	108	326	45	80	371	
Cambodia	1,313	1,886	2,976	4,437	4,276	5,095	6,136	8,564	5,705	8,083	202	1,181	862	
Cameroon	1,442	1,043	839	937	737	577	1,060	2,310	2,215	1,442	1,524	2,325	4,670	
Canada	46,681	43,187	33,798	58,451	68,009	75,481	84,476	79,620	74,973	81,243	115,065	98,843	90,621	
Cayman Islands	6	96	1	39	0	27,939	0	0	0	0	0	0	0	
Central African Republic	27	93	7	34	48	41	8	2	64	5	8	44	98	
Chad	51	209	137	0	11	11	232	65	33	1	5	239	81	
Chile	4,922	11,636	11,075	13,095	12,830	10,276	6,158	9,383	4,962	9,169	20,035	25,833	10,974	
China	50,890	53,955	143,327	119,696	165,534	267,452	252,329	221,035	180,398	176,231	234,379	251,497	215,448	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	19	0	0	0	0	0	0	
Colombia	1,756	1,372	984	1,018	2,313	1,390	1,265	4,313	10,991	6,222	5,523	4,535	7,593	
Comoros	67	226	302	307	0	0	56	0	0	3	14	0	0	
Congo	424	441	1,419	901	1,423	1,426	1,776	1,109	932	1,040	129	1,418	2,100	
Cook Islands	0	0	0	27	0	0	0	0	0	0	0	0	0	
Costa Rica	201	392	155	474	1,155	1,921	3,957	96	201	220	444	23	122	
Côte d'Ivoire	10,734	10,426	7,805	7,956	6,054	6,159	5,583	3,850	5,212	3,308	3,713	4,121	2,873	
Croatia	5,102	4,455	5,363	5,440	5,388	5,532	6,270	9,438	6,728	5,613	5,078	4,136	3,082	
Cuba	310	2,664	84	190	358	241	788	1,825	388	111	84	283	85	
Cyprus	1,630	1,215	1,040	3,631	6,875	37,926	12,957	10,556	9,121	9,742	25,205	34,592	22,063	
Czech Republic	54,890	74,930	86,243	99,159	92,492	126,734	169,622	179,708	100,797	117,877	151,202	142,272	142,450	
Democratic Republic of the Congo	577	779	836	1,079	1,421	1,375	1,545	1,422	329	534	1,408	568	3,111	
Denmark	46,859	50,133	52,332	81,511	134,093	149,693	161,695	172,831	103,968	88,449	127,611	116,799	100,316	
