List of importing markets for a product exported by Luxembourg (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	7,290,228	8,212,298	11,332,594	14,706,064	15,769,806	18,643,034	21,305,843	24,149,906	16,459,088	17,253,774	20,147,952	17,530,568	17,627,277	
Afghanistan								0	0	0	50	0		
Albania	116	355	223	744	1,076	949	3,381	615	364	450	231	235	464	
Algeria	8,388	7,360	11,128	8,716	22,723	10,907	22,556	33,004	26,992	25,271	19,529	15,094	22,060	
Andorra	715	854	674	1,158										
Antigua and Barbuda					0		0		0	15	0	180	285	
Argentina	6,368	3,939	4,076	7,588	4,691	10,913	7,487	9,695	7,809	4,656	13,913	12,850	9,538	
Armenia	6,626	10,691	27,681	41,199	24,213	1,491	519	216	418	493	480	575	531	
Aruba					7				0	0	0	0		
Australia	0	0	995	1,586	1,949	9,794	19,252	19,384	26,549	24,653	25,550	29,545	43,526	
Austria	99,473	101,875	126,798	185,229	250,971	228,412	284,056	257,675	286,964	372,888	530,829	449,448	392,069	
Azerbaijan	184	549	1,427	2,394	1,272	1,576	1,584	1,458	2,644	9,894	27,756	14,444		
Bahamas	16	0	3	0	0	0	0	0	0	12	11	37		
Bahrain	1,010	1,251	1,107	3,278	2,416	2,809	2,301	6,251	1,594	1,124	1,219			
Bangladesh	198	27	2	0	140	270	648							
Barbados	33	30	49	342	495	296	64	30	2	5	23	32	35	
Belarus	1,374	851	778	1,203	2,693	2,263	8,526	5,980	3,927	7,725	13,870	10,741	29,352	
Belgium	1,052,418	1,212,386	1,530,284	2,102,358	2,092,681	2,144,631	2,810,959	3,122,643	2,595,544	2,761,377	3,160,655	3,067,552	3,311,240	
Belize	5	0	0	0	0	0	0	0	0	0	0	0	109	
Benin	215	185	1	23	141	21	25	92	4,895	253	4,620	7,265	4,066	
Bermuda												1	3	
Bhutan					0	0	0	0	0	0	0			
Bolivia	0	0	0	1	42	451	35	42	9	13	72	72		
Bosnia and Herzegovina			2,643	2,751	2,141	4,542	4,008	3,326	6,525	6,178	4,674	5,091	3,907	
Botswana	0	0	0	32	96	33	160	11	28	271	21	4	1	
Brazil	31,096	18,524	10,635	19,711	41,311	39,622	48,264	45,367	27,411	302,249	52,782	49,675	88,706	
Brunei Darussalam	26	196	0	0		48				398	4	25	666	
Bulgaria	3,672	3,176	4,564	5,377	6,512	9,271	26,845	27,207	19,325	17,515	20,121	26,727	63,037	
Burkina Faso	0	0	0	0	0		159	66	697	592	723	2,648		
Burundi	72	1	0	50	8	52	0	0	0	4	4	17	76	
Cabo Verde	1,201	1,630	1,102	1,033	1,230	991	901		1,603	2,094	35	103	121	
Cambodia	1,834	3,845	5,698	5,874	6,229	5,888	6,969	8,326	4,818	7,614	10,005	8,300		
Cameroon	0	0	0	0	0	0	1,262	2,583	2,630	898	16,216	1,188		
Canada	48,926	52,846	42,594	58,925	73,191	84,304	100,012	91,560	121,585	92,689	115,881	147,371	155,278	
Central African Republic	0	0	0			0	0	0	10	82	1	12	0	
Chile	6,525	12,963	13,023	13,844	14,407	11,849	7,818	11,379	9,027	13,458	18,794	27,307	17,504	
China	57,999	49,984	115,584	129,083	150,767	169,343	251,751	293,989	204,684	257,868	309,228	262,580	256,628	
Colombia	1,284	718	1,299	823	2,803	1,996	3,075	4,597	2,614	6,233	4,375	7,402	9,680	
Comoros	0	0	0	0	0	0	0	0	47					
Congo							4,234	261	749	812	4,129	589	790	
Costa Rica	0	0	0	0	39	0	0	2,555	848	624	776	9,347	1,113	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	3,419		
Croatia	4,213	5,000	8,724	11,368	8,979	10,836	12,656	18,597	13,877	12,361	13,029	10,183	17,675	
Cuba	132	1,478	1,271	8	157	10								
Cyprus	375	554	1,380	2,268	2,951	3,201	4,848	5,602	4,038	6,040	2,393	8,248	4,207	
Czech Republic	59,025	79,284	91,889	144,118	189,218	223,990	261,816	301,261	156,703	215,012	324,978	293,074	320,197	
Denmark	55,093	62,672	130,435	201,965	277,400	324,840	332,399	365,612	236,520	134,959	172,466	146,401	170,475	
Dominica	0	0	0	0	0	0	0	1	0	30	0	0		
Dominican Republic	0	346	109	62	1,462	101	700	693	21	68	202	1,162	645	
Ecuador	0	100	5,503	11,010	78	30	47	2,092	4,338	3,417	5,619	8,433	17,260	
Egypt	174	77	147	158	233	133	208	4,631	1,460	4,588	24,090	5,272	7,631	
El Salvador	480	246	1,920	6	842	2,312	1,653	662	2,415	17	3,502	24	393	
Estonia	2,288	1,408	2,697	6,296	6,990	9,797	14,444	22,017	16,500	7,175	10,759	9,610	9,678	
Ethiopia	0	7	9	1	0	13	592	1,604	11,037	467	194	71		
Faroe Islands	12	30	57	97	214	647	179	31	20					
Fiji		0	0	0	0	0	0	40	0	0	0	23		
Finland	38,158	33,930	43,201	49,670	54,393	62,933	68,318	82,662	127,068	90,060	93,268	66,131	70,340	
France	1,207,699	1,250,134	1,523,426	2,029,059	1,918,033	2,049,412	2,456,698	2,751,473	1,874,644	1,983,275	2,239,963	1,835,622	1,754,621	
French Polynesia	650	452	991	1,471	2,683	797	873	1,195	484	1,174	1,169	229	157	
Gabon	0	0	0	0	41	96	616	1,441	2,292					
Gambia	0	0	0	0	0	0	0	0	0	0	2			
Georgia	147	232	408	470	939	935	2,955	3,008	3,161	5,543	8,633	8,168	3,488	
Germany	1,570,194	1,718,330	2,196,910	2,733,359	3,198,689	3,611,423	4,457,543	5,076,837	3,979,097	3,944,901	4,127,425	3,693,188	3,925,389	
Ghana	368		2,032		4,145	365	871	4,512	789	1,196	19,363	3,388		
Greece	20,780	30,331	155,407	242,745	324,310	376,141	383,319	432,990	237,869	208,263	140,753	152,974	116,709	
Greenland	0	0	1	0	0	20	0	8	12	10	17	80	21	
Grenada	10	17	0	19	1,159	53	25	299						
Guatemala	273	735	0	0	194	0	103	284	301	554	1,155	495	5,937	
Guinea	1,050	2,953		1,549	2,849	2,411	1,385	3,944		2,585	1,908	1,099		
Guyana	12	0	0	0	0	62	0	0	0	5	0	992	297	
Honduras	14	44	5	21	55	0	8	104	107	69	9	271	865	
Hong Kong, China	0	0	52,665	20,456	41,211	180,601	153,527	126,409	65,098	153,237	121,853	93,803		
Hungary	24,634	34,162	53,139	82,758	72,732	74,653	112,619	112,529	82,153	105,021	93,345	97,052	82,414	
Iceland	2,326	1,719	2,693	9,103	11,483	14,467	10,823	9,533	2,892	1,079	1,437	1,881	2,376	
India	7,383	12,685	49,248	10,327	16,087	31,903	30,989	26,423	27,592	37,334	59,142	51,911	42,655	
Indonesia	4,163	2,101	1,785	1,551	8,006	8,893	36,302	7,257	6,564	6,060	7,887	9,098	16,359	
Iran (Islamic Republic of)	50,917	13,967	33,487	51,486	45,296	57,885				49,492	59,588			
Ireland	9,963	18,942	24,360	30,390	36,914	54,088	50,929	67,626	36,976	36,065	93,264	60,221	62,207	
Israel	20,798	28,597	29,769	20,872	30,543	46,422	91,996	173,881	116,938	184,978	219,747	181,353	54,610	
Italy	796,316	784,986	1,221,218	1,420,616	1,588,455	1,567,099	2,305,322	2,251,844	1,435,426	1,401,860	1,176,373	1,306,676	1,461,529	
Jamaica	178	227	869	291	595	326	6	4	312	0	44	850		
Japan	50,467	46,852	52,083	51,359	42,850	32,891	46,101	43,310	36,614	51,810	60,472	66,795	67,573	
Jordan	829	832	230	558		10,051	402	179	503	309	524	743	1,046	
Kazakhstan	18,464	5,941	2,998	5,189	8,131	6,636	9,610	11,921	15,557	10,087	16,756	7,181	9,195	
Kenya	1,101	267	887	501	352	625	703	1,218	662	1,748	973			
Korea, Republic of	10,847	19,052	34,112	55,394	71,183	79,680	62,238	73,870	42,307	41,820	39,562	52,707	43,471	
Kuwait	2,075	2,172	4,353	5,077		5,622	3,981	7,220						
Kyrgyzstan	13	14	90	20	36	381	200	172	25	43	134	137		
Latvia	1,753	2,640	3,325	4,608	6,128	21,566	24,597	21,474	13,520	15,561	14,253	14,043	22,050	
Lebanon	3,726	4,004	5,407	2,897	1,566	1,377	1,009	1,806	4,502	7,626	4,760	4,263	10,699	
Libya							2	85	1,131	1,169				
Lithuania	7,188	10,974	8,770	26,725	11,613	11,345	21,340	39,505	12,775	13,277	21,753	20,633	24,956	
Macao, China	0	0	0	25	12	7	92	93	96	88		42		
Macedonia, The Former Yugoslav Republic of	500	570	716	716	984	2,055	1,993		1,503	2,263	1,757	2,659	2,141	
Madagascar	161	70	433	204	105	232	188	383	343	1,967	242	436	769	
Malawi	19	48	130	30	0	18	24	121	67	48	14	2	2	
Malaysia	3,008	3,494	4,074	7,770	7,874	9,607	17,510	9,691	6,632	12,762	27,045	32,812	94,226	
Maldives	0	0	34	19	0	3	0	0	0	0	0	22	0	
Malta	485	0	0	544	525	979	3,850	2,094	2,258	915	941	350	800	
Mauritania	0	0	0	0	0		0	0	0	0	681	32		
Mauritius	232	420	328	444	368	116	950	428	336	178	1,050	309	1,215	
Mayotte	38	73	157	186	7	13	54	195	49					
Mexico	16,994	16,998	29,826	39,896	67,250	64,130	108,246	81,598	66,293	82,695	91,074	97,406	111,824	
Mongolia	0		472	5	72	53	8,927						598	
Montenegro						276	356	694	801	631	371	276	195	
Morocco	0	0	0	0	0	0	0	0	9,731	12,084	26,136	17,492	20,789	
Mozambique	47	301	179	2	10	196	414	24	367	177	691	164	534	
Namibia	39	0	272	20	1	99	30	110	45	155	126	68	982	
Nepal			6						0	326	495			
Netherland Antilles					0	0	3	1						
Netherlands	432,577	442,995	744,840	797,971	870,790	1,066,791	1,355,136	1,767,858	979,022	850,438	1,022,642	920,022	987,814	
New Caledonia	1,675	640	902	758	833	755	771	1,162	7,754	4,934	889	719	1,104	
New Zealand	7,238	6,289	8,327	8,003	7,216	5,915	7,491	6,080	3,559	4,867	5,954	5,062	5,259	
Nicaragua	0	0	18	6	502	0	53	541	223	76	411	95	42	
Niger	0	0	0	0	25	0	46	180	17	574	215	417	618	
Nigeria	753	1,288	2,659			528	4,834	958	7,893	731	223	4,902		
Norway	20,276	23,015	25,128	38,052	50,483	64,879	71,566	68,332	58,785	83,951	119,057	107,389	95,947	
Oman	19	754	0	288	7	1,855	1,098	240	1,910	1,299	1,064	4,293	3,786	
Pakistan			3,414	3,277	3,006	3,575	3,772	988	2,127	6,627	2,048	6,403	6,236	
Palestine, State of							28	199	496	68	295	737		
Panama	0	0	0		0	0	0	0	0	0	273			
Papua New Guinea	0	75	18	0							110	10		
Paraguay	0	0	0	0	0	0	6	71	216	29	1,835	3,248	1,181	
Peru	721	1,710	2,528	620	1,618	1,395	3,034	2,554	1,783	5,068	7,393	3,907		
Philippines	503	992	966	1,940	1,068	1,021	2,352	822	1,153	2,270	1,065	1,081	2,912	
Poland	67,776	73,717	104,635	140,694	166,599	218,386	254,527	330,540	195,425	242,170	414,223	370,876	382,263	
