List of importing markets for a product exported by Macao, China (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,843,447	2,971,868	3,315,504	3,946,888	3,270,218	3,484,966	3,470,577	2,919,939	1,275,763	1,035,403	1,257,630	1,419,278	845,904	
Albania	9	6	0	30	1	121	23	5	46	37	12	1	44	
Andorra	265	457	335	167										
Antigua and Barbuda					0		1		0	0	0	0	0	
Argentina	3,002	358	76	26	2	272	741	810	395	55	220	115	144	
Armenia	0	0	0	0	0	0	3	4	0	0	0	1	3	
Australia	3,677	3,791	4,296	6,217	8,128	7,319	8,195	11,858	9,318	8,502	9,059	11,824	10,817	
Austria	15,782	17,218	18,464	19,338	10,468	19,396	17,577	6,976	1,315	1,054	1,233	1,220	1,094	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	1		
Bahrain	356	86	55	43	458	1,412	778	353	171	162	214			
Bangladesh	328	204	326	548	838	614	680							
Barbados	3	15	36	1	19	19	67	5	20	21	11	30	12	
Belarus	0	2	4	22	6	78	129	61	4	38	26	3	1	
Belgium	15,445	14,804	18,039	20,496	8,728	11,545	14,837	14,848	14,064	13,929	25,257	21,287	40,447	
Belize	28	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	37	2	0	
Bermuda												0	13	
Bolivia	0	0	0	5	2	6	7	28	8	19	0	1		
Bosnia and Herzegovina			74	50	84	119	136	144	12	15	24	8	14	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	2,322	3,380	6,754	9,471	8,522	5,704	8,536	11,162	5,548	6,839	10,887	11,721	10,479	
Brunei Darussalam	0	36	0	2		2				29	12	9	9	
Bulgaria	16	9	57	223	263	687	1,885	595	167	197	285	348	1,064	
Burkina Faso	4	27	0	0	0		0	0	0	0	0	0		
Cabo Verde	0	0	0	0	0	0	0		0	0	0	25	0	
Cambodia	402	276	425	685	1,294	0	2,110	1,491	2,225	14,299	4,106	972		
Cameroon	0	0	0	0	2	4	8	6	0	3	231	0		
Canada	51,331	58,356	62,068	66,450	34,712	32,807	31,282	27,788	19,654	8,735	8,763	13,508	15,582	
Chile	0	0	0	3	153	1,353	205	1,234	1,164	1,809	232	213	379	
China	119,120	142,267	185,543	215,879	264,539	257,039	280,381	305,849	246,056	123,550	162,269	279,177	387,159	
Colombia	318	138	86	169	98	134	173	1,673	1,091	222	107	48	263	
Costa Rica	6	2	37	6	33	62	114	119	139	16	30	49	98	
Côte d'Ivoire	1	0	0	0	0	2	0	1	6	184	20	21		
Croatia	239	437	727	1,482	1,061	1,845	1,709	1,432	303	234	266	301	115	
Cuba	3	0	1	3	0	1								
Cyprus	532	593	757	499	186	254	285	349	103	132	191	0	136	
Czech Republic	1,574	2,299	2,514	9,792	9,281	9,024	10,948	5,930	3,720	3,765	5,101	1,963	1,304	
Denmark	26,823	28,909	33,931	35,639	18,886	23,528	23,549	9,049	957	3,571	1,223	1,355	2,000	
Dominican Republic	0	0	0	0	1	31	15	27	3	17	23	8	18	
Ecuador	0	0	45	37	0	0	0	36	10	11	123	199	879	
Egypt	73	29	170	60	65	205	118	7	0	0	0	0	1	
El Salvador	0	0	0	0	0	9	0	18	19	12	32	462	166	
Estonia	618	1,171	1,305	1,612	1,277	878	1,261	607	145	129	60	179	82	
Ethiopia	0	5,003	311	0	16	121	0	0	0	0	0	0		
Faroe Islands	68	110	155	184	80	105	154	60	18					
Fiji		0	19	2	0	0	13	6	0	13	67	175		
Finland	5,942	5,916	6,363	9,382	5,173	5,572	5,782	3,124	373	576	503	10,215	345	
France	124,488	108,630	128,997	129,319	80,727	112,579	88,186	42,297	17,104	13,607	16,502	14,720	13,818	
French Polynesia	14	37	80	39	82	91	70	58	11	6	26	14	2	
Gabon	0	0	406	0	0	0	0	0	0					
Gambia	2	0	0	0	0	0	0	0	0	11	0			
Germany	239,390	236,499	253,362	314,560	174,142	225,678	224,077	111,221	50,701	20,578	40,041	69,475	39,916	
Ghana	0		0		0	0	0	0	1	0	1	0		
Greece	4,111	4,693	8,454	12,864	2,187	2,112	3,413	1,935	325	699	608	161	15	
Greenland	0	0	177	0	0	54	42	56	4	0	1	1	3	
Guatemala	0	105	1	0	63	0	0	8	60	100	28	144	59	
Guinea	0	0		0	5	6	0	1		0	0	0		
Guyana	0	0	0	0	0	0	4	0	0	0	0	0	0	
Hong Kong, China	149,052	201,489	201,063	283,125	323,518	319,032	379,392	422,165	328,342	400,317	595,516	663,240		
Hungary	1,556	1,554	2,725	668	3,884	2,389	5,519	20,537	9,911	4,594	1,868	4,982	8,425	
Iceland	524	332	292	472	364	624	711	352	101	30	71	31	33	
India	150	8,819	7,680	59	140	94	320	302	298	261	447	1,060	2,195	
Indonesia	214	130	499	767	1,070	460	1,228	15,846	5,435	8,950	6,017	3,853	7,537	
Iran (Islamic Republic of)	0	0	0	0	0	64				243	191			
Ireland	5,486	6,514	5,798	5,036	4,912	6,088	7,530	5,127	6,262	5,216	2,785	2,447	2,528	
Israel	173	46	23	45	398	1,529	3,182	5,282	2,780	2,463	4,331	2,310	1,948	
Italy	35,704	35,557	68,476	119,096	43,169	55,600	62,513	35,946	14,294	12,893	5,967	3,537	2,621	
Jamaica	0	3	5	0	0	0	0	0	21	0	0	0		
Japan	21,595	19,955	26,625	27,422	29,788	27,426	35,051	43,927	28,031	31,705	35,274	30,979	28,259	
Kazakhstan	0	0	19	4	4	126	186	123	26	50	24	39	50	
Kenya	0	0	6	0	354	24	0	18	0	76	12			
Korea, Republic of	2,495	5,466	4,928	4,985	5,773	6,110	9,240	7,045	5,072	4,323	5,357	6,274	5,003	
Kuwait	1,755	1,571	2,457	2,467		1,549	1,643	1,466						
Latvia	110	147	269	335	87	145	64	55	75	31	23	0	61	
Lebanon	646	607	741	633	467	734	764	807	477	294	180	387	327	
Lithuania	244	565	688	4	20	99	179	203	169	116	0	0	0	
Luxembourg	5	428	0	2	0	1	1	265	169	111	185	138	121	
Macao, China	363,197	372,183	431,859	562,244	575,277	624,445	632,492	463,856	71,937	40,066		24,870		
Macedonia, The Former Yugoslav Republic of	3	4	1	13	13	37	78		10	3	3	2	1	
Madagascar	0	1	2	0	0	2	1	1	0	26	0	2	5	
Malawi	0	0	0	0	0	0	17	0	0	31	0	0	1	
Malaysia	982	1,498	2,398	11,080	13,294	21,231	23,965	16,661	9,025	10,843	15,696	8,871	21,419	
Mali	8	0	0	0	0	13	0	0		0	0	0		
Malta	118	183	199	35	143	297	15	22	38	24	39	53	18	
Mauritania	5	0	4	0	0		0	5	1,464	0	28	25		
Mauritius	119	222	53	84	41	9	38	84	63	38	264	219	83	
Mayotte	1	1	5	5	4	54	4	24	0					
Mexico	13,034	12,394	9,901	14,890	15,325	24,791	28,170	37,489	26,423	26,117	28,059	18,577	8,380	
Mongolia	0		0	0	0	28	0						7	
Montenegro						44	67	162	12	4	3	3	14	
Morocco	0	0	38	28	21	149	122	134	131	45	151	156	209	
Mozambique	42	47	22	0	14	226	2	15	2	96	91	19	2	
Myanmar										458				
Namibia	0	1	0	0	0	419	0	0	0	0	0	0	0	
Nepal			0						1	0	10			
Netherland Antilles					0	1	8	0						
Netherlands	58,665	58,759	60,075	66,588	32,004	40,472	35,380	23,076	8,185	7,167	8,859	8,721	37,002	
New Caledonia	45	27	64	99	136	115	71	121	79	33	32	33	17	
New Zealand	1,313	1,338	1,695	1,820	2,872	4,054	3,648	2,531	1,080	354	845	1,186	490	
Nicaragua	6	1	15	15	27	11	6	10	29	7	1	0	18	
Niger	0	1	0	0	0	0	0	0	0	7	2	0	2	
Nigeria	0	5	0			0	123	58	15	99	0	12		
Norway	5,979	4,991	6,041	17,297	11,970	4,980	6,421	6,590	1,479	1,108	541	1,630	1,302	
Oman	8	71	0	65	0	0	0	0	0	0	1	0	13	
Pakistan			1,069	1,139	320	536	90	109	91	61	16	35	10	
Palestine, State of							0	37	0	0	0	0		
Panama	0	0	0		0	0	0	0	0	16	11			
Papua New Guinea	0	0	0	5							29,591	2		
Paraguay	0	0	20	0	0	0	11	29	304	9	136	300	31	
Peru	198	317	172	325	684	785	382	377	180	119	111	775		
Philippines	148	144	195	280	926	4,919	4,859	9,243	15,946	13,453	5,698	2,988	8,463	
Poland	2,099	2,169	3,079	7,685	4,333	7,697	9,904	7,558	5,371	4,552	4,160	3,129	1,177	
Portugal	6,758	3,829	2,401	2,509	877	1,065	1,010	630	457	637	322	771	908	
Qatar	0	0	0	0	0	0	0	172	151	11	98	0	142	
Republic of Moldova	0	0	1	3	5	16	46	49	12	7	0	6	2	
Romania	44	49	94	320	287	905	170	221	108	493	473	2,778	2,906	
Russian Federation	64	104	202	283	319	1,007	2,790	4,144	4,051	2,961	4,400	3,289	2,347	
Rwanda	0	0	0	1	0	0	0	0	0	5	0	0	0	
Saint Lucia	0	1	0	8	1	0	0	0						
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	1	3	1	0	0		
Sao Tome and Principe	0	0	0	0	0	0	0	1	0	0	0	0	0	
Saudi Arabia	1,136	1,230	1,699	1,126	1,105	1,214	1,071	1,061	983	91	294	0		
Senegal	0	0	0	0	1	1	2	0	23	0	0	0	0	
Serbia					217	609	789	750	106	34	56	356	291	
Serbia and Montenegro	19	71		304										
Singapore	7,776	5,196	5,192	13,401	14,553	18,939	18,016	17,517	23,085	18,085	21,389	14,498	12,927	
Slovakia	211	385	564	930	2,801	885	1,820	1,468	1,485	693	806	477	551	
Slovenia	571	641	760	1,174	929	1,700	1,746	2,259	3,587	1,061	2,837	1,544	963	
South Africa	963	284	700	1,498	1,654	2,029	3,033	1,973	1,229	1,574	6,877	4,805	6,499	
Spain	27,468	26,949	38,457	32,290	19,106	33,074	37,160	34,991	5,837	1,973	2,740	1,528	1,791	
Sri Lanka	14	193	88	71	225	1,080	650	2,656	3,649	2,759	2,827	620		
Sudan (North + South)	0	10	0	0	0	0		204	407	291	46			
Sweden	3,388	4,593	5,754	7,775	4,195	9,439	7,989	6,239	5,134	5,652	4,791	7,242	9,296	
Switzerland	4,484	3,652	5,099	5,854	2,802	2,197	4,901	51,225	1,307	1,240	2,714	9,028	12,173	
Taipei, Chinese	45,641	29,945	28,076	31,152	31,514	25,604	27,734	29,801	15,560	19,715	19,193	12,911	10,559	
Tanzania, United Republic of	0	1	0	0	0	6	1	0	0	5	0	0	1	
Thailand	1,183	1,619	2,423	4,672	3,805	3,194	3,910	7,566	5,778	8,940	7,415	6,174	9,219	
Timor-Leste				9	47									
Togo	0	0	10	0	0		0	7	0	0	0	0	0	
Tonga	0	0	0					0	0	0	1	0		
Trinidad and Tobago	16	6	5	2	0	4	4	1	0	0				
Tunisia	26	33	28	55	9	33	16	67	153	3	10	44	34	
Turkey	1,887	3,237	5,367	6,387	2,606	5,309	7,218	12,812	4,831	434	538	395	3,000	
Uganda	0	0	0	0	0	10	1	41	20	0	0	0	0	
Ukraine	38	78	124	68	36	239	414	411	85	47	34	1	3	
United Kingdom	177,970	208,351	214,276	278,411	158,787	206,851	222,599	92,255	32,901	21,641	21,679	14,716	10,549	
United States of America	1,281,331	1,307,951	1,430,298	1,573,870	1,320,467	1,289,592	1,143,643	957,209	246,097	147,329	117,624	99,713	97,235	
Uruguay	17	6	40	18	30	12	35	120	87	106	39	45	253	
Vanuatu						0	9		29	19	0			
Venezuela	0	0	52	0	0	0		92	16	3	0	2	0	
Viet Nam	471	51	143	575	906	1,755	2,909	5,107	0	0	0	7,485		
Yemen				0	0	0	0	0	4	8	0	0		
Zambia	0	0	0	0	0	0	0	0	0	0	0	9	0	
Zimbabwe	0	0		0	0	0	0	0	0	0	0	0	2	
