List of importing markets for a product exported by Macedonia, The Former Yugoslav Republic of Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,155,068	1,115,527	1,363,252	1,673,487	2,041,265	2,400,715	3,356,248		2,691,528	3,351,429	4,455,375	4,001,857	4,266,855	
Afghanistan	0	69	0	30	28	20	105		53	122	553	615	230	
Albania	10,148	13,871	17,421	23,616	27,522	40,558	72,694		83,949	72,384	87,052	75,639	78,456	
Algeria	18	7	0	0	0	74	32		566	224	440	277	988	
Andorra	7	1	379	145	165	74	3		46	12	27	0	0	
Angola	1	0	5	0	0	0	0		0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0		0	0	0	0	0	
Area Nes	0	0	0	0	0	0	0		0	0	0	0	0	
Argentina	13	1,187	9	313	1,589	9	5		6	32	4,723	3,764	22	
Armenia	56	203	163	304	150	138	146		220	146	158	238	136	
Aruba	0	0	0	0	0	0	0		0	0	0	0	0	
Australia	2,031	2,511	2,466	2,520	1,713	2,270	3,554		3,853	3,694	4,908	5,061	5,788	
Austria	6,218	6,500	7,678	8,514	9,001	14,993	19,868		19,080	36,976	38,251	48,984	47,119	
Azerbaijan	25	173	125	279	1,274	799	501		1,904	1,699	230	794	520	
Bahamas	0	0	0	0	0	2	5		0	0	0	0	0	
Bahrain	0	35	32	0	8	86	61		9	76	11	8	34	
Bangladesh	0	0	0	0	0	0	0		0	19	0	6	437	
Barbados	0	0	0	0	0	0	0		10	0	0	0	0	
Belarus	122	106	115	165	496	944	2,594		678	3,104	5,101	5,459	7,723	
Belgium	7,390	10,364	9,641	15,158	34,620	83,146	177,833		36,127	80,755	62,453	41,596	66,553	
Belize	0	0	0	0	0	0	0		0	0	185	3	50	
Benin	0	0	0	0	0	203	0		0	0	0	147	0	
Bermuda	0	0	0	0	0	0	0		0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0		0	0	0	0	0	
Bolivia	43	0	0	0	0	0	0		0	0	0	0	0	
Bosnia and Herzegovina	16,240	18,310	23,748	33,226	50,456	64,698	88,021		86,644	84,951	93,092	84,542	94,655	
Brazil	0	0	0	0	938	0	94		5	985	1,896	2,143	4,548	
British Indian Ocean Territories	0	0	0	0	0	0	0		0	0	4	0	0	
British Virgin Islands	174	37	0	164	83,581	1	0		94	0	126	0	0	
Brunei Darussalam	0	0	0	0	0	0	0		0	3	0	0	0	
Bulgaria	20,700	21,782	25,826	51,527	76,097	130,144	242,463		216,953	294,035	307,680	285,396	325,084	
Burkina Faso	0	0	0	0	0	0	0		0	0	22	0	0	
Burundi	0	0	24	0	0	0	0		13	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	1	0	0	0	0		0	6	0	0	0	
Cameroon	17	0	0	0	0	0	0		0	0	0	0	9	
Canada	560	645	493	1,116	1,090	969	1,816		1,373	2,045	3,755	3,536	4,621	
Cayman Islands	0	0	0	0	0	0	0		0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0		0	0	28	0	0	
Chad	0	0	0	0	0	0	0		0	11	0	3	0	
Chile	0	0	0	82	0	42	10		0	0	4	0	0	
China	499	106	14,587	1,354	9,925	1,472	576		3,244	89,178	127,460	158,846	103,864	
Colombia	0	0	0	4	0	0	0		0	18	169	236	3,060	
Comoros	0	0	0	0	0	0	0		0	0	0	0	0	
Congo	0	0	0	0	0	40	160		8	0	17	13	0	
Cook Islands	0	0	0	0	0	0	0		0	0	0	26	0	
Costa Rica	0	9	0	0	0	0	10		0	0	119	47	190	
Côte d'Ivoire	0	1	0	12	6	0	0		0	0	0	31	26	
Croatia	58,420	59,078	66,096	80,158	81,054	124,229	163,869		152,720	123,729	139,622	98,500	100,346	
Cuba	0	0	0	0	0	0	0		10	0	0	0	0	
Cyprus	1,628	609	502	4,799	5,542	4,476	2,966		225	554	609	964	1,158	
Czech Republic	3,179	1,984	3,072	5,363	6,050	10,552	11,125		9,322	15,337	22,671	34,890	28,698	
Democratic Republic of the Congo	0	0	0	0	0	0	0		0	0	0	0	0	
Denmark	2,127	1,900	3,254	2,301	2,781	1,467	3,727		2,228	4,587	11,939	7,051	9,610	
Djibouti	0	0	0	0	0	0	0		6	0	0	0	0	
Dominica	0	0	0	0	0	0	2		0	0	0	21	0	
Dominican Republic	0	0	0	0	0	58	71		0	0	4	0	0	
Ecuador	0	0	0	0	3	0	4		0	87	0	89	0	
Egypt	1,234	4,686	3,825	581	1,254	2,427	1,719		3,588	1,217	553	751	871	
