List of importing markets for a product exported by Madagascar Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	947,618	667,444	979,047	971,194	835,890	1,008,158	1,343,309	1,667,401	1,095,898	1,082,168	1,471,524	1,224,514	1,928,104	
Afghanistan	0	0	76	33	152	0	39	0	0	0	50	0	0	
Albania	0	0	0	0	0	0	1	0	0	0	0	0	86	
Algeria	33	131	116	487	178	227	749	4,570	4,076	835	4,677	2,138	2,531	
Andorra	0	0	0	0	0	3	0	0	0	0	40	0	0	
Angola	0	0	0	0	0	106	14	14	132	46	189	0	418	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	10	16	2	18	0	155	0	194	0	25	16	63	0	
Area Nes	20,095	18,370	24,792	35,401	37,543	71,906	50,735	61,600	79,579	36,564	67,880	60,543	68,308	
Argentina	7	0	6	4	0	14	50	55	696	325	332	130	268	
Armenia	0	0	0	0	0	0	0	0	0	0	0	2	0	
Australia	1,002	185	519	314	1,296	391	260	377	579	1,081	2,388	1,462	4,134	
Austria	342	110	313	326	412	1,367	1,903	1,747	1,639	1,703	3,135	1,569	811	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	7	0	
Bahamas	0	2	2	13	5	37	127	11	224	0	23	0	11	
Bahrain	1,283	427	35	0	28,235	247	0	167	10	0	26	143	49	
Bangladesh	40	97	46	45	163	276	279	158	557	5,768	474	1,687	1,218	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	2	0	0	0	0	0	0	
Belgium	10,823	9,352	7,329	8,944	9,642	22,030	13,859	19,975	18,309	16,380	32,162	16,790	73,189	
Belize	0	0	6	0	0	12	0	0	0	0	0	0	0	
Benin	0	0	4	185	19	22	745	79	905	1,171	180	350	510	
Bermuda	0	0	5	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	1	0	0	25	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	11	0	0	50	0	53	
Botswana	0	0	4	0	0	2	0	0	0	1,225	47	309	173	
Brazil	25	28	55	40	166	154	644	116	60	149	1,026	1,249	456	
British Indian Ocean Territories	9	1	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	52	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	6	0	0	0	34	0	0	0	
Bulgaria	157	37	38	123	85	201	17	3	15,274	630	3	7	299	
Burkina Faso	27	58	0	2	50	47	47	64	13	15	132	3	17	
Burundi	0	0	94	0	15	0	4,461	15	11	10	4	11	0	
Cabo Verde	5	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	19	0	3	42	780	33	37	0	25	508	10	1	279	
Cameroon	111	60	6	47	167	95	71	127	98	19	1	4	228	
Canada	7,040	14,851	10,740	11,256	5,902	12,512	11,627	13,118	11,907	42,263	72,571	69,514	83,735	
Cayman Islands	0	0	0	0	0	68	0	26	0	0	0	0	0	
Central African Republic	42	4	38	26	7	9	5	0	52	0	14	1	10	
Chad	0	9	36	0	83	5	2	50	30	3	0	0	57	
Chile	112	0	0	147	4	35	44	16	388	774	18	25	17	
China	6,471	6,571	7,339	9,681	33,993	22,188	27,431	52,335	52,272	56,691	91,517	102,560	133,710	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	2	0	3	0	0	0	
Colombia	40	17	14	0	0	7	0	3	0	207	446	1,650	649	
Comoros	2,372	2,239	2,635	3,602	5,140	5,876	4,909	4,271	3,805	6,305	11,525	10,090	10,431	
Congo	38	60	8	47	119	2	46	0	0	95	77	109	0	
Cook Islands	26	0	0	0	0	0	0	0	0	0	0	83	0	
Costa Rica	0	0	0	0	2	28	38	16	3	7	26	2	75	
Côte d'Ivoire	436	39	644	193	91	98	2	245	133	49,202	298	116	3,072	
Croatia	0	0	0	0	0	23	93	25	70	45	132	26	120	
Cuba	2	2	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	391	5	34	2	84	34	56	81	6	0	145	0	49	
Czech Republic	49	1	14	18	3	13	12	45	5,697	500	321	114	254	
Democratic Republic of the Congo	4	0	181	67	1,355	9	21	1	77	1,295	69	120	66	
Denmark	3,389	1,862	1,226	1,915	1,364	2,603	1,972	1,839	2,008	2,206	2,539	1,000	854	
Djibouti	17	17	45	56	16	0	32	64	13	489	76	121	98	
Dominica	0	0	0	3	14	0	0	0	0	28	108	6	0	
Dominican Republic	274	21	0	9	0	104	47	11	16	0	18	339	119	
Ecuador	0	0	35	87	0	0	0	0	0	0	0	0	0	
Egypt	250	360	383	834	762	712	1,042	413	491	4,697	1,279	3,357	8,388	
El Salvador	0	0	33	12	101	0	0	22	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	67	0	20	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	0	105	0	0	3	
Estonia	0	0	0	0	0	0	59	64	50	112	141	736	971	
Ethiopia	1	65	21	16	15	1	191	120	23	860	76	10	16	
Europe Othr. Nes	32	28	16	266	0	0	4,859	2,747	26	0	2,270	1,909	0	
European Union Nes	0	0	0	0	0	0	0	0	0	0	0	0	200	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	433	449	8	94	283	777	32	168	73	3	6,176	548	2,859	
France	375,049	272,249	419,857	338,821	286,610	398,726	591,242	751,074	362,573	358,648	529,367	356,917	494,791	
French Polynesia	66	31	155	20	10	92	28	0	2	0	0	77	1	
French South Antarctic Territories	0	0	1	13	0	0	0	0	0	0	0	0	0	
Gabon	100	3	16	5	24	210	102	26	345	1,053	83	349	121	
Gambia	31	0	0	5	25	23	0	0	0	0	0	15	18	
Georgia	0	0	0	0	0	12	0	370	0	66	0	0	71	
Germany	32,896	31,461	48,070	53,115	53,768	60,402	69,078	108,330	69,906	78,926	92,994	76,457	100,766	
Ghana	2	0	68	37	52	179	9	98	21	138	110	330	496	
Gibraltar	70	0	0	0	0	0	0	0	0	0	0	3	16	
Greece	372	414	465	764	927	1,082	3,140	2,699	980	1,703	2,162	2,047	1,446	
Greenland	0	0	0	0	0	0	0	0	0	0	3	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	0	0	12	21	0	0	6	511	0	0	0	54	
Guinea-Bissau	0	0	16	0	0	0	0	0	0	0	0	0	0	
Guyana	8	72	3	0	0	3	0	0	21	1	0	0	0	
Haiti	0	16	28	0	0	0	79	0	2	53	0	0	82	
Honduras	58	0	0	0	122	0	0	0	0	0	55	3	0	
Hong Kong, China	9,076	7,448	8,597	9,815	11,709	10,621	9,847	9,513	16,085	9,517	14,920	14,554	15,597	
Hungary	109	7	0	0	25	4	0	6	0	1	2	8	1	
Iceland	6	0	0	1	6	15	0	4	15	18	0	0	27	
India	1,417	1,854	4,228	6,438	12,285	11,970	17,884	10,596	20,817	46,107	62,993	67,118	47,297	
Indonesia	19,051	534	153	1,194	778	2,138	2,797	3,967	3,440	6,443	24,418	20,867	6,712	
Iran (Islamic Republic of)	6	0	16	2	11	181	87	48	53	40	83	1	63	
Iraq	0	2	2	8	0	0	1	0	0	0	0	5	1	
Ireland	409	97	45	71	130	150	442	56	1	206	149	137	276	
Israel	526	596	260	238	218	140	309	220	379	259	443	179	314	
Italy	19,203	19,757	14,839	26,718	23,072	41,985	47,649	40,384	27,925	30,924	33,319	38,315	40,461	
Jamaica	14	0	6	0	2	0	0	0	0	0	0	0	41	
Japan	21,306	24,670	14,597	14,087	17,471	13,671	8,883	7,072	7,406	5,187	10,411	6,131	85,383	
Jordan	5	54	0	272	73	69	183	7	43	9	158	92	405	
Kazakhstan	0	0	0	0	0	0	0	2	7	0	46	0	0	
Kenya	1,152	2,038	952	276	3,070	1,481	4,225	1,144	4,025	6,422	12,731	3,081	10,697	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	24	72	18	33	21	0	42	20	0	0	0	7	77	
Korea, Republic of	833	109	1,259	420	387	665	532	487	161	952	1,666	17,176	93,101	
Kuwait	0	137	0	21	37	287	211	59	43	86	179	727	1,092	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	1	0	0	0	
Lao People's Democratic Republic	9	0	0	31	11	31	0	30	0	25	0	0	3	
Latvia	0	0	0	0	0	0	0	9	0	8	15	117	196	
Lebanon	2	846	29	47	67	96	41	70	166	169	115	64	86	
Lesotho	319	88	519	80	0	23	9	15	0	3	0	0	39	
Liberia	2	145	134	1	0	69	0	0	0	1	0	0	0	
Libya	11	0	0	0	0	0	1	0	160	0	0	22	118	
Lithuania	0	0	0	0	0	0	0	0	0	0	8	0	3	
Luxembourg	17	1	108	116	125	157	6	9	203	33	54	67	15	
Macao, China	0	0	0	0	0	0	0	0	79	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	1	35	0	7	0	0	0	
Malawi	4	0	0	0	0	4	0	4	35	0	385	165	1	
Malaysia	447	1,005	481	203	271	92	354	386	381	709	549	4,324	6,906	
Maldives	0	0	0	0	0	9	0	6	4	0	0	0	32	
Mali	17	0	31	0	16	77	0	46	63	48	87	72	26	
Malta	47	99	9	60	33	52	0	20	61	0	7	0	0	
Marshall Islands	0	0	0	0	0	0	0	0	94	0	9	1	0	
Mauritania	0	2	6	0	129	97	0	12	0	9	12	47	0	
Mauritius	30,199	32,015	45,190	32,518	16,023	14,453	38,481	18,107	19,232	22,551	17,850	17,257	31,114	
Mayotte	0	0	0	0	251	713	3,661	4,102	4,009	2,997	3,636	2,654	3,215	
Mexico	149	410	285	299	323	612	685	823	585	1,348	358	2,395	291	
Mongolia	0	143	0	0	0	0	0	2	0	0	0	0	0	
Montserrat	0	0	0	0	0	0	0	0	0	0	24	0	0	
Morocco	847	1,032	4,164	5,198	2,081	7,280	10,082	5,942	2,916	6,289	8,398	3,703	12,183	
Mozambique	151	4	69	246	124	209	178	1,756	693	316	123	213	5,792	
Myanmar	0	0	0	3	0	0	0	0	35	2,922	0	0	0	
Namibia	0	0	68	0	0	39	0	34	0	41	0	0	78	
Nauru	0	1	351	0	2	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	5	21	0	0	121	
Netherland Antilles	4	8	25	49	24	493	377	202	319	0	0	0	1	
Netherlands	23,040	8,642	11,366	10,456	13,896	16,419	26,473	26,719	17,245	17,550	23,509	27,485	119,128	
New Caledonia	29	118	30	64	35	15	120	0	77	2,588	41	216	40	
New Zealand	18	13	8	6	0	55	51	25	2	39	14	93	117	
Nicaragua	0	0	17	0	0	132	6	0	0	0	1	0	0	
Niger	0	56	120	0	84	0	171	76	294	105	108	4	5	
Nigeria	62	0	0	16	54	0	0	3	127	32	251	235	66	
Niue	0	0	0	1	0	0	0	0	0	0	0	0	0	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Norway	625	91	58	308	151	129	164	174	189	256	10	95	1,078	
Oceania Nes	0	0	0	0	0	181	0	0	0	0	0	0	0	
Oman	0	0	0	0	0	1	0	50	0	13,679	10	64	8	
Pakistan	320	399	446	1,378	215	891	1,966	544	444	1,580	3,300	6,912	6,299	
Palau	0	0	357	2	0	0	0	0	0	0	0	0	0	
Palestine, State of	0	0	0	0	0	0	0	0	0	0	0	0	0	
Panama	412	16	1,557	1	104	303	451	757	395	164	29	118	2,117	
Papua New Guinea	150	0	0	0	0	0	0	0	0	5	1	0	0	
Paraguay	1	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	12	0	0	0	0	46	5	135	393	813	611	897	1,067	
Philippines	0	10	41	42	56	23	147	182	111	211	197	447	117	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	304	39	288	56	179	152	123	355	186	151	200	233	573	
Portugal	2,037	1,087	1,063	826	652	4,707	3,149	2,404	1,900	3,341	9,604	6,738	17,993	
Qatar	0	58	1	57	13	89	2	0	5	124	23	3	102	
Republic of Moldova	0	0	0	0	0	2	10	54	15	0	0	0	0	
Romania	0	0	0	3	29	9	1	192	243	43	188	334	288	
Russian Federation	40	132	111	81	220	619	971	423	741	518	569	1,954	2,005	
Rwanda	6	6	0	20	72	50	5	155	24	11	38	101	61	
Saint Helena	0	0	0	0	0	5	74	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	147	0	0	
Saint Lucia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	0	63	106	118	92	5	10	1	73	0	0	53	0	
Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	7	2	0	0	0	0	0	0	0	0	0	0	0	
Saudi Arabia	137	312	824	596	152	987	1,120	423	1,039	1,373	4,847	11,352	4,591	
Senegal	39	194	323	221	132	271	79	237	371	975	301	360	47	
Serbia	0	0	0	0	0	69	28	0	0	0	0	0	0	
Serbia and Montenegro	34	10	89	86	73	0	0	0	0	0	0	0	0	
Seychelles	878	542	665	666	928	2,423	2,600	10,987	4,131	7,158	4,523	5,074	8,910	
Sierra Leone	20	0	0	0	0	0	2	0	0	45	156	0	4	
Singapore	66,919	21,242	25,105	24,038	14,207	19,626	19,961	22,823	23,997	18,479	101,168	49,528	35,360	
Slovakia	0	0	0	0	66	45	231	240	262	66	17	0	71	
Slovenia	0	0	0	0	13	19	67	0	23	29	110	0	46	
Solomon Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	35	18	0	0	6,874	0	0	0	
South Africa	19,174	1,586	17,031	3,636	4,764	10,099	8,072	24,851	15,696	26,179	34,228	40,022	79,476	
Spain	15,856	14,432	9,031	15,458	12,007	24,165	29,246	30,497	23,525	31,095	29,314	31,266	41,792	
Sri Lanka	215	663	254	1,476	1,837	1,353	1,232	512	168	2,877	1,535	561	1,270	
St. Pierre and Miquelon	0	0	0	0	0	0	0	19	0	0	0	0	0	
Sudan (North + South)	186	32	66	121	203	411	174	256	171	62	101	618	464	
Suriname	0	0	0	0	0	25	0	0	0	6	0	2	9	
Swaziland	0	56	298	8	0	0	1	27	8	90	1,404	0	7	
Sweden	6,164	4,596	1,775	6,183	5,330	403	11,177	242	206	96	352	1,453	4,313	
Switzerland	910	1,202	5,399	1,065	6,311	11,441	4,240	3,886	6,447	1,957	3,833	3,697	8,292	
Syrian Arab Republic	7	177	17	55	26	72	36	56	57	122	24	80	6	
Taipei, Chinese	1,133	768	570	369	688	347	408	404	360	412	476	158	173	
Tanzania, United Republic of	515	0	94	57	75	173	37	1,001	101	3,549	1,946	2,270	1,571	
Thailand	5,612	6,759	8,994	3,726	10,546	15,791	4,957	1,563	1,497	2,544	16,970	9,794	13,012	
Timor-Leste	1	0	22	0	0	0	0	0	0	0	0	0	0	
