List of importing markets for a product exported by Madagascar (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,065,866	851,921	1,170,913	1,403,664	1,095,620	1,155,366	1,355,023	1,410,655	1,248,587	1,127,016	1,701,925	1,625,227	2,043,712	
Albania	0	0	0	0	18	10	3	50	8	1	12	2	125	
Algeria	119	176	351	731	128	600	947	673	1,419	635	2,448	3,515	2,769	
Andorra	7	34	5	21										
Anguilla	7	0	0											
Argentina	212	50	181	112	6	117	645	298	1,008	498	481	551	741	
Armenia	0	0	0	0	0	0	54	33	10	40	34	52	86	
Australia	1,135	1,012	689	284	810	416	429	622	1,288	373	1,186	2,372	4,078	
Austria	4,052	3,123	3,464	3,670	3,954	4,234	5,233	7,548	412	653	1,274	989	464	
Azerbaijan	0	0	0	0	0	0	0	1	1	1	0	2		
Bahrain	9	0	18	0	30	0	15	103	57	90	1,105			
Bangladesh	67	1,910	465	57	350	524	1,563							
Barbados	9	18	21	3	4	1	9	4	5	10	1	36	30	
Belarus	0	0	3	102	3	3	30	42	44	32	45	148	1,263	
Belgium	26,452	11,755	15,921	16,931	16,467	26,561	19,022	24,106	17,922	13,531	37,720	46,142	99,770	
Benin	9	27	1	19	9	6	6	635	3	797	248	114	632	
Bermuda												1	3	
Bolivia	0	11	2	3	0	0	14	0	1	2	7	15		
Bosnia and Herzegovina			2	8	10	74	45	108	107	80	214	221	207	
Botswana	0	0	0	20	0	1	0	0	80	382	56	181	137	
Brazil	144	278	171	212	143	245	204	345	177	203	1,001	2,123	949	
Brunei Darussalam	0	0	0	1		1				8	15	39	25	
Bulgaria	75	43	123	168	1,424	369	391	2,667	12,067	5,362	4	39	118	
Burkina Faso	0	0	42	2	8		0	1	13	0	7	0		
Burundi	0	0	110	0	0	0	1,905	1,517	1	2	12	2	4	
Cabo Verde	0	0	0	0	0	0	0		0	0	0	0	3	
Cambodia	10	1	1	0	0	5	15	1	315	230	5	0		
Cameroon	0	0	9	1	6	11	17	8	23	6	12	10		
Canada	4,045	3,242	13,373	21,492	11,840	14,160	17,101	19,069	36,534	48,950	64,195	86,011	94,245	
Central African Republic	0	0	15			0	4	0	0	0	3	0	14	
Chile	108	33	28	122	76	73	187	66	123	239	67	321	273	
China	8,840	11,320	6,956	14,081	13,997	23,810	29,662	65,172	54,822	105,382	103,389	114,443	172,815	
Colombia	20	2	174	11	177	17	17	12	32	251	505	2,150	2,056	
Comoros	903	1,131	562	921	813	965	579	2,001	1,913					
Congo							2	0	0	0	0	0	5	
Costa Rica	0	5	2	23	44	19	97	216	68	111	96	54	55	
Côte d'Ivoire	31	62	483	513	264	187	135	78	24	74	1	101		
Croatia	117	173	257	275	249	807	765	910	526	505	601	517	7	
Cuba	0	0	9	0	0	0								
Cyprus	23	26	22	23	4	137	257	347	106	87	50	108	3	
Czech Republic	555	554	340	709	1,171	1,236	2,379	2,567	7,690	2,307	3,347	2,469	3,828	
Denmark	4,104	1,884	1,034	2,468	3,031	2,742	1,920	2,364	2,291	2,300	2,688	1,958	1,050	
Djibouti									69					
Dominica	0	0	0	0	1	0	0	0	0	0	0	0		
Dominican Republic	92	182	154	13	88	25	99	77	4	152	90	745	391	
Ecuador	55	0	52	12	0	0	0	0	0	0	68	0	100	
Egypt	252	77	534	562	433	141	173	0	0	0	0	0	0	
El Salvador	0	0	14	0	419	1,073	0	0	10	0	0	0	0	
Estonia	130	129	112	218	109	105	153	231	356	241	692	2,433	3,041	
Ethiopia	9	36	135	53	17	16	4	0	13	553	4	59		
Faroe Islands	7	5	7	18	28	23	27	22	13					
Fiji		34	29	24	9	2	20	16	9	17	18	15		
Finland	1,183	684	119	119	887	730	704	478	57	15	8,850	376	647	
France	334,756	323,287	398,745	440,925	361,866	391,742	444,783	436,420	393,322	347,451	436,677	431,907	504,995	
French Polynesia	79	68	45	42	110	69	36	33	22	23	38	55	48	
Gabon	32	0	20	1	21	59	74	4	75					
Georgia	0	0	0	0	0	0	0	0	0	0	0	45	0	
Germany	66,226	52,456	71,469	106,574	98,710	89,763	91,671	102,575	89,095	92,686	115,109	117,351	150,407	
Ghana	106		0		1,654	121	0	23	2	69	76	229		
Greece	374	529	637	440	687	1,284	2,987	3,250	2,020	2,041	2,209	2,652	1,752	
Greenland	0	0	6	0	0	13	0	6	7	7	28	14	4	
Grenada	0	0	0	5	0	0	0	0						
Guatemala	0	0	0	0	3	0	0	0	10	0	0	10	0	
Guinea	13	0		4	556	0	100	0		1	2	0		
Guyana	0	0	0	55	50	0	0	2	4	2	0	20	0	
Honduras	0	19	15	14	34	0	1	0	0	0	4	1	33	
Hong Kong, China	12,606	8,581	8,225	8,030	12,223	7,781	9,017	10,347	13,926	10,439	9,914	9,829		
Hungary	396	497	635	73	10	20	8	1	0	1	4	19	15	
Iceland	27	31	21	41	47	66	78	53	59	96	66	55	58	
India	1,873	1,647	6,642	5,154	17,554	13,898	24,032	12,712	22,652	20,643	62,357	91,743	50,976	
Indonesia	10,016	959	142	541	615	2,441	2,134	3,949	3,939	6,454	278,143	91,148	10,507	
Iran (Islamic Republic of)	0	130	13	0	0	0				7	37			
Ireland	1,607	571	4,413	241	176	164	1,294	895	1,069	472	1,018	661	683	
Israel	155	402	7	45	115	180	686	150	2,071	137	154	176	1,435	
Italy	27,510	25,620	36,732	47,864	36,431	58,753	57,204	53,259	39,942	36,949	33,964	45,276	44,951	
Jamaica	14	0	1	0	0	0	0	0	0	0	0	4		
Japan	35,072	35,353	32,311	34,560	28,614	29,022	23,654	24,371	35,421	14,088	22,383	20,649	94,012	
Jordan	3	0	27	0		22	491	18	44	1	57	296	169	
Kazakhstan	1	0	2	13	2	35	42	71	89	127	187	349	417	
Kenya	74	190	3	14	102	850	901	423	6,191	5,998	10,362			
Korea, Republic of	1,383	414	437	1,095	1,247	1,653	1,898	1,558	1,767	1,629	1,823	3,599	75,552	
Kuwait	325	219	313	661		892	1,327	2,583						
Kyrgyzstan	0	0	0	3	0	0	0	0	5	1	0	3		
Latvia	69	1	21	7	40	37	60	17	0	0	0	0	29	
Lebanon	307	197	255	195	205	522	435	606	792	850	832	1,121	1,275	
Lesotho	0	0	252					65	0	104				
Lithuania	9	7	16	0	0	3	0	2	5	5	13	4	2	
Luxembourg	35	0	2	1	0	1	1	1,219	1,235	1,033	1,419	1,227	1,104	
Macao, China	3	1	2	12	8	42	31	28	41	32		196		
Macedonia, The Former Yugoslav Republic of	0	1	1	9	16	8	92		43	38	44	152	92	
Malawi	11	0	0	0	0	2	0	60	11	0	27	1	5,230	
Malaysia	1,202	2,407	1,507	8,292	5,488	467	1,593	830	2,261	3,257	1,018	3,825	5,061	
Mali	142	3	28	0	5	19	0	16		187	29	28		
Malta	20	66	13	0	0	53	5	13	22	29	11	0	2	
